Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,4598,4871,3414,6242.91
"Revenue 4598 4871 3414 6242.91  Other Revenue, Total - - - -","Revenue 4598 4871 3414 6242.91  Other Revenue, Total - - - -","Revenue 4598 4871 3414 6242.91  Other Revenue, Total - - - -","Revenue 4598 4871 3414 6242.91  Other Revenue, Total - - - -","Revenue 4598 4871 3414 6242.91  Other Revenue, Total - - - -"
Revenue,4598,4871,3414,6242.91
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",4396,4231,3400,5572.88
Gross Profit,202,640,14,670.03
Total Operating Expenses,5014,4843,3975,6202.42
"Selling/General/Admin. Expenses, Total 618 612 575 631.2  Research & Development - 183 132 -  Depreciation / Amortization 695 657 747 -  Interest Expense (Income) - Net Operating -7 -7 -9 -  Unusual Expense (Income) - - 0.57 -1.66  Other Operating Expenses, Total -688 -833 -870 -","Selling/General/Admin. Expenses, Total 618 612 575 631.2  Research & Development - 183 132 -  Depreciation / Amortization 695 657 747 -  Interest Expense (Income) - Net Operating -7 -7 -9 -  Unusual Expense (Income) - - 0.57 -1.66  Other Operating Expenses, Total -688 -833 -870 -","Selling/General/Admin. Expenses, Total 618 612 575 631.2  Research & Development - 183 132 -  Depreciation / Amortization 695 657 747 -  Interest Expense (Income) - Net Operating -7 -7 -9 -  Unusual Expense (Income) - - 0.57 -1.66  Other Operating Expenses, Total -688 -833 -870 -","Selling/General/Admin. Expenses, Total 618 612 575 631.2  Research & Development - 183 132 -  Depreciation / Amortization 695 657 747 -  Interest Expense (Income) - Net Operating -7 -7 -9 -  Unusual Expense (Income) - - 0.57 -1.66  Other Operating Expenses, Total -688 -833 -870 -","Selling/General/Admin. Expenses, Total 618 612 575 631.2  Research & Development - 183 132 -  Depreciation / Amortization 695 657 747 -  Interest Expense (Income) - Net Operating -7 -7 -9 -  Unusual Expense (Income) - - 0.57 -1.66  Other Operating Expenses, Total -688 -833 -870 -"
"Selling/General/Admin. Expenses, Total",618,612,575,631.2
Research & Development,-,183,132,-
Depreciation / Amortization,695,657,747,-
Interest Expense (Income) - Net Operating,-7,-7,-9,-
Unusual Expense (Income),-,-,0.57,-1.66
"Other Operating Expenses, Total",-688,-833,-870,-
Operating Income,-416,28,-561,40.49
"Interest Income (Expense), Net Non-Operating",-,51.94,5.12,7.96
Gain (Loss) on Sale of Assets,3,0.35,0.04,0.61
"Other, Net",-113,-160,-167,69.19
Net Income Before Taxes,-306,188,-394,118.24
Provision for Income Taxes,-,3,-22,34.09
Net Income After Taxes,-306,185,-372,84.15
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-306,185,-372,84.15
Total Extraordinary Items,-,-,-,-
Net Income,-306,185,-372,84.15
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,-306,185,-372,84.15
Dilution Adjustment,-,-,-,-
Diluted Net Income,-306,185,-372,84.15
Diluted Weighted Average Shares,3.65,3.66,3.72,3.81
Diluted EPS Excluding Extraordinary Items,-83.79,50.48,-100.11,22.09
DPS - Common Stock Primary Issue,10,15,13,15
Diluted Normalized EPS,-49.98,32.06,-66.1,21.66
