Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,9240,8571,6431.49,6610.38
"Revenue 9240 8571 6431.49 6610.38  Other Revenue, Total - - - -","Revenue 9240 8571 6431.49 6610.38  Other Revenue, Total - - - -","Revenue 9240 8571 6431.49 6610.38  Other Revenue, Total - - - -","Revenue 9240 8571 6431.49 6610.38  Other Revenue, Total - - - -","Revenue 9240 8571 6431.49 6610.38  Other Revenue, Total - - - -"
Revenue,9240,8571,6431.49,6610.38
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,6520,4818.15,5060.19
Gross Profit,2359,2051,1613.34,1550.19
Total Operating Expenses,8817,8174,6158.59,6381
"Selling/General/Admin. Expenses, Total 1936 1654 1330.44 1320.81  Research & Development - 106 - -  Depreciation / Amortization 164 95 - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - - 10 -  Other Operating Expenses, Total -162 -201 - -","Selling/General/Admin. Expenses, Total 1936 1654 1330.44 1320.81  Research & Development - 106 - -  Depreciation / Amortization 164 95 - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - - 10 -  Other Operating Expenses, Total -162 -201 - -","Selling/General/Admin. Expenses, Total 1936 1654 1330.44 1320.81  Research & Development - 106 - -  Depreciation / Amortization 164 95 - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - - 10 -  Other Operating Expenses, Total -162 -201 - -","Selling/General/Admin. Expenses, Total 1936 1654 1330.44 1320.81  Research & Development - 106 - -  Depreciation / Amortization 164 95 - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - - 10 -  Other Operating Expenses, Total -162 -201 - -","Selling/General/Admin. Expenses, Total 1936 1654 1330.44 1320.81  Research & Development - 106 - -  Depreciation / Amortization 164 95 - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - - 10 -  Other Operating Expenses, Total -162 -201 - -"
"Selling/General/Admin. Expenses, Total",1936,1654,1330.44,1320.81
Research & Development,-,106,-,-
Depreciation / Amortization,164,95,-,-
Interest Expense (Income) - Net Operating,-2,-,-,-
Unusual Expense (Income),-,-,10,-
"Other Operating Expenses, Total",-162,-201,-,-
Operating Income,423,397,272.9,229.38
"Interest Income (Expense), Net Non-Operating",-,11.13,34.82,23.75
Gain (Loss) on Sale of Assets,-33,6,0.48,4.83
"Other, Net",41,-28,4.88,0.33
Net Income Before Taxes,415,419,313.08,258.29
Provision for Income Taxes,116,131,82.75,72.06
Net Income After Taxes,299,288,230.34,186.24
Minority Interest,222,29,-5.06,-4.71
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,302,305,225.28,181.53
Total Extraordinary Items,-,-,-,-
Net Income,302,305,225.28,181.53
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,302,305,225.27,181.53
Dilution Adjustment,-0.451,-0.11,-,-
Diluted Net Income,302.45,305.11,225.27,181.53
Diluted Weighted Average Shares,3.2,3.23,3.22,3.22
Diluted EPS Excluding Extraordinary Items,94.65,94.59,69.87,56.32
DPS - Common Stock Primary Issue,40,37,28,26
Diluted Normalized EPS,89.93,85.29,72.04,55.24
