Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,903918,763838,1043534,944053
"Revenue 903918 763838 1043534 944053  Other Revenue, Total - - - -","Revenue 903918 763838 1043534 944053  Other Revenue, Total - - - -","Revenue 903918 763838 1043534 944053  Other Revenue, Total - - - -","Revenue 903918 763838 1043534 944053  Other Revenue, Total - - - -","Revenue 903918 763838 1043534 944053  Other Revenue, Total - - - -"
Revenue,903918,763838,1043534,944053
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",833395,699697,961683,862577
Gross Profit,70523,64141,81851,81476
Total Operating Expenses,875974,739778,1008506,913214
"Selling/General/Admin. Expenses, Total 42579 40081 45623 47761  Research & Development - 883 853 -  Depreciation / Amortization 3381 3491 3405 873  Interest Expense (Income) - Net Operating -158 -164 -277 -  Unusual Expense (Income) - -29 282 2002  Other Operating Expenses, Total -3223 -4210 -2781 1","Selling/General/Admin. Expenses, Total 42579 40081 45623 47761  Research & Development - 883 853 -  Depreciation / Amortization 3381 3491 3405 873  Interest Expense (Income) - Net Operating -158 -164 -277 -  Unusual Expense (Income) - -29 282 2002  Other Operating Expenses, Total -3223 -4210 -2781 1","Selling/General/Admin. Expenses, Total 42579 40081 45623 47761  Research & Development - 883 853 -  Depreciation / Amortization 3381 3491 3405 873  Interest Expense (Income) - Net Operating -158 -164 -277 -  Unusual Expense (Income) - -29 282 2002  Other Operating Expenses, Total -3223 -4210 -2781 1","Selling/General/Admin. Expenses, Total 42579 40081 45623 47761  Research & Development - 883 853 -  Depreciation / Amortization 3381 3491 3405 873  Interest Expense (Income) - Net Operating -158 -164 -277 -  Unusual Expense (Income) - -29 282 2002  Other Operating Expenses, Total -3223 -4210 -2781 1","Selling/General/Admin. Expenses, Total 42579 40081 45623 47761  Research & Development - 883 853 -  Depreciation / Amortization 3381 3491 3405 873  Interest Expense (Income) - Net Operating -158 -164 -277 -  Unusual Expense (Income) - -29 282 2002  Other Operating Expenses, Total -3223 -4210 -2781 1"
"Selling/General/Admin. Expenses, Total",42579,40081,45623,47761
Research & Development,-,883,853,-
Depreciation / Amortization,3381,3491,3405,873
Interest Expense (Income) - Net Operating,-158,-164,-277,-
Unusual Expense (Income),-,-29,282,2002
"Other Operating Expenses, Total",-3223,-4210,-2781,1
Operating Income,27944,24060,35028,30839
"Interest Income (Expense), Net Non-Operating",-,-26,-100,43
Gain (Loss) on Sale of Assets,-137,335,754,-169
"Other, Net",-109,-1191,-1979,311
Net Income Before Taxes,28190,24916,36253,31024
Provision for Income Taxes,9089,7915,10381,9728
Net Income After Taxes,19101,17001,25872,21296
Minority Interest,966,917,1035,-117
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,19059,16988,25715,21179
Total Extraordinary Items,-,-,-,-
Net Income,19059,16988,25715,21179
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,19059,16988,25715,21178
Dilution Adjustment,-,-,-,-
Diluted Net Income,19059,16988,25715,21178
Diluted Weighted Average Shares,93.99,95.37,96.14,96.14
Diluted EPS Excluding Extraordinary Items,202.78,178.13,267.47,220.27
DPS - Common Stock Primary Issue,62,60,60,32
Diluted Normalized EPS,191.18,160.77,230.97,239.72
