Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,18617,14678,16170,16318
"Revenue 18617 14678 16170 16318  Other Revenue, Total - - - -","Revenue 18617 14678 16170 16318  Other Revenue, Total - - - -","Revenue 18617 14678 16170 16318  Other Revenue, Total - - - -","Revenue 18617 14678 16170 16318  Other Revenue, Total - - - -","Revenue 18617 14678 16170 16318  Other Revenue, Total - - - -"
Revenue,18617,14678,16170,16318
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",16381,13290,13632,14603
Gross Profit,2236,1388,2538,1715
Total Operating Expenses,18253,14875,15469,16212
"Selling/General/Admin. Expenses, Total 1872 1585 1662 1576  Research & Development - 7 13 9  Depreciation / Amortization 613 627 - -  Interest Expense (Income) - Net Operating -4 -2 - -  Unusual Expense (Income) - 1 161 23  Other Operating Expenses, Total -609 -632 1 1","Selling/General/Admin. Expenses, Total 1872 1585 1662 1576  Research & Development - 7 13 9  Depreciation / Amortization 613 627 - -  Interest Expense (Income) - Net Operating -4 -2 - -  Unusual Expense (Income) - 1 161 23  Other Operating Expenses, Total -609 -632 1 1","Selling/General/Admin. Expenses, Total 1872 1585 1662 1576  Research & Development - 7 13 9  Depreciation / Amortization 613 627 - -  Interest Expense (Income) - Net Operating -4 -2 - -  Unusual Expense (Income) - 1 161 23  Other Operating Expenses, Total -609 -632 1 1","Selling/General/Admin. Expenses, Total 1872 1585 1662 1576  Research & Development - 7 13 9  Depreciation / Amortization 613 627 - -  Interest Expense (Income) - Net Operating -4 -2 - -  Unusual Expense (Income) - 1 161 23  Other Operating Expenses, Total -609 -632 1 1","Selling/General/Admin. Expenses, Total 1872 1585 1662 1576  Research & Development - 7 13 9  Depreciation / Amortization 613 627 - -  Interest Expense (Income) - Net Operating -4 -2 - -  Unusual Expense (Income) - 1 161 23  Other Operating Expenses, Total -609 -632 1 1"
"Selling/General/Admin. Expenses, Total",1872,1585,1662,1576
Research & Development,-,7,13,9
Depreciation / Amortization,613,627,-,-
Interest Expense (Income) - Net Operating,-4,-2,-,-
Unusual Expense (Income),-,1,161,23
"Other Operating Expenses, Total",-609,-632,1,1
Operating Income,364,-197,701,106
"Interest Income (Expense), Net Non-Operating",-,350,357,261
Gain (Loss) on Sale of Assets,658,1,65,-4
"Other, Net",-1760,-409,96,43
Net Income Before Taxes,1466,211,1219,406
Provision for Income Taxes,449,73,286,303
Net Income After Taxes,1017,138,933,103
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1017,138,933,103
Total Extraordinary Items,-,-,-,-
Net Income,1017,138,933,103
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,1017,138,932,103
Dilution Adjustment,-,-,-,-
Diluted Net Income,1017,138,932,103
Diluted Weighted Average Shares,2.19,2.19,2.19,2.18
Diluted EPS Excluding Extraordinary Items,464.05,63.06,426.54,47.19
DPS - Common Stock Primary Issue,100,100,100,100
Diluted Normalized EPS,234.42,64.83,460.17,55.23
