Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,30435,24852,21614,24170
"Revenue 30435 24852 21614 24170  Other Revenue, Total - - - -","Revenue 30435 24852 21614 24170  Other Revenue, Total - - - -","Revenue 30435 24852 21614 24170  Other Revenue, Total - - - -","Revenue 30435 24852 21614 24170  Other Revenue, Total - - - -","Revenue 30435 24852 21614 24170  Other Revenue, Total - - - -"
Revenue,30435,24852,21614,24170
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2391,1848,1529,1717
Gross Profit,28044,23004,20085,22453
Total Operating Expenses,23383,19030,18079,18107
"Selling/General/Admin. Expenses, Total 20429 16669 14337 15758  Research & Development - - - -  Depreciation / Amortization 448 402 621 608  Interest Expense (Income) - Net Operating -22 -16 - -  Unusual Expense (Income) - 36 1590 24  Other Operating Expenses, Total 137 127 2 -","Selling/General/Admin. Expenses, Total 20429 16669 14337 15758  Research & Development - - - -  Depreciation / Amortization 448 402 621 608  Interest Expense (Income) - Net Operating -22 -16 - -  Unusual Expense (Income) - 36 1590 24  Other Operating Expenses, Total 137 127 2 -","Selling/General/Admin. Expenses, Total 20429 16669 14337 15758  Research & Development - - - -  Depreciation / Amortization 448 402 621 608  Interest Expense (Income) - Net Operating -22 -16 - -  Unusual Expense (Income) - 36 1590 24  Other Operating Expenses, Total 137 127 2 -","Selling/General/Admin. Expenses, Total 20429 16669 14337 15758  Research & Development - - - -  Depreciation / Amortization 448 402 621 608  Interest Expense (Income) - Net Operating -22 -16 - -  Unusual Expense (Income) - 36 1590 24  Other Operating Expenses, Total 137 127 2 -","Selling/General/Admin. Expenses, Total 20429 16669 14337 15758  Research & Development - - - -  Depreciation / Amortization 448 402 621 608  Interest Expense (Income) - Net Operating -22 -16 - -  Unusual Expense (Income) - 36 1590 24  Other Operating Expenses, Total 137 127 2 -"
"Selling/General/Admin. Expenses, Total",20429,16669,14337,15758
Research & Development,-,-,-,-
Depreciation / Amortization,448,402,621,608
Interest Expense (Income) - Net Operating,-22,-16,-,-
Unusual Expense (Income),-,36,1590,24
"Other Operating Expenses, Total",137,127,2,-
Operating Income,7052,5822,3535,6063
"Interest Income (Expense), Net Non-Operating",-,-16,-15,-5
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",42,46,73,8
Net Income Before Taxes,7010,5776,3593,6066
Provision for Income Taxes,1981,1894,1758,1712
Net Income After Taxes,5029,3882,1835,4354
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5029,3882,1835,4354
Total Extraordinary Items,-,-,-,-
Net Income,5029,3882,1835,4354
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,5029,3882,1834,4354
Dilution Adjustment,-,-0.108,-,-
Diluted Net Income,5029,3882.11,1834,4354
Diluted Weighted Average Shares,40.38,40.43,41.04,40.87
Diluted EPS Excluding Extraordinary Items,124.56,96.01,44.69,106.53
DPS - Common Stock Primary Issue,80,73,80,80
Diluted Normalized EPS,109.15,89.84,69.25,111.45
