Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,284939,263114,209002,206620
"Revenue 284939 263114 209002 206620  Other Revenue, Total - - - -","Revenue 284939 263114 209002 206620  Other Revenue, Total - - - -","Revenue 284939 263114 209002 206620  Other Revenue, Total - - - -","Revenue 284939 263114 209002 206620  Other Revenue, Total - - - -","Revenue 284939 263114 209002 206620  Other Revenue, Total - - - -"
Revenue,284939,263114,209002,206620
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",203587,182708,145639,145984
Gross Profit,81352,80406,63363,60636
Total Operating Expenses,260117,236837,193686,196335
"Selling/General/Admin. Expenses, Total 55905 49797 42948 43380  Research & Development - 10731 - -  Depreciation / Amortization 13774 13221 3839 3356  Interest Expense (Income) - Net Operating -475 -297 - -  Unusual Expense (Income) - - -177 2786  Other Operating Expenses, Total -20690 -19323 1437 829","Selling/General/Admin. Expenses, Total 55905 49797 42948 43380  Research & Development - 10731 - -  Depreciation / Amortization 13774 13221 3839 3356  Interest Expense (Income) - Net Operating -475 -297 - -  Unusual Expense (Income) - - -177 2786  Other Operating Expenses, Total -20690 -19323 1437 829","Selling/General/Admin. Expenses, Total 55905 49797 42948 43380  Research & Development - 10731 - -  Depreciation / Amortization 13774 13221 3839 3356  Interest Expense (Income) - Net Operating -475 -297 - -  Unusual Expense (Income) - - -177 2786  Other Operating Expenses, Total -20690 -19323 1437 829","Selling/General/Admin. Expenses, Total 55905 49797 42948 43380  Research & Development - 10731 - -  Depreciation / Amortization 13774 13221 3839 3356  Interest Expense (Income) - Net Operating -475 -297 - -  Unusual Expense (Income) - - -177 2786  Other Operating Expenses, Total -20690 -19323 1437 829","Selling/General/Admin. Expenses, Total 55905 49797 42948 43380  Research & Development - 10731 - -  Depreciation / Amortization 13774 13221 3839 3356  Interest Expense (Income) - Net Operating -475 -297 - -  Unusual Expense (Income) - - -177 2786  Other Operating Expenses, Total -20690 -19323 1437 829"
"Selling/General/Admin. Expenses, Total",55905,49797,42948,43380
Research & Development,-,10731,-,-
Depreciation / Amortization,13774,13221,3839,3356
Interest Expense (Income) - Net Operating,-475,-297,-,-
Unusual Expense (Income),-,-,-177,2786
"Other Operating Expenses, Total",-20690,-19323,1437,829
Operating Income,24822,26277,15316,10285
"Interest Income (Expense), Net Non-Operating",-,993,992,1214
Gain (Loss) on Sale of Assets,-,-169,-,-
"Other, Net",-1914,566,-169,-
Net Income Before Taxes,26736,25880,16139,11499
Provision for Income Taxes,6142,7220,2871,2530
Net Income After Taxes,20594,18660,13268,8969
Minority Interest,2333,2352,-70,17
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,20289,18299,13198,8986
Total Extraordinary Items,-,-,-,-
Net Income,20289,18299,13198,8986
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,20289,18299,13198,8986
Dilution Adjustment,-,-,-,-
Diluted Net Income,20289,18299,13198,8986
Diluted Weighted Average Shares,47.06,47.06,47.06,47.06
Diluted EPS Excluding Extraordinary Items,431.18,388.87,280.46,190.95
DPS - Common Stock Primary Issue,130,110,75,75
Diluted Normalized EPS,348.63,355.51,277.37,237.13
