Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,34343,51082,30085,24781
"Revenue 34343 51082 30085 24781  Other Revenue, Total - - - -","Revenue 34343 51082 30085 24781  Other Revenue, Total - - - -","Revenue 34343 51082 30085 24781  Other Revenue, Total - - - -","Revenue 34343 51082 30085 24781  Other Revenue, Total - - - -","Revenue 34343 51082 30085 24781  Other Revenue, Total - - - -"
Revenue,34343,51082,30085,24781
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",8886,10461,7812,7901
Gross Profit,25457,40621,22273,16880
Total Operating Expenses,29366,31147,21646,21406
"Selling/General/Admin. Expenses, Total 20480 13511 8643 7638  Research & Development - 7175 5360 5997  Depreciation / Amortization 1997 1945 - -  Interest Expense (Income) - Net Operating -44 -45 - -  Unusual Expense (Income) - 1106 -170 -131  Other Operating Expenses, Total -1953 -1900 1 1","Selling/General/Admin. Expenses, Total 20480 13511 8643 7638  Research & Development - 7175 5360 5997  Depreciation / Amortization 1997 1945 - -  Interest Expense (Income) - Net Operating -44 -45 - -  Unusual Expense (Income) - 1106 -170 -131  Other Operating Expenses, Total -1953 -1900 1 1","Selling/General/Admin. Expenses, Total 20480 13511 8643 7638  Research & Development - 7175 5360 5997  Depreciation / Amortization 1997 1945 - -  Interest Expense (Income) - Net Operating -44 -45 - -  Unusual Expense (Income) - 1106 -170 -131  Other Operating Expenses, Total -1953 -1900 1 1","Selling/General/Admin. Expenses, Total 20480 13511 8643 7638  Research & Development - 7175 5360 5997  Depreciation / Amortization 1997 1945 - -  Interest Expense (Income) - Net Operating -44 -45 - -  Unusual Expense (Income) - 1106 -170 -131  Other Operating Expenses, Total -1953 -1900 1 1","Selling/General/Admin. Expenses, Total 20480 13511 8643 7638  Research & Development - 7175 5360 5997  Depreciation / Amortization 1997 1945 - -  Interest Expense (Income) - Net Operating -44 -45 - -  Unusual Expense (Income) - 1106 -170 -131  Other Operating Expenses, Total -1953 -1900 1 1"
"Selling/General/Admin. Expenses, Total",20480,13511,8643,7638
Research & Development,-,7175,5360,5997
Depreciation / Amortization,1997,1945,-,-
Interest Expense (Income) - Net Operating,-44,-45,-,-
Unusual Expense (Income),-,1106,-170,-131
"Other Operating Expenses, Total",-1953,-1900,1,1
Operating Income,4977,19935,8439,3375
"Interest Income (Expense), Net Non-Operating",-,541,196,44
Gain (Loss) on Sale of Assets,-26,-2,-5,-2
"Other, Net",-408,534,23,5
Net Income Before Taxes,5411,19403,8653,3422
Provision for Income Taxes,1625,4886,1764,742
Net Income After Taxes,3786,14517,6889,2680
Minority Interest,251,205,4,-1
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,3772,14507,6893,2679
Total Extraordinary Items,-,-,-,-
Net Income,3772,14507,6893,2679
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,3772,14507,6892,2678
Dilution Adjustment,-0.614,-0.637,-,-174
Diluted Net Income,3772.61,14507.64,6892,2678
Diluted Weighted Average Shares,124.84,124.21,124.13,124.04
Diluted EPS Excluding Extraordinary Items,30.22,116.8,55.52,21.59
DPS - Common Stock Primary Issue,20,20,11.5,8
Diluted Normalized EPS,27.11,103.13,54.46,20.77
