Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2975,2412,2852.67,2627.67
"Revenue - 2412 2852.67 2627.67  Other Revenue, Total - - - -","Revenue - 2412 2852.67 2627.67  Other Revenue, Total - - - -","Revenue - 2412 2852.67 2627.67  Other Revenue, Total - - - -","Revenue - 2412 2852.67 2627.67  Other Revenue, Total - - - -","Revenue - 2412 2852.67 2627.67  Other Revenue, Total - - - -"
Revenue,-,2412,2852.67,2627.67
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2154,1621,1866.28,1704.33
Gross Profit,821,791,986.39,923.34
Total Operating Expenses,3108,2518,2935.14,3091.81
"Selling/General/Admin. Expenses, Total - 897 1078.49 1014.59  Research & Development - 10 - -  Depreciation / Amortization 2 1 2.27 53.24  Interest Expense (Income) - Net Operating -8 -8 - -  Unusual Expense (Income) - 9.63 -11.9 319.66  Other Operating Expenses, Total 6 -3 - -","Selling/General/Admin. Expenses, Total - 897 1078.49 1014.59  Research & Development - 10 - -  Depreciation / Amortization 2 1 2.27 53.24  Interest Expense (Income) - Net Operating -8 -8 - -  Unusual Expense (Income) - 9.63 -11.9 319.66  Other Operating Expenses, Total 6 -3 - -","Selling/General/Admin. Expenses, Total - 897 1078.49 1014.59  Research & Development - 10 - -  Depreciation / Amortization 2 1 2.27 53.24  Interest Expense (Income) - Net Operating -8 -8 - -  Unusual Expense (Income) - 9.63 -11.9 319.66  Other Operating Expenses, Total 6 -3 - -","Selling/General/Admin. Expenses, Total - 897 1078.49 1014.59  Research & Development - 10 - -  Depreciation / Amortization 2 1 2.27 53.24  Interest Expense (Income) - Net Operating -8 -8 - -  Unusual Expense (Income) - 9.63 -11.9 319.66  Other Operating Expenses, Total 6 -3 - -","Selling/General/Admin. Expenses, Total - 897 1078.49 1014.59  Research & Development - 10 - -  Depreciation / Amortization 2 1 2.27 53.24  Interest Expense (Income) - Net Operating -8 -8 - -  Unusual Expense (Income) - 9.63 -11.9 319.66  Other Operating Expenses, Total 6 -3 - -"
"Selling/General/Admin. Expenses, Total",-,897,1078.49,1014.59
Research & Development,-,10,-,-
Depreciation / Amortization,2,1,2.27,53.24
Interest Expense (Income) - Net Operating,-8,-8,-,-
Unusual Expense (Income),-,9.63,-11.9,319.66
"Other Operating Expenses, Total",6,-3,-,-
Operating Income,-133,-106,-82.47,-464.14
"Interest Income (Expense), Net Non-Operating",-,-32.24,-6.56,-6.65
Gain (Loss) on Sale of Assets,31,-35,20.88,-4.18
"Other, Net",-50,85,-37.47,-0.08
Net Income Before Taxes,-114,-156,-105.61,-475.04
Provision for Income Taxes,1,2,2.89,1.66
Net Income After Taxes,-115,-158,-108.5,-476.7
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-115,-158,-108.5,-476.7
Total Extraordinary Items,-,-,-,-
Net Income,-115,-158,-108.5,-476.7
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,-115,-158,-108.5,-476.7
Dilution Adjustment,-,-,-,-
Diluted Net Income,-115,-158,-108.5,-476.7
Diluted Weighted Average Shares,14.29,11.89,7.1,6.99
Diluted EPS Excluding Extraordinary Items,-8.05,-13.29,-15.28,-68.21
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-6.34,-6.31,-17.96,-30.47
