Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,26726,23117,18068,21259
"Revenue 26726 23117 18068 21259  Other Revenue, Total - - - -","Revenue 26726 23117 18068 21259  Other Revenue, Total - - - -","Revenue 26726 23117 18068 21259  Other Revenue, Total - - - -","Revenue 26726 23117 18068 21259  Other Revenue, Total - - - -","Revenue 26726 23117 18068 21259  Other Revenue, Total - - - -"
Revenue,26726,23117,18068,21259
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",23079,20319,15419,17998
Gross Profit,3647,2798,2649,3261
Total Operating Expenses,25918,22931,17722,21032
"Selling/General/Admin. Expenses, Total 2839 2289 2013 2474  Research & Development - 285 252 210  Depreciation / Amortization 1540 1393 1394 38  Interest Expense (Income) - Net Operating -143 -130 -118 -  Unusual Expense (Income) - - - 312  Other Operating Expenses, Total -1397 -1225 -1238 -","Selling/General/Admin. Expenses, Total 2839 2289 2013 2474  Research & Development - 285 252 210  Depreciation / Amortization 1540 1393 1394 38  Interest Expense (Income) - Net Operating -143 -130 -118 -  Unusual Expense (Income) - - - 312  Other Operating Expenses, Total -1397 -1225 -1238 -","Selling/General/Admin. Expenses, Total 2839 2289 2013 2474  Research & Development - 285 252 210  Depreciation / Amortization 1540 1393 1394 38  Interest Expense (Income) - Net Operating -143 -130 -118 -  Unusual Expense (Income) - - - 312  Other Operating Expenses, Total -1397 -1225 -1238 -","Selling/General/Admin. Expenses, Total 2839 2289 2013 2474  Research & Development - 285 252 210  Depreciation / Amortization 1540 1393 1394 38  Interest Expense (Income) - Net Operating -143 -130 -118 -  Unusual Expense (Income) - - - 312  Other Operating Expenses, Total -1397 -1225 -1238 -","Selling/General/Admin. Expenses, Total 2839 2289 2013 2474  Research & Development - 285 252 210  Depreciation / Amortization 1540 1393 1394 38  Interest Expense (Income) - Net Operating -143 -130 -118 -  Unusual Expense (Income) - - - 312  Other Operating Expenses, Total -1397 -1225 -1238 -"
"Selling/General/Admin. Expenses, Total",2839,2289,2013,2474
Research & Development,-,285,252,210
Depreciation / Amortization,1540,1393,1394,38
Interest Expense (Income) - Net Operating,-143,-130,-118,-
Unusual Expense (Income),-,-,-,312
"Other Operating Expenses, Total",-1397,-1225,-1238,-
Operating Income,808,186,346,227
"Interest Income (Expense), Net Non-Operating",-,-62,-75,-39
Gain (Loss) on Sale of Assets,-,-25,-,-
"Other, Net",94,97,-36,-94
Net Income Before Taxes,714,89,382,94
Provision for Income Taxes,193,90,-10,100
Net Income After Taxes,521,-1,392,-6
Minority Interest,3219,2747,2458,108
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,466,43,285,102
Total Extraordinary Items,-,-,-,-
Net Income,466,43,285,102
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,466,43,285,102
Dilution Adjustment,-,-,-,-
Diluted Net Income,466,43,285,102
Diluted Weighted Average Shares,3.28,3.31,3.31,3.31
Diluted EPS Excluding Extraordinary Items,142.08,12.98,86,30.78
DPS - Common Stock Primary Issue,-,10,20,50
Diluted Normalized EPS,119.29,30.06,39.76,91.97
