Period Ending:,202331/01,202231/07,202231/01,202131/01
Total Revenue,5460,5408,9019.39,8258.15
"Revenue 5460 5032 8909.89 8258.15  Other Revenue, Total 377 752 109.51 -","Revenue 5460 5032 8909.89 8258.15  Other Revenue, Total 377 752 109.51 -","Revenue 5460 5032 8909.89 8258.15  Other Revenue, Total 377 752 109.51 -","Revenue 5460 5032 8909.89 8258.15  Other Revenue, Total 377 752 109.51 -","Revenue 5460 5032 8909.89 8258.15  Other Revenue, Total 377 752 109.51 -"
Revenue,5460,5032,8909.89,8258.15
"Other Revenue, Total",377,752,109.51,-
"Cost of Revenue, Total",2654,2604,4408.02,3930.8
Gross Profit,2806,2804,4611.37,4327.35
Total Operating Expenses,2922,2859,4850.34,4310.16
"Selling/General/Admin. Expenses, Total 80 71 128.32 379.36  Research & Development - - - -  Depreciation / Amortization 1105 1002 1779.28 -  Interest Expense (Income) - Net Operating -494 -401 -572.9 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -353.44 -2135.73 -892.38 -","Selling/General/Admin. Expenses, Total 80 71 128.32 379.36  Research & Development - - - -  Depreciation / Amortization 1105 1002 1779.28 -  Interest Expense (Income) - Net Operating -494 -401 -572.9 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -353.44 -2135.73 -892.38 -","Selling/General/Admin. Expenses, Total 80 71 128.32 379.36  Research & Development - - - -  Depreciation / Amortization 1105 1002 1779.28 -  Interest Expense (Income) - Net Operating -494 -401 -572.9 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -353.44 -2135.73 -892.38 -","Selling/General/Admin. Expenses, Total 80 71 128.32 379.36  Research & Development - - - -  Depreciation / Amortization 1105 1002 1779.28 -  Interest Expense (Income) - Net Operating -494 -401 -572.9 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -353.44 -2135.73 -892.38 -","Selling/General/Admin. Expenses, Total 80 71 128.32 379.36  Research & Development - - - -  Depreciation / Amortization 1105 1002 1779.28 -  Interest Expense (Income) - Net Operating -494 -401 -572.9 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -353.44 -2135.73 -892.38 -"
"Selling/General/Admin. Expenses, Total",80,71,128.32,379.36
Research & Development,-,-,-,-
Depreciation / Amortization,1105,1002,1779.28,-
Interest Expense (Income) - Net Operating,-494,-401,-572.9,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-353.44,-2135.73,-892.38,-
Operating Income,2538,2549,4169.06,3947.99
"Interest Income (Expense), Net Non-Operating",-,-,-801.18,-659.98
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",1430.52,1304.3,819.05,169.62
Net Income Before Taxes,2029,2135,3350,3457.63
Provision for Income Taxes,0.962,0.799,1.76,1.8
Net Income After Taxes,2029,2135,3348.25,3455.83
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2029,2135,3348.25,3455.83
Total Extraordinary Items,-,-,-,-
Net Income,2029,2135,3348.25,3455.83
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,2029,2135,3348.25,3455.83
Dilution Adjustment,-,-,-,-
Diluted Net Income,2029,2135,3348.25,3455.83
Diluted Weighted Average Shares,0.838,0.77,0.704,0.62
Diluted EPS Excluding Extraordinary Items,5179.84,5158.07,4756.16,5612.89
DPS - Common Stock Primary Issue,5774,-,5499,5584
Diluted Normalized EPS,3247.43,3233.38,2974.16,5612.89
