Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,49055,44795,34108,34910
"Revenue 49055 44795 34108 34910  Other Revenue, Total - - - -","Revenue 49055 44795 34108 34910  Other Revenue, Total - - - -","Revenue 49055 44795 34108 34910  Other Revenue, Total - - - -","Revenue 49055 44795 34108 34910  Other Revenue, Total - - - -","Revenue 49055 44795 34108 34910  Other Revenue, Total - - - -"
Revenue,49055,44795,34108,34910
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,36851,28589,29691
Gross Profit,7626,7944,5519,5219
Total Operating Expenses,-,40199,31742,32997
"Selling/General/Admin. Expenses, Total 3446 3348 2954 3121  Research & Development - 562 - -  Depreciation / Amortization 1601 1582 184 170  Interest Expense (Income) - Net Operating -3 -4 - -  Unusual Expense (Income) - 75 14 13  Other Operating Expenses, Total -1598 -1967 1 2","Selling/General/Admin. Expenses, Total 3446 3348 2954 3121  Research & Development - 562 - -  Depreciation / Amortization 1601 1582 184 170  Interest Expense (Income) - Net Operating -3 -4 - -  Unusual Expense (Income) - 75 14 13  Other Operating Expenses, Total -1598 -1967 1 2","Selling/General/Admin. Expenses, Total 3446 3348 2954 3121  Research & Development - 562 - -  Depreciation / Amortization 1601 1582 184 170  Interest Expense (Income) - Net Operating -3 -4 - -  Unusual Expense (Income) - 75 14 13  Other Operating Expenses, Total -1598 -1967 1 2","Selling/General/Admin. Expenses, Total 3446 3348 2954 3121  Research & Development - 562 - -  Depreciation / Amortization 1601 1582 184 170  Interest Expense (Income) - Net Operating -3 -4 - -  Unusual Expense (Income) - 75 14 13  Other Operating Expenses, Total -1598 -1967 1 2","Selling/General/Admin. Expenses, Total 3446 3348 2954 3121  Research & Development - 562 - -  Depreciation / Amortization 1601 1582 184 170  Interest Expense (Income) - Net Operating -3 -4 - -  Unusual Expense (Income) - 75 14 13  Other Operating Expenses, Total -1598 -1967 1 2"
"Selling/General/Admin. Expenses, Total",3446,3348,2954,3121
Research & Development,-,562,-,-
Depreciation / Amortization,1601,1582,184,170
Interest Expense (Income) - Net Operating,-3,-4,-,-
Unusual Expense (Income),-,75,14,13
"Other Operating Expenses, Total",-1598,-1967,1,2
Operating Income,4180,4596,2366,1913
"Interest Income (Expense), Net Non-Operating",-,177,44,59
Gain (Loss) on Sale of Assets,-11,-31,-,-
"Other, Net",-129,-16,187,28
Net Income Before Taxes,4320,4644,2597,2000
Provision for Income Taxes,1188,1425,754,572
Net Income After Taxes,3132,3219,1843,1428
Minority Interest,559,491,-16,-31
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,3086,3177,1827,1397
Total Extraordinary Items,-,-,-,-
Net Income,3086,3178,1827,1397
Total Adjustments to Net Income,-,-,-2,-2
Income Available to Common Excluding Extraordinary Items,3086,3177,1825,1395
Dilution Adjustment,-,-,-,-
Diluted Net Income,-,3177,1825,1395
Diluted Weighted Average Shares,6.13,6.13,6.13,6.13
Diluted EPS Excluding Extraordinary Items,503.19,518.02,297.57,227.46
DPS - Common Stock Primary Issue,-,210,110,80
Diluted Normalized EPS,433.87,469.63,299.19,228.97
