Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Revenue,5349,2723,3351.98,8004.68
"Revenue 5349 2723 3351.98 8004.68  Other Revenue, Total - - - -","Revenue 5349 2723 3351.98 8004.68  Other Revenue, Total - - - -","Revenue 5349 2723 3351.98 8004.68  Other Revenue, Total - - - -","Revenue 5349 2723 3351.98 8004.68  Other Revenue, Total - - - -","Revenue 5349 2723 3351.98 8004.68  Other Revenue, Total - - - -"
Revenue,5349,2723,3351.98,8004.68
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1398,760,855.4,2073.8
Gross Profit,3951,1963,2496.58,5930.88
Total Operating Expenses,6442,4577,4880.23,7866.35
"Selling/General/Admin. Expenses, Total 4746 3566 3663.44 5491.69  Research & Development - - - -  Depreciation / Amortization 268 244 261.23 290.24  Interest Expense (Income) - Net Operating -33 -34 - -  Unusual Expense (Income) - 226.07 100.16 10.62  Other Operating Expenses, Total 63 41 - -","Selling/General/Admin. Expenses, Total 4746 3566 3663.44 5491.69  Research & Development - - - -  Depreciation / Amortization 268 244 261.23 290.24  Interest Expense (Income) - Net Operating -33 -34 - -  Unusual Expense (Income) - 226.07 100.16 10.62  Other Operating Expenses, Total 63 41 - -","Selling/General/Admin. Expenses, Total 4746 3566 3663.44 5491.69  Research & Development - - - -  Depreciation / Amortization 268 244 261.23 290.24  Interest Expense (Income) - Net Operating -33 -34 - -  Unusual Expense (Income) - 226.07 100.16 10.62  Other Operating Expenses, Total 63 41 - -","Selling/General/Admin. Expenses, Total 4746 3566 3663.44 5491.69  Research & Development - - - -  Depreciation / Amortization 268 244 261.23 290.24  Interest Expense (Income) - Net Operating -33 -34 - -  Unusual Expense (Income) - 226.07 100.16 10.62  Other Operating Expenses, Total 63 41 - -","Selling/General/Admin. Expenses, Total 4746 3566 3663.44 5491.69  Research & Development - - - -  Depreciation / Amortization 268 244 261.23 290.24  Interest Expense (Income) - Net Operating -33 -34 - -  Unusual Expense (Income) - 226.07 100.16 10.62  Other Operating Expenses, Total 63 41 - -"
"Selling/General/Admin. Expenses, Total",4746,3566,3663.44,5491.69
Research & Development,-,-,-,-
Depreciation / Amortization,268,244,261.23,290.24
Interest Expense (Income) - Net Operating,-33,-34,-,-
Unusual Expense (Income),-,226.07,100.16,10.62
"Other Operating Expenses, Total",63,41,-,-
Operating Income,-1093,-1854,-1528.25,138.33
"Interest Income (Expense), Net Non-Operating",-,-34.55,-31.91,-17.15
Gain (Loss) on Sale of Assets,1,-,-,-
"Other, Net",174,-1473,-18.85,-4.93
Net Income Before Taxes,-1268,-381,-1579.02,116.25
Provision for Income Taxes,19,75,45.24,79.96
Net Income After Taxes,-1287,-456,-1624.26,36.28
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-1287,-456,-1624.26,36.28
Total Extraordinary Items,-,-,-,-
Net Income,-1287,-456,-1624.26,36.28
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,-1287,-456,-1624.26,36.28
Dilution Adjustment,-,-,-,-
Diluted Net Income,-1287,-456,-1624.26,36.28
Diluted Weighted Average Shares,3.38,3.27,3.01,3.01
Diluted EPS Excluding Extraordinary Items,-380.77,-139.62,-539.44,12.05
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-165.13,-29.66,-517.82,14.34
