Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,720584,713768,768113,733575
"Revenue 720584 713768 768113 733575  Other Revenue, Total - - - -","Revenue 720584 713768 768113 733575  Other Revenue, Total - - - -","Revenue 720584 713768 768113 733575  Other Revenue, Total - - - -","Revenue 720584 713768 768113 733575  Other Revenue, Total - - - -","Revenue 720584 713768 768113 733575  Other Revenue, Total - - - -"
Revenue,720584,713768,768113,733575
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",509707,504087,542475,522970
Gross Profit,210877,209681,225638,210605
Total Operating Expenses,701397,697015,743828,722493
"Selling/General/Admin. Expenses, Total 191690 190884 198852 198321  Research & Development - - - -  Depreciation / Amortization 10580 - - -  Interest Expense (Income) - Net Operating -245 - - -  Unusual Expense (Income) - 2043 2500 1202  Other Operating Expenses, Total -10335 1 1 -","Selling/General/Admin. Expenses, Total 191690 190884 198852 198321  Research & Development - - - -  Depreciation / Amortization 10580 - - -  Interest Expense (Income) - Net Operating -245 - - -  Unusual Expense (Income) - 2043 2500 1202  Other Operating Expenses, Total -10335 1 1 -","Selling/General/Admin. Expenses, Total 191690 190884 198852 198321  Research & Development - - - -  Depreciation / Amortization 10580 - - -  Interest Expense (Income) - Net Operating -245 - - -  Unusual Expense (Income) - 2043 2500 1202  Other Operating Expenses, Total -10335 1 1 -","Selling/General/Admin. Expenses, Total 191690 190884 198852 198321  Research & Development - - - -  Depreciation / Amortization 10580 - - -  Interest Expense (Income) - Net Operating -245 - - -  Unusual Expense (Income) - 2043 2500 1202  Other Operating Expenses, Total -10335 1 1 -","Selling/General/Admin. Expenses, Total 191690 190884 198852 198321  Research & Development - - - -  Depreciation / Amortization 10580 - - -  Interest Expense (Income) - Net Operating -245 - - -  Unusual Expense (Income) - 2043 2500 1202  Other Operating Expenses, Total -10335 1 1 -"
"Selling/General/Admin. Expenses, Total",191690,190884,198852,198321
Research & Development,-,-,-,-
Depreciation / Amortization,10580,-,-,-
Interest Expense (Income) - Net Operating,-245,-,-,-
Unusual Expense (Income),-,2043,2500,1202
"Other Operating Expenses, Total",-10335,1,1,-
Operating Income,19187,16753,24285,11082
"Interest Income (Expense), Net Non-Operating",-,-116,-218,-168
Gain (Loss) on Sale of Assets,275,166,-38,1343
"Other, Net",2011,2961,1244,1249
Net Income Before Taxes,16901,19764,25273,13506
Provision for Income Taxes,5508,6655,8639,2529
Net Income After Taxes,11393,13109,16634,10977
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,11393,13109,16634,10977
Total Extraordinary Items,-,-,-,-
Net Income,11393,13109,16634,10977
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,11393,13109,16633,10977
Dilution Adjustment,-,-,-,-
Diluted Net Income,11393,13109,16633,10977
Diluted Weighted Average Shares,113.57,116.42,118.99,121.31
Diluted EPS Excluding Extraordinary Items,100.32,112.6,139.79,90.49
DPS - Common Stock Primary Issue,-,44,41,34
Diluted Normalized EPS,105.93,129.25,161,91.76
