Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,19496,22171,22943.74,24942.92
"Revenue 19496 22171 22943.74 24942.92  Other Revenue, Total - - - -","Revenue 19496 22171 22943.74 24942.92  Other Revenue, Total - - - -","Revenue 19496 22171 22943.74 24942.92  Other Revenue, Total - - - -","Revenue 19496 22171 22943.74 24942.92  Other Revenue, Total - - - -","Revenue 19496 22171 22943.74 24942.92  Other Revenue, Total - - - -"
Revenue,19496,22171,22943.74,24942.92
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",14484,16515,16628.12,17971.6
Gross Profit,5012,5656,6315.61,6971.31
Total Operating Expenses,18571,20791,21205.24,22760.07
"Selling/General/Admin. Expenses, Total 4087 3357 3533.86 4039.01  Research & Development - 840 853.54 867.12  Depreciation / Amortization 413 482 80.22 -196.21  Interest Expense (Income) - Net Operating -61 -62 - -  Unusual Expense (Income) - 127 109.5 78.55  Other Operating Expenses, Total -352 -341 - -","Selling/General/Admin. Expenses, Total 4087 3357 3533.86 4039.01  Research & Development - 840 853.54 867.12  Depreciation / Amortization 413 482 80.22 -196.21  Interest Expense (Income) - Net Operating -61 -62 - -  Unusual Expense (Income) - 127 109.5 78.55  Other Operating Expenses, Total -352 -341 - -","Selling/General/Admin. Expenses, Total 4087 3357 3533.86 4039.01  Research & Development - 840 853.54 867.12  Depreciation / Amortization 413 482 80.22 -196.21  Interest Expense (Income) - Net Operating -61 -62 - -  Unusual Expense (Income) - 127 109.5 78.55  Other Operating Expenses, Total -352 -341 - -","Selling/General/Admin. Expenses, Total 4087 3357 3533.86 4039.01  Research & Development - 840 853.54 867.12  Depreciation / Amortization 413 482 80.22 -196.21  Interest Expense (Income) - Net Operating -61 -62 - -  Unusual Expense (Income) - 127 109.5 78.55  Other Operating Expenses, Total -352 -341 - -","Selling/General/Admin. Expenses, Total 4087 3357 3533.86 4039.01  Research & Development - 840 853.54 867.12  Depreciation / Amortization 413 482 80.22 -196.21  Interest Expense (Income) - Net Operating -61 -62 - -  Unusual Expense (Income) - 127 109.5 78.55  Other Operating Expenses, Total -352 -341 - -"
"Selling/General/Admin. Expenses, Total",4087,3357,3533.86,4039.01
Research & Development,-,840,853.54,867.12
Depreciation / Amortization,413,482,80.22,-196.21
Interest Expense (Income) - Net Operating,-61,-62,-,-
Unusual Expense (Income),-,127,109.5,78.55
"Other Operating Expenses, Total",-352,-341,-,-
Operating Income,925,1380,1738.49,2182.84
"Interest Income (Expense), Net Non-Operating",-,54.23,57.47,69.02
Gain (Loss) on Sale of Assets,-,-5,-,-
"Other, Net",-69,53,31.36,39.76
Net Income Before Taxes,994,1332,1827.32,2291.62
Provision for Income Taxes,340,537,554.48,567.17
Net Income After Taxes,654,795,1272.84,1724.45
Minority Interest,4376,4368,-188.82,-158.57
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,588,716,1084.02,1565.88
Total Extraordinary Items,-,-,-,-
Net Income,588,716,1084.02,1565.88
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,588,716,1084.02,1565.88
Dilution Adjustment,-,-,-,-
Diluted Net Income,588,716,1084.02,1565.88
Diluted Weighted Average Shares,17.79,17.79,17.79,17.79
Diluted EPS Excluding Extraordinary Items,33.05,40.24,60.93,88.01
DPS - Common Stock Primary Issue,10,10,10,10
Diluted Normalized EPS,31.7,46.78,65.22,75.62
