Period Ending:,202231/07,202131/07,202031/07,201931/07
Total Revenue,33980,30261.21,21494.6,17168.66
"Revenue 33980 30261.21 21494.6 17168.66  Other Revenue, Total - - - -","Revenue 33980 30261.21 21494.6 17168.66  Other Revenue, Total - - - -","Revenue 33980 30261.21 21494.6 17168.66  Other Revenue, Total - - - -","Revenue 33980 30261.21 21494.6 17168.66  Other Revenue, Total - - - -","Revenue 33980 30261.21 21494.6 17168.66  Other Revenue, Total - - - -"
Revenue,33980,30261.21,21494.6,17168.66
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",24176,23109.4,16566.46,13224.44
Gross Profit,9804,7151.81,4928.14,3944.22
Total Operating Expenses,33516,30040.66,21759.17,17024.8
"Selling/General/Admin. Expenses, Total 9340 6931.25 5077.83 3800.37  Research & Development - - - -  Depreciation / Amortization 227 197.47 94.59 130.86  Interest Expense (Income) - Net Operating -34 -32.99 - -8.44  Unusual Expense (Income) - 24.7 20.29 52.84  Other Operating Expenses, Total -193 -164.48 - -122.42","Selling/General/Admin. Expenses, Total 9340 6931.25 5077.83 3800.37  Research & Development - - - -  Depreciation / Amortization 227 197.47 94.59 130.86  Interest Expense (Income) - Net Operating -34 -32.99 - -8.44  Unusual Expense (Income) - 24.7 20.29 52.84  Other Operating Expenses, Total -193 -164.48 - -122.42","Selling/General/Admin. Expenses, Total 9340 6931.25 5077.83 3800.37  Research & Development - - - -  Depreciation / Amortization 227 197.47 94.59 130.86  Interest Expense (Income) - Net Operating -34 -32.99 - -8.44  Unusual Expense (Income) - 24.7 20.29 52.84  Other Operating Expenses, Total -193 -164.48 - -122.42","Selling/General/Admin. Expenses, Total 9340 6931.25 5077.83 3800.37  Research & Development - - - -  Depreciation / Amortization 227 197.47 94.59 130.86  Interest Expense (Income) - Net Operating -34 -32.99 - -8.44  Unusual Expense (Income) - 24.7 20.29 52.84  Other Operating Expenses, Total -193 -164.48 - -122.42","Selling/General/Admin. Expenses, Total 9340 6931.25 5077.83 3800.37  Research & Development - - - -  Depreciation / Amortization 227 197.47 94.59 130.86  Interest Expense (Income) - Net Operating -34 -32.99 - -8.44  Unusual Expense (Income) - 24.7 20.29 52.84  Other Operating Expenses, Total -193 -164.48 - -122.42"
"Selling/General/Admin. Expenses, Total",9340,6931.25,5077.83,3800.37
Research & Development,-,-,-,-
Depreciation / Amortization,227,197.47,94.59,130.86
Interest Expense (Income) - Net Operating,-34,-32.99,-,-8.44
Unusual Expense (Income),-,24.7,20.29,52.84
"Other Operating Expenses, Total",-193,-164.48,-,-122.42
Operating Income,464,220.56,-264.57,143.86
"Interest Income (Expense), Net Non-Operating",-,-27.05,-24.98,-9.41
Gain (Loss) on Sale of Assets,708,-20.97,-,-47.3
"Other, Net",-741,136.18,-99.17,113.51
Net Income Before Taxes,497,105.34,-388.72,77.64
Provision for Income Taxes,-524,-54.66,105.41,8.04
Net Income After Taxes,1021,160,-494.13,69.6
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1021,160,-494.13,69.6
Total Extraordinary Items,-,-,-,-
Net Income,1021,160,-494.13,69.6
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,1021,160,-494.13,69.6
Dilution Adjustment,6,-,-,-
Diluted Net Income,1015,160,-494.13,69.6
Diluted Weighted Average Shares,61.63,56.98,56.03,58.49
Diluted EPS Excluding Extraordinary Items,16.47,2.81,-8.82,1.19
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-1.7,2.18,-4.07,1.41
