Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,756376,629370,541797,575807
"Revenue 756376 629370 541797 575807  Other Revenue, Total - - - -","Revenue 756376 629370 541797 575807  Other Revenue, Total - - - -","Revenue 756376 629370 541797 575807  Other Revenue, Total - - - -","Revenue 756376 629370 541797 575807  Other Revenue, Total - - - -","Revenue 756376 629370 541797 575807  Other Revenue, Total - - - -"
Revenue,756376,629370,541797,575807
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",514713,425234,376386,395125
Gross Profit,241663,204136,165411,180682
Total Operating Expenses,669237,568384,530003,569746
"Selling/General/Admin. Expenses, Total 133474 112336 101758 106779  Research & Development 21050 19543 19311 19729  Depreciation / Amortization 65456 - - -  Interest Expense (Income) - Net Operating -1457 - - -  Unusual Expense (Income) - 11270 32547 48112  Other Operating Expenses, Total -63999 1 1 1","Selling/General/Admin. Expenses, Total 133474 112336 101758 106779  Research & Development 21050 19543 19311 19729  Depreciation / Amortization 65456 - - -  Interest Expense (Income) - Net Operating -1457 - - -  Unusual Expense (Income) - 11270 32547 48112  Other Operating Expenses, Total -63999 1 1 1","Selling/General/Admin. Expenses, Total 133474 112336 101758 106779  Research & Development 21050 19543 19311 19729  Depreciation / Amortization 65456 - - -  Interest Expense (Income) - Net Operating -1457 - - -  Unusual Expense (Income) - 11270 32547 48112  Other Operating Expenses, Total -63999 1 1 1","Selling/General/Admin. Expenses, Total 133474 112336 101758 106779  Research & Development 21050 19543 19311 19729  Depreciation / Amortization 65456 - - -  Interest Expense (Income) - Net Operating -1457 - - -  Unusual Expense (Income) - 11270 32547 48112  Other Operating Expenses, Total -63999 1 1 1","Selling/General/Admin. Expenses, Total 133474 112336 101758 106779  Research & Development 21050 19543 19311 19729  Depreciation / Amortization 65456 - - -  Interest Expense (Income) - Net Operating -1457 - - -  Unusual Expense (Income) - 11270 32547 48112  Other Operating Expenses, Total -63999 1 1 1"
"Selling/General/Admin. Expenses, Total",133474,112336,101758,106779
Research & Development,21050,19543,19311,19729
Depreciation / Amortization,65456,-,-,-
Interest Expense (Income) - Net Operating,-1457,-,-,-
Unusual Expense (Income),-,11270,32547,48112
"Other Operating Expenses, Total",-63999,1,1,1
Operating Income,87139,60986,11794,6061
"Interest Income (Expense), Net Non-Operating",-,-297,14,-398
Gain (Loss) on Sale of Assets,1628,-,-,-
"Other, Net",7516,-1992,-2681,-2770
Net Income Before Taxes,77995,58697,9127,2893
Provision for Income Taxes,22388,20336,5815,3810
Net Income After Taxes,55607,38361,3312,-917
Minority Interest,21443,-1098,-740,-1039
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,54307,37263,2572,-1956
Total Extraordinary Items,-,-,-,-
Net Income,54307,37263,2572,-1956
Total Adjustments to Net Income,-,-1,-2,-
Income Available to Common Excluding Extraordinary Items,54307,37262,2570,-1956
Dilution Adjustment,-,-,-,-
Diluted Net Income,54307,37262,2570,-1956
Diluted Weighted Average Shares,337.31,344.28,344.16,345.82
Diluted EPS Excluding Extraordinary Items,161,108.23,7.47,-5.66
DPS - Common Stock Primary Issue,-,40,40,42
Diluted Normalized EPS,153.73,129.62,68.94,84.77
