Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Revenue,642023,562847,651956,733569
"Revenue 642023 562847 651956 733569  Other Revenue, Total - - - -","Revenue 642023 562847 651956 733569  Other Revenue, Total - - - -","Revenue 642023 562847 651956 733569  Other Revenue, Total - - - -","Revenue 642023 562847 651956 733569  Other Revenue, Total - - - -","Revenue 642023 562847 651956 733569  Other Revenue, Total - - - -"
Revenue,642023,562847,651956,733569
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",536070,477666,549397,603082
Gross Profit,105953,85181,102559,130487
Total Operating Expenses,635142,565985,678670,725696
"Selling/General/Admin. Expenses, Total 88606 69473 77421 86586  Research & Development 10466 10804 12158 12900  Depreciation / Amortization 37898 35478 5462 4055  Interest Expense (Income) - Net Operating -4277 -3505 - -  Unusual Expense (Income) 4341 4131 34231 19072  Other Operating Expenses, Total -33621 -23931 1 1","Selling/General/Admin. Expenses, Total 88606 69473 77421 86586  Research & Development 10466 10804 12158 12900  Depreciation / Amortization 37898 35478 5462 4055  Interest Expense (Income) - Net Operating -4277 -3505 - -  Unusual Expense (Income) 4341 4131 34231 19072  Other Operating Expenses, Total -33621 -23931 1 1","Selling/General/Admin. Expenses, Total 88606 69473 77421 86586  Research & Development 10466 10804 12158 12900  Depreciation / Amortization 37898 35478 5462 4055  Interest Expense (Income) - Net Operating -4277 -3505 - -  Unusual Expense (Income) 4341 4131 34231 19072  Other Operating Expenses, Total -33621 -23931 1 1","Selling/General/Admin. Expenses, Total 88606 69473 77421 86586  Research & Development 10466 10804 12158 12900  Depreciation / Amortization 37898 35478 5462 4055  Interest Expense (Income) - Net Operating -4277 -3505 - -  Unusual Expense (Income) 4341 4131 34231 19072  Other Operating Expenses, Total -33621 -23931 1 1","Selling/General/Admin. Expenses, Total 88606 69473 77421 86586  Research & Development 10466 10804 12158 12900  Depreciation / Amortization 37898 35478 5462 4055  Interest Expense (Income) - Net Operating -4277 -3505 - -  Unusual Expense (Income) 4341 4131 34231 19072  Other Operating Expenses, Total -33621 -23931 1 1"
"Selling/General/Admin. Expenses, Total",88606,69473,77421,86586
Research & Development,10466,10804,12158,12900
Depreciation / Amortization,37898,35478,5462,4055
Interest Expense (Income) - Net Operating,-4277,-3505,-,-
Unusual Expense (Income),4341,4131,34231,19072
"Other Operating Expenses, Total",-33621,-23931,1,1
Operating Income,6881,-3138,-26714,7873
"Interest Income (Expense), Net Non-Operating",11367,6689,-5563,-4877
Gain (Loss) on Sale of Assets,14333,5699,627,-220
"Other, Net",-25070,-7581,-2299,162
Net Income Before Taxes,17618,-1256,-33949,2938
Provision for Income Taxes,8522,9334,10144,9105
Net Income After Taxes,9096,-10590,-44093,-6167
Minority Interest,18574,13224,101,-792
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,7341,-11641,-43992,-6959
Total Extraordinary Items,-,-,-,-
Net Income,7341,-11641,-43992,-6959
Total Adjustments to Net Income,-,-,-,1
Income Available to Common Excluding Extraordinary Items,7341,-11641,-43992,-6958
Dilution Adjustment,-,-,-,-
Diluted Net Income,7341,-11641,-43992,-6958
Diluted Weighted Average Shares,530.98,531.16,531.15,531.11
Diluted EPS Excluding Extraordinary Items,13.83,-21.92,-82.82,-13.1
DPS - Common Stock Primary Issue,-,-,5,15
Diluted Normalized EPS,5.67,-5.3,-41.7,10.51
