Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,140938,116313,92973,120577
"Revenue 140938 116313 92973 120577  Other Revenue, Total - - - -","Revenue 140938 116313 92973 120577  Other Revenue, Total - - - -","Revenue 140938 116313 92973 120577  Other Revenue, Total - - - -","Revenue 140938 116313 92973 120577  Other Revenue, Total - - - -","Revenue 140938 116313 92973 120577  Other Revenue, Total - - - -"
Revenue,140938,116313,92973,120577
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",130457,108689,86402,108536
Gross Profit,10481,7624,6571,12041
Total Operating Expenses,140911,118735,95526,119445
"Selling/General/Admin. Expenses, Total 4940 9079 8174 10339  Research & Development 558 556 507 550  Depreciation / Amortization 12906 11919 12901 387  Interest Expense (Income) - Net Operating -759 -505 -475 -  Unusual Expense (Income) - 4029 533 -368  Other Operating Expenses, Total -11736 -11003 -11983 1","Selling/General/Admin. Expenses, Total 4940 9079 8174 10339  Research & Development 558 556 507 550  Depreciation / Amortization 12906 11919 12901 387  Interest Expense (Income) - Net Operating -759 -505 -475 -  Unusual Expense (Income) - 4029 533 -368  Other Operating Expenses, Total -11736 -11003 -11983 1","Selling/General/Admin. Expenses, Total 4940 9079 8174 10339  Research & Development 558 556 507 550  Depreciation / Amortization 12906 11919 12901 387  Interest Expense (Income) - Net Operating -759 -505 -475 -  Unusual Expense (Income) - 4029 533 -368  Other Operating Expenses, Total -11736 -11003 -11983 1","Selling/General/Admin. Expenses, Total 4940 9079 8174 10339  Research & Development 558 556 507 550  Depreciation / Amortization 12906 11919 12901 387  Interest Expense (Income) - Net Operating -759 -505 -475 -  Unusual Expense (Income) - 4029 533 -368  Other Operating Expenses, Total -11736 -11003 -11983 1","Selling/General/Admin. Expenses, Total 4940 9079 8174 10339  Research & Development 558 556 507 550  Depreciation / Amortization 12906 11919 12901 387  Interest Expense (Income) - Net Operating -759 -505 -475 -  Unusual Expense (Income) - 4029 533 -368  Other Operating Expenses, Total -11736 -11003 -11983 1"
"Selling/General/Admin. Expenses, Total",4940,9079,8174,10339
Research & Development,558,556,507,550
Depreciation / Amortization,12906,11919,12901,387
Interest Expense (Income) - Net Operating,-759,-505,-475,-
Unusual Expense (Income),-,4029,533,-368
"Other Operating Expenses, Total",-11736,-11003,-11983,1
Operating Income,27,-2422,-2553,1132
"Interest Income (Expense), Net Non-Operating",-,2222,-545,-389
Gain (Loss) on Sale of Assets,2994,2298,-119,-146
"Other, Net",-2991,-752,398,-11
Net Income Before Taxes,24,-3968,-2832,586
Provision for Income Taxes,108,1221,11,1271
Net Income After Taxes,-84,-5189,-2843,-685
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-84,-5189,-2843,-685
Total Extraordinary Items,-,-,-,-
Net Income,-84,-5189,-2843,-685
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,-84,-5189,-2843,-685
Dilution Adjustment,-,-,-,-
Diluted Net Income,-84,-5189,-2843,-685
Diluted Weighted Average Shares,25.91,25.79,25.6,25.62
Diluted EPS Excluding Extraordinary Items,-3.24,-201.22,-111.06,-26.74
DPS - Common Stock Primary Issue,10,10,5,8
Diluted Normalized EPS,2.22,-54.22,-53.22,-32.38
