Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,45560,43134,41528,44063
"Revenue - 43134 41528 44063  Other Revenue, Total - - - -","Revenue - 43134 41528 44063  Other Revenue, Total - - - -","Revenue - 43134 41528 44063  Other Revenue, Total - - - -","Revenue - 43134 41528 44063  Other Revenue, Total - - - -","Revenue - 43134 41528 44063  Other Revenue, Total - - - -"
Revenue,-,43134,41528,44063
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,29638,28346,29182
Gross Profit,-,13496,13182,14881
Total Operating Expenses,-,40753,39540,41802
"Selling/General/Admin. Expenses, Total - 11046 9790 10531  Research & Development - - 1064 1067  Depreciation / Amortization - - 327 307  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 69 12 714  Other Operating Expenses, Total - - 1 1","Selling/General/Admin. Expenses, Total - 11046 9790 10531  Research & Development - - 1064 1067  Depreciation / Amortization - - 327 307  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 69 12 714  Other Operating Expenses, Total - - 1 1","Selling/General/Admin. Expenses, Total - 11046 9790 10531  Research & Development - - 1064 1067  Depreciation / Amortization - - 327 307  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 69 12 714  Other Operating Expenses, Total - - 1 1","Selling/General/Admin. Expenses, Total - 11046 9790 10531  Research & Development - - 1064 1067  Depreciation / Amortization - - 327 307  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 69 12 714  Other Operating Expenses, Total - - 1 1","Selling/General/Admin. Expenses, Total - 11046 9790 10531  Research & Development - - 1064 1067  Depreciation / Amortization - - 327 307  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 69 12 714  Other Operating Expenses, Total - - 1 1"
"Selling/General/Admin. Expenses, Total",-,11046,9790,10531
Research & Development,-,-,1064,1067
Depreciation / Amortization,-,-,327,307
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,69,12,714
"Other Operating Expenses, Total",-,-,1,1
Operating Income,-,2381,1988,2261
"Interest Income (Expense), Net Non-Operating",-,121,87,87
Gain (Loss) on Sale of Assets,-,-,-157,106
"Other, Net",-,59,-18,33
Net Income Before Taxes,-,2561,1900,2487
Provision for Income Taxes,-,751,550,735
Net Income After Taxes,-,1810,1350,1752
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-,1810,1350,1752
Total Extraordinary Items,-,-,-,-
Net Income,-,1810,1350,1752
Total Adjustments to Net Income,-,-1,-,-1
Income Available to Common Excluding Extraordinary Items,-,1809,1350,1751
Dilution Adjustment,-,-,-,-
Diluted Net Income,-,1809,1350,1751
Diluted Weighted Average Shares,-,20.72,20.72,20.72
Diluted EPS Excluding Extraordinary Items,-,87.3,65.15,84.5
DPS - Common Stock Primary Issue,-,30,30,33
Diluted Normalized EPS,-,89.66,70.95,105.17
