Period Ending:,202230/04,202130/04,202030/04,Unnamed: 4
Total Revenue,14164.14,7636.04,3478.7,-
"Revenue 14164.14 7636.04 3478.7 -  Other Revenue, Total - - - -","Revenue 14164.14 7636.04 3478.7 -  Other Revenue, Total - - - -","Revenue 14164.14 7636.04 3478.7 -  Other Revenue, Total - - - -","Revenue 14164.14 7636.04 3478.7 -  Other Revenue, Total - - - -","Revenue 14164.14 7636.04 3478.7 -  Other Revenue, Total - - - -"
Revenue,14164.14,7636.04,3478.7,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",8179.81,4699.9,2525.47,-
Gross Profit,5984.34,2936.14,953.23,-
Total Operating Expenses,10123.4,6384.85,3434.43,-
"Selling/General/Admin. Expenses, Total 1793.26 1473.45 893.78 -  Research & Development - 0.4 9.89 -  Depreciation / Amortization - 10.27 5.3 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 150.33 200.82 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1793.26 1473.45 893.78 -  Research & Development - 0.4 9.89 -  Depreciation / Amortization - 10.27 5.3 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 150.33 200.82 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1793.26 1473.45 893.78 -  Research & Development - 0.4 9.89 -  Depreciation / Amortization - 10.27 5.3 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 150.33 200.82 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1793.26 1473.45 893.78 -  Research & Development - 0.4 9.89 -  Depreciation / Amortization - 10.27 5.3 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 150.33 200.82 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1793.26 1473.45 893.78 -  Research & Development - 0.4 9.89 -  Depreciation / Amortization - 10.27 5.3 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 150.33 200.82 - -  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",1793.26,1473.45,893.78,-
Research & Development,-,0.4,9.89,-
Depreciation / Amortization,-,10.27,5.3,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),150.33,200.82,-,-
"Other Operating Expenses, Total",-,-,-,-
Operating Income,4040.74,1251.19,44.27,-
"Interest Income (Expense), Net Non-Operating",-12.03,-6.72,-2.59,-
Gain (Loss) on Sale of Assets,-,10.98,-,-
"Other, Net",-30.03,5.81,0.33,-
Net Income Before Taxes,3998.68,1261.26,42.01,-
Provision for Income Taxes,1205.62,323.97,9.57,-
Net Income After Taxes,2793.06,937.3,32.44,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2793.06,937.3,32.44,-
Total Extraordinary Items,-,-,-,-
Net Income,2793.06,937.3,32.44,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,2793.06,937.3,32.44,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,2793.06,937.3,32.44,-
Diluted Weighted Average Shares,29.94,29.99,29.99,-
Diluted EPS Excluding Extraordinary Items,93.28,31.25,1.08,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,96.78,35.95,1.08,-
