Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,1292203,1124140,988424,978445
"Revenue 1292203 1124140 988424 978445  Other Revenue, Total - - - -","Revenue 1292203 1124140 988424 978445  Other Revenue, Total - - - -","Revenue 1292203 1124140 988424 978445  Other Revenue, Total - - - -","Revenue 1292203 1124140 988424 978445  Other Revenue, Total - - - -","Revenue 1292203 1124140 988424 978445  Other Revenue, Total - - - -"
Revenue,1292203,1124140,988424,978445
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1071359,908556,820832,811859
Gross Profit,220844,215584,167592,166586
Total Operating Expenses,1190681,1032494,933625,919798
"Selling/General/Admin. Expenses, Total 144347 125276 107785 107647  Research & Development - 37065 32154 -  Depreciation / Amortization 53133 45231 48628 -  Interest Expense (Income) - Net Operating -7460 -1514 -1740 -  Unusual Expense (Income) - - 10390 1160  Other Operating Expenses, Total -70698 -82120 -74034 -868","Selling/General/Admin. Expenses, Total 144347 125276 107785 107647  Research & Development - 37065 32154 -  Depreciation / Amortization 53133 45231 48628 -  Interest Expense (Income) - Net Operating -7460 -1514 -1740 -  Unusual Expense (Income) - - 10390 1160  Other Operating Expenses, Total -70698 -82120 -74034 -868","Selling/General/Admin. Expenses, Total 144347 125276 107785 107647  Research & Development - 37065 32154 -  Depreciation / Amortization 53133 45231 48628 -  Interest Expense (Income) - Net Operating -7460 -1514 -1740 -  Unusual Expense (Income) - - 10390 1160  Other Operating Expenses, Total -70698 -82120 -74034 -868","Selling/General/Admin. Expenses, Total 144347 125276 107785 107647  Research & Development - 37065 32154 -  Depreciation / Amortization 53133 45231 48628 -  Interest Expense (Income) - Net Operating -7460 -1514 -1740 -  Unusual Expense (Income) - - 10390 1160  Other Operating Expenses, Total -70698 -82120 -74034 -868","Selling/General/Admin. Expenses, Total 144347 125276 107785 107647  Research & Development - 37065 32154 -  Depreciation / Amortization 53133 45231 48628 -  Interest Expense (Income) - Net Operating -7460 -1514 -1740 -  Unusual Expense (Income) - - 10390 1160  Other Operating Expenses, Total -70698 -82120 -74034 -868"
"Selling/General/Admin. Expenses, Total",144347,125276,107785,107647
Research & Development,-,37065,32154,-
Depreciation / Amortization,53133,45231,48628,-
Interest Expense (Income) - Net Operating,-7460,-1514,-1740,-
Unusual Expense (Income),-,-,10390,1160
"Other Operating Expenses, Total",-70698,-82120,-74034,-868
Operating Income,101522,91646,54799,58647
"Interest Income (Expense), Net Non-Operating",-,-1348,-1822,-639
Gain (Loss) on Sale of Assets,-,355,28,-
"Other, Net",5402,503,5244,81
Net Income Before Taxes,96120,90788,49527,58089
Provision for Income Taxes,18938,21862,10740,11166
Net Income After Taxes,77182,68926,38787,46923
Minority Interest,10453,2825,2857,-948
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,77010,68935,38759,45975
Total Extraordinary Items,-,-,-,-
Net Income,77010,68935,38759,45975
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,77010,68935,38759,45975
Dilution Adjustment,-0.362,-18,-51,51
Diluted Net Income,77010.36,68953,38810,46026
Diluted Weighted Average Shares,412.39,413.87,417.92,423.49
Diluted EPS Excluding Extraordinary Items,186.74,166.61,92.87,108.68
DPS - Common Stock Primary Issue,40,36,28,28
Diluted Normalized EPS,145.26,136.79,79.98,110.9
