Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,1359115,1149370,1071453,1100039
"Revenue 1359115 1149370 1071453 1100039  Other Revenue, Total - - - -","Revenue 1359115 1149370 1071453 1100039  Other Revenue, Total - - - -","Revenue 1359115 1149370 1071453 1100039  Other Revenue, Total - - - -","Revenue 1359115 1149370 1071453 1100039  Other Revenue, Total - - - -","Revenue 1359115 1149370 1071453 1100039  Other Revenue, Total - - - -"
Revenue,1359115,1149370,1071453,1100039
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",888727,723472,665234,696166
Gross Profit,470388,425898,406219,403873
Total Operating Expenses,1210212,1027452,969311,1049476
"Selling/General/Admin. Expenses, Total 313505 281155 251625 258497  Research & Development 25867 24842 23080 24789  Depreciation / Amortization 71820 66234 19694 18905  Interest Expense (Income) - Net Operating -3900 -3587 -1317 2493  Unusual Expense (Income) - - 5147 37479  Other Operating Expenses, Total -67308 -64664 5848 11147","Selling/General/Admin. Expenses, Total 313505 281155 251625 258497  Research & Development 25867 24842 23080 24789  Depreciation / Amortization 71820 66234 19694 18905  Interest Expense (Income) - Net Operating -3900 -3587 -1317 2493  Unusual Expense (Income) - - 5147 37479  Other Operating Expenses, Total -67308 -64664 5848 11147","Selling/General/Admin. Expenses, Total 313505 281155 251625 258497  Research & Development 25867 24842 23080 24789  Depreciation / Amortization 71820 66234 19694 18905  Interest Expense (Income) - Net Operating -3900 -3587 -1317 2493  Unusual Expense (Income) - - 5147 37479  Other Operating Expenses, Total -67308 -64664 5848 11147","Selling/General/Admin. Expenses, Total 313505 281155 251625 258497  Research & Development 25867 24842 23080 24789  Depreciation / Amortization 71820 66234 19694 18905  Interest Expense (Income) - Net Operating -3900 -3587 -1317 2493  Unusual Expense (Income) - - 5147 37479  Other Operating Expenses, Total -67308 -64664 5848 11147","Selling/General/Admin. Expenses, Total 313505 281155 251625 258497  Research & Development 25867 24842 23080 24789  Depreciation / Amortization 71820 66234 19694 18905  Interest Expense (Income) - Net Operating -3900 -3587 -1317 2493  Unusual Expense (Income) - - 5147 37479  Other Operating Expenses, Total -67308 -64664 5848 11147"
"Selling/General/Admin. Expenses, Total",313505,281155,251625,258497
Research & Development,25867,24842,23080,24789
Depreciation / Amortization,71820,66234,19694,18905
Interest Expense (Income) - Net Operating,-3900,-3587,-1317,2493
Unusual Expense (Income),-,-,5147,37479
"Other Operating Expenses, Total",-67308,-64664,5848,11147
Operating Income,148903,121918,102142,50563
"Interest Income (Expense), Net Non-Operating",-,-2100,-3822,-1769
Gain (Loss) on Sale of Assets,-4300,10680,-,-
"Other, Net",13171,-11234,-,1
Net Income Before Taxes,140032,122472,98320,48795
Provision for Income Taxes,39863,42244,32040,20384
Net Income After Taxes,-,80228,66280,28411
Minority Interest,54292,52834,-6864,-10132
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,94065,75725,59416,18279
Total Extraordinary Items,-,-,-,558
Net Income,94065,75725,59416,18837
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,94065,75725,59416,18279
Dilution Adjustment,0.479,-,-,-
Diluted Net Income,94064.52,75725,59416,18837
Diluted Weighted Average Shares,534.58,543.14,548.5,548.14
Diluted EPS Excluding Extraordinary Items,175.96,139.42,108.32,33.35
DPS - Common Stock Primary Issue,68,52,42,32
Diluted Normalized EPS,157.33,128.91,114.65,73.16
