Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,52356,45663,44821,48582
"Revenue 52356 45663 44821 48582  Other Revenue, Total - - - -","Revenue 52356 45663 44821 48582  Other Revenue, Total - - - -","Revenue 52356 45663 44821 48582  Other Revenue, Total - - - -","Revenue 52356 45663 44821 48582  Other Revenue, Total - - - -","Revenue 52356 45663 44821 48582  Other Revenue, Total - - - -"
Revenue,52356,45663,44821,48582
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",46427,39729,37334,41147
Gross Profit,5929,5934,7487,7435
Total Operating Expenses,49543,42836,40827,44291
"Selling/General/Admin. Expenses, Total 3116 2763 2784 2858  Research & Development 101 91 114 122  Depreciation / Amortization 3999 148 123 113  Interest Expense (Income) - Net Operating -221 - - -  Unusual Expense (Income) - 104 470 51  Other Operating Expenses, Total -3627 1 2 -","Selling/General/Admin. Expenses, Total 3116 2763 2784 2858  Research & Development 101 91 114 122  Depreciation / Amortization 3999 148 123 113  Interest Expense (Income) - Net Operating -221 - - -  Unusual Expense (Income) - 104 470 51  Other Operating Expenses, Total -3627 1 2 -","Selling/General/Admin. Expenses, Total 3116 2763 2784 2858  Research & Development 101 91 114 122  Depreciation / Amortization 3999 148 123 113  Interest Expense (Income) - Net Operating -221 - - -  Unusual Expense (Income) - 104 470 51  Other Operating Expenses, Total -3627 1 2 -","Selling/General/Admin. Expenses, Total 3116 2763 2784 2858  Research & Development 101 91 114 122  Depreciation / Amortization 3999 148 123 113  Interest Expense (Income) - Net Operating -221 - - -  Unusual Expense (Income) - 104 470 51  Other Operating Expenses, Total -3627 1 2 -","Selling/General/Admin. Expenses, Total 3116 2763 2784 2858  Research & Development 101 91 114 122  Depreciation / Amortization 3999 148 123 113  Interest Expense (Income) - Net Operating -221 - - -  Unusual Expense (Income) - 104 470 51  Other Operating Expenses, Total -3627 1 2 -"
"Selling/General/Admin. Expenses, Total",3116,2763,2784,2858
Research & Development,101,91,114,122
Depreciation / Amortization,3999,148,123,113
Interest Expense (Income) - Net Operating,-221,-,-,-
Unusual Expense (Income),-,104,470,51
"Other Operating Expenses, Total",-3627,1,2,-
Operating Income,2813,2827,3994,4291
"Interest Income (Expense), Net Non-Operating",-,-83,-169,-502
Gain (Loss) on Sale of Assets,-34,1,2,10
"Other, Net",880,-99,19,-31
Net Income Before Taxes,1967,2646,3846,3768
Provision for Income Taxes,548,416,954,977
Net Income After Taxes,1419,2230,2892,2791
Minority Interest,1954,-232,-380,-361
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1298,1998,2512,2430
Total Extraordinary Items,-,-,-,-
Net Income,1298,1998,2512,2430
Total Adjustments to Net Income,-,-2,-1,-1
Income Available to Common Excluding Extraordinary Items,1298,1996,2511,2429
Dilution Adjustment,-,-,-,-
Diluted Net Income,1298,1996,2511,2429
Diluted Weighted Average Shares,11.74,11.74,11.79,11.86
Diluted EPS Excluding Extraordinary Items,110.6,170.08,212.94,204.88
DPS - Common Stock Primary Issue,16,12,8,8
Diluted Normalized EPS,135.98,177.47,242.78,207.44
