Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,227366,225317,197092,202760
"Revenue 227366 225317 197092 202760  Other Revenue, Total - - - -","Revenue 227366 225317 197092 202760  Other Revenue, Total - - - -","Revenue 227366 225317 197092 202760  Other Revenue, Total - - - -","Revenue 227366 225317 197092 202760  Other Revenue, Total - - - -","Revenue 227366 225317 197092 202760  Other Revenue, Total - - - -"
Revenue,227366,225317,197092,202760
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",196972,195933,170376,177429
Gross Profit,30394,29384,26716,25331
Total Operating Expenses,217731,215823,188674,196701
"Selling/General/Admin. Expenses, Total 20759 19890 18083 18423  Research & Development - 139 148 145  Depreciation / Amortization 4576 4358 - -  Interest Expense (Income) - Net Operating -102 -245 - -  Unusual Expense (Income) - 194 66 703  Other Operating Expenses, Total -4626 -4252 1 1","Selling/General/Admin. Expenses, Total 20759 19890 18083 18423  Research & Development - 139 148 145  Depreciation / Amortization 4576 4358 - -  Interest Expense (Income) - Net Operating -102 -245 - -  Unusual Expense (Income) - 194 66 703  Other Operating Expenses, Total -4626 -4252 1 1","Selling/General/Admin. Expenses, Total 20759 19890 18083 18423  Research & Development - 139 148 145  Depreciation / Amortization 4576 4358 - -  Interest Expense (Income) - Net Operating -102 -245 - -  Unusual Expense (Income) - 194 66 703  Other Operating Expenses, Total -4626 -4252 1 1","Selling/General/Admin. Expenses, Total 20759 19890 18083 18423  Research & Development - 139 148 145  Depreciation / Amortization 4576 4358 - -  Interest Expense (Income) - Net Operating -102 -245 - -  Unusual Expense (Income) - 194 66 703  Other Operating Expenses, Total -4626 -4252 1 1","Selling/General/Admin. Expenses, Total 20759 19890 18083 18423  Research & Development - 139 148 145  Depreciation / Amortization 4576 4358 - -  Interest Expense (Income) - Net Operating -102 -245 - -  Unusual Expense (Income) - 194 66 703  Other Operating Expenses, Total -4626 -4252 1 1"
"Selling/General/Admin. Expenses, Total",20759,19890,18083,18423
Research & Development,-,139,148,145
Depreciation / Amortization,4576,4358,-,-
Interest Expense (Income) - Net Operating,-102,-245,-,-
Unusual Expense (Income),-,194,66,703
"Other Operating Expenses, Total",-4626,-4252,1,1
Operating Income,9635,9494,8418,6059
"Interest Income (Expense), Net Non-Operating",-,418,168,252
Gain (Loss) on Sale of Assets,35,330,-,33
"Other, Net",-830,-1010,521,424
Net Income Before Taxes,10430,10174,9107,6768
Provision for Income Taxes,3861,3465,3335,2294
Net Income After Taxes,6569,6709,5772,4474
Minority Interest,55,49,-7,-4
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,6561,6700,5765,4470
Total Extraordinary Items,-,-,-,-
Net Income,6561,6700,5765,4470
Total Adjustments to Net Income,-,-,-2,-
Income Available to Common Excluding Extraordinary Items,6561,6700,5763,4470
Dilution Adjustment,-,-,-,-
Diluted Net Income,6561,6700,5763,4470
Diluted Weighted Average Shares,71.57,71.51,71.51,71.51
Diluted EPS Excluding Extraordinary Items,91.67,93.69,80.59,62.51
DPS - Common Stock Primary Issue,28,28,20,20
Diluted Normalized EPS,91.59,87.6,81.17,68.7
