Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Revenue,23072,15334,9174,5369.69
"Revenue 23072 15334 9174 5369.69  Other Revenue, Total - - - -","Revenue 23072 15334 9174 5369.69  Other Revenue, Total - - - -","Revenue 23072 15334 9174 5369.69  Other Revenue, Total - - - -","Revenue 23072 15334 9174 5369.69  Other Revenue, Total - - - -","Revenue 23072 15334 9174 5369.69  Other Revenue, Total - - - -"
Revenue,23072,15334,9174,5369.69
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",13385,9029,5424,3221.21
Gross Profit,9687,6305,3750,2148.48
Total Operating Expenses,16939,11550,7299,4466.39
"Selling/General/Admin. Expenses, Total 3208 2519 1873 1238.74  Research & Development - - - -  Depreciation / Amortization 848 - - -  Interest Expense (Income) - Net Operating -210 - - -  Unusual Expense (Income) - - 1 6.44  Other Operating Expenses, Total -292 2 1 -","Selling/General/Admin. Expenses, Total 3208 2519 1873 1238.74  Research & Development - - - -  Depreciation / Amortization 848 - - -  Interest Expense (Income) - Net Operating -210 - - -  Unusual Expense (Income) - - 1 6.44  Other Operating Expenses, Total -292 2 1 -","Selling/General/Admin. Expenses, Total 3208 2519 1873 1238.74  Research & Development - - - -  Depreciation / Amortization 848 - - -  Interest Expense (Income) - Net Operating -210 - - -  Unusual Expense (Income) - - 1 6.44  Other Operating Expenses, Total -292 2 1 -","Selling/General/Admin. Expenses, Total 3208 2519 1873 1238.74  Research & Development - - - -  Depreciation / Amortization 848 - - -  Interest Expense (Income) - Net Operating -210 - - -  Unusual Expense (Income) - - 1 6.44  Other Operating Expenses, Total -292 2 1 -","Selling/General/Admin. Expenses, Total 3208 2519 1873 1238.74  Research & Development - - - -  Depreciation / Amortization 848 - - -  Interest Expense (Income) - Net Operating -210 - - -  Unusual Expense (Income) - - 1 6.44  Other Operating Expenses, Total -292 2 1 -"
"Selling/General/Admin. Expenses, Total",3208,2519,1873,1238.74
Research & Development,-,-,-,-
Depreciation / Amortization,848,-,-,-
Interest Expense (Income) - Net Operating,-210,-,-,-
Unusual Expense (Income),-,-,1,6.44
"Other Operating Expenses, Total",-292,2,1,-
Operating Income,6133,3784,1875,903.3
"Interest Income (Expense), Net Non-Operating",-,-151,-116,-51.95
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",74,146,18,6.95
Net Income Before Taxes,6059,3779,1777,858.3
Provision for Income Taxes,1780,1151,538,255.66
Net Income After Taxes,4279,2628,1239,602.64
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4279,2628,1239,602.64
Total Extraordinary Items,-,-,-,-
Net Income,4279,2628,1239,602.64
Total Adjustments to Net Income,-,-1,-,-
Income Available to Common Excluding Extraordinary Items,4279,2627,1239,602.64
Dilution Adjustment,-0.433,-,-,-
Diluted Net Income,4279.43,2627,1239,602.64
Diluted Weighted Average Shares,98.08,95.5,92.1,80
Diluted EPS Excluding Extraordinary Items,43.63,27.51,13.08,7.52
DPS - Common Stock Primary Issue,3,2.25,1.5,0.75
Diluted Normalized EPS,38.61,24.72,11.73,6.74
