Period Ending:,202231/12,202131/12,Unnamed: 3,Unnamed: 4
Total Revenue,4253,4102,-,-
"Revenue 4253 - - -  Other Revenue, Total - - - -","Revenue 4253 - - -  Other Revenue, Total - - - -","Revenue 4253 - - -  Other Revenue, Total - - - -","Revenue 4253 - - -  Other Revenue, Total - - - -","Revenue 4253 - - -  Other Revenue, Total - - - -"
Revenue,4253,-,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3100,-,-,-
Gross Profit,1153,-,-,-
Total Operating Expenses,4069,-,-,-
"Selling/General/Admin. Expenses, Total 887 - - -  Research & Development 138 - - -  Depreciation / Amortization 79 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -126 - - -","Selling/General/Admin. Expenses, Total 887 - - -  Research & Development 138 - - -  Depreciation / Amortization 79 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -126 - - -","Selling/General/Admin. Expenses, Total 887 - - -  Research & Development 138 - - -  Depreciation / Amortization 79 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -126 - - -","Selling/General/Admin. Expenses, Total 887 - - -  Research & Development 138 - - -  Depreciation / Amortization 79 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -126 - - -","Selling/General/Admin. Expenses, Total 887 - - -  Research & Development 138 - - -  Depreciation / Amortization 79 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -126 - - -"
"Selling/General/Admin. Expenses, Total",887,-,-,-
Research & Development,138,-,-,-
Depreciation / Amortization,79,-,-,-
Interest Expense (Income) - Net Operating,-9,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-126,-,-,-
Operating Income,184,-,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-13,-,-,-
Net Income Before Taxes,197,-,-,-
Provision for Income Taxes,63,-,-,-
Net Income After Taxes,134,-,-,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,134,-,-,-
Total Extraordinary Items,-,-,-,-
Net Income,134,-,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,134,-,-,-
Dilution Adjustment,-0.714,-,-,-
Diluted Net Income,134.71,-,-,-
Diluted Weighted Average Shares,6.38,-,-,-
Diluted EPS Excluding Extraordinary Items,21.05,-,-,-
DPS - Common Stock Primary Issue,3,-,-,-
Diluted Normalized EPS,19.31,-,-,-
