Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,25118.4,25663.92,23321.49,24039.07
"Revenue 25118.4 25663.92 23321.49 24039.07  Other Revenue, Total - - - -","Revenue 25118.4 25663.92 23321.49 24039.07  Other Revenue, Total - - - -","Revenue 25118.4 25663.92 23321.49 24039.07  Other Revenue, Total - - - -","Revenue 25118.4 25663.92 23321.49 24039.07  Other Revenue, Total - - - -","Revenue 25118.4 25663.92 23321.49 24039.07  Other Revenue, Total - - - -"
Revenue,25118.4,25663.92,23321.49,24039.07
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",15444.05,13241.02,12457.53,12680.24
Gross Profit,9674.35,12422.89,10863.95,11358.83
Total Operating Expenses,23185.21,24404.33,22512.68,23253.45
"Selling/General/Admin. Expenses, Total 7741.16 11163.31 9854.67 10272.74  Research & Development - - - -  Depreciation / Amortization 1149.86 1115.62 172.78 162.15  Interest Expense (Income) - Net Operating -1.07 -3.11 - -  Unusual Expense (Income) - 138.24 27.69 138.32  Other Operating Expenses, Total -1148.79 -1112.51 - -","Selling/General/Admin. Expenses, Total 7741.16 11163.31 9854.67 10272.74  Research & Development - - - -  Depreciation / Amortization 1149.86 1115.62 172.78 162.15  Interest Expense (Income) - Net Operating -1.07 -3.11 - -  Unusual Expense (Income) - 138.24 27.69 138.32  Other Operating Expenses, Total -1148.79 -1112.51 - -","Selling/General/Admin. Expenses, Total 7741.16 11163.31 9854.67 10272.74  Research & Development - - - -  Depreciation / Amortization 1149.86 1115.62 172.78 162.15  Interest Expense (Income) - Net Operating -1.07 -3.11 - -  Unusual Expense (Income) - 138.24 27.69 138.32  Other Operating Expenses, Total -1148.79 -1112.51 - -","Selling/General/Admin. Expenses, Total 7741.16 11163.31 9854.67 10272.74  Research & Development - - - -  Depreciation / Amortization 1149.86 1115.62 172.78 162.15  Interest Expense (Income) - Net Operating -1.07 -3.11 - -  Unusual Expense (Income) - 138.24 27.69 138.32  Other Operating Expenses, Total -1148.79 -1112.51 - -","Selling/General/Admin. Expenses, Total 7741.16 11163.31 9854.67 10272.74  Research & Development - - - -  Depreciation / Amortization 1149.86 1115.62 172.78 162.15  Interest Expense (Income) - Net Operating -1.07 -3.11 - -  Unusual Expense (Income) - 138.24 27.69 138.32  Other Operating Expenses, Total -1148.79 -1112.51 - -"
"Selling/General/Admin. Expenses, Total",7741.16,11163.31,9854.67,10272.74
Research & Development,-,-,-,-
Depreciation / Amortization,1149.86,1115.62,172.78,162.15
Interest Expense (Income) - Net Operating,-1.07,-3.11,-,-
Unusual Expense (Income),-,138.24,27.69,138.32
"Other Operating Expenses, Total",-1148.79,-1112.51,-,-
Operating Income,1933.19,1259.59,808.81,785.62
"Interest Income (Expense), Net Non-Operating",-,97.57,79.11,14.89
Gain (Loss) on Sale of Assets,4.54,94.86,-,1.73
"Other, Net",-2.72,-88.02,21.51,78.67
Net Income Before Taxes,1931.38,1252.75,909.42,880.91
Provision for Income Taxes,585.02,370.48,298.91,228.91
Net Income After Taxes,1346.36,882.27,610.51,652
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1346.36,882.27,610.51,652
Total Extraordinary Items,-,-,-,-
Net Income,1346.36,882.27,610.51,652
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,1346.36,882.27,610.51,652
Dilution Adjustment,-,-,-,-
Diluted Net Income,1346.36,882.27,610.51,652
Diluted Weighted Average Shares,14.01,14.1,14.1,14.12
Diluted EPS Excluding Extraordinary Items,96.08,62.56,43.29,46.18
DPS - Common Stock Primary Issue,26.5,20,16,15
Diluted Normalized EPS,89.25,57.44,38.23,44.6
