Period Ending:,202131/05,202031/05,201931/05,Unnamed: 4
Total Revenue,4942.96,5280.31,5420.02,-
"Revenue 4942.96 5280.31 5420.02 -  Other Revenue, Total - - - -","Revenue 4942.96 5280.31 5420.02 -  Other Revenue, Total - - - -","Revenue 4942.96 5280.31 5420.02 -  Other Revenue, Total - - - -","Revenue 4942.96 5280.31 5420.02 -  Other Revenue, Total - - - -","Revenue 4942.96 5280.31 5420.02 -  Other Revenue, Total - - - -"
Revenue,4942.96,5280.31,5420.02,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3291.39,3695.41,3954.44,-
Gross Profit,1651.57,1584.89,1465.58,-
Total Operating Expenses,4711.45,5279.01,5445.05,-
"Selling/General/Admin. Expenses, Total 1223.72 1231.81 1279.54 -  Research & Development 32.02 25.62 30.36 -  Depreciation / Amortization 26.49 30.54 38.67 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 137.82 297.74 142.4 -  Other Operating Expenses, Total - -2.12 -0.35 -","Selling/General/Admin. Expenses, Total 1223.72 1231.81 1279.54 -  Research & Development 32.02 25.62 30.36 -  Depreciation / Amortization 26.49 30.54 38.67 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 137.82 297.74 142.4 -  Other Operating Expenses, Total - -2.12 -0.35 -","Selling/General/Admin. Expenses, Total 1223.72 1231.81 1279.54 -  Research & Development 32.02 25.62 30.36 -  Depreciation / Amortization 26.49 30.54 38.67 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 137.82 297.74 142.4 -  Other Operating Expenses, Total - -2.12 -0.35 -","Selling/General/Admin. Expenses, Total 1223.72 1231.81 1279.54 -  Research & Development 32.02 25.62 30.36 -  Depreciation / Amortization 26.49 30.54 38.67 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 137.82 297.74 142.4 -  Other Operating Expenses, Total - -2.12 -0.35 -","Selling/General/Admin. Expenses, Total 1223.72 1231.81 1279.54 -  Research & Development 32.02 25.62 30.36 -  Depreciation / Amortization 26.49 30.54 38.67 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 137.82 297.74 142.4 -  Other Operating Expenses, Total - -2.12 -0.35 -"
"Selling/General/Admin. Expenses, Total",1223.72,1231.81,1279.54,-
Research & Development,32.02,25.62,30.36,-
Depreciation / Amortization,26.49,30.54,38.67,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),137.82,297.74,142.4,-
"Other Operating Expenses, Total",-,-2.12,-0.35,-
Operating Income,231.51,1.3,-25.03,-
"Interest Income (Expense), Net Non-Operating",-34.98,-27.79,-32.34,-
Gain (Loss) on Sale of Assets,-0.12,36.53,-5.95,-
"Other, Net",3.2,0.6,7.34,-
Net Income Before Taxes,199.62,10.64,-55.97,-
Provision for Income Taxes,18.9,-20.93,-84.88,-
Net Income After Taxes,180.71,31.57,28.91,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,180.71,31.57,28.91,-
Total Extraordinary Items,-,-,-,-
Net Income,180.71,31.57,28.91,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,180.71,31.57,28.91,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,180.71,31.57,28.91,-
Diluted Weighted Average Shares,3.17,2,2,-
Diluted EPS Excluding Extraordinary Items,56.97,15.75,14.46,-
DPS - Common Stock Primary Issue,15,-,-,-
Diluted Normalized EPS,96.34,100.48,62.67,-
