Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,13023,12339,10991.13,11506.88
"Revenue 13023 12339.89 10991.13 11506.88  Other Revenue, Total - - - -","Revenue 13023 12339.89 10991.13 11506.88  Other Revenue, Total - - - -","Revenue 13023 12339.89 10991.13 11506.88  Other Revenue, Total - - - -","Revenue 13023 12339.89 10991.13 11506.88  Other Revenue, Total - - - -","Revenue 13023 12339.89 10991.13 11506.88  Other Revenue, Total - - - -"
Revenue,13023,12339.89,10991.13,11506.88
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",7996,7693.49,6932.29,7269.2
Gross Profit,5027,4646.4,4058.84,4237.68
Total Operating Expenses,11969,11179.6,10634.87,10889.07
"Selling/General/Admin. Expenses, Total 3973 3769.55 3580.01 3732.57  Research & Development - - - -  Depreciation / Amortization 212 - - -  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - -283.43 122.57 -112.7  Other Operating Expenses, Total -201 - - -","Selling/General/Admin. Expenses, Total 3973 3769.55 3580.01 3732.57  Research & Development - - - -  Depreciation / Amortization 212 - - -  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - -283.43 122.57 -112.7  Other Operating Expenses, Total -201 - - -","Selling/General/Admin. Expenses, Total 3973 3769.55 3580.01 3732.57  Research & Development - - - -  Depreciation / Amortization 212 - - -  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - -283.43 122.57 -112.7  Other Operating Expenses, Total -201 - - -","Selling/General/Admin. Expenses, Total 3973 3769.55 3580.01 3732.57  Research & Development - - - -  Depreciation / Amortization 212 - - -  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - -283.43 122.57 -112.7  Other Operating Expenses, Total -201 - - -","Selling/General/Admin. Expenses, Total 3973 3769.55 3580.01 3732.57  Research & Development - - - -  Depreciation / Amortization 212 - - -  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - -283.43 122.57 -112.7  Other Operating Expenses, Total -201 - - -"
"Selling/General/Admin. Expenses, Total",3973,3769.55,3580.01,3732.57
Research & Development,-,-,-,-
Depreciation / Amortization,212,-,-,-
Interest Expense (Income) - Net Operating,-11,-,-,-
Unusual Expense (Income),-,-283.43,122.57,-112.7
"Other Operating Expenses, Total",-201,-,-,-
Operating Income,1054,1160.28,356.26,617.81
"Interest Income (Expense), Net Non-Operating",-,120.66,-25.77,-4.95
Gain (Loss) on Sale of Assets,-24,-,-,-
"Other, Net",171,30.98,23.84,127.68
Net Income Before Taxes,907,1311.92,354.32,740.54
Provision for Income Taxes,-257,115.17,103.33,141.06
Net Income After Taxes,1164,1196.75,250.99,599.48
Minority Interest,1149,-185.71,-99.91,-188.18
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1110,1011.04,151.08,411.3
Total Extraordinary Items,-,-,-,-
Net Income,1110,1011.04,151.08,411.3
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,1110,1011.03,151.08,411.3
Dilution Adjustment,-,-,-,-
Diluted Net Income,1110,1011.03,151.08,411.3
Diluted Weighted Average Shares,7.37,7.6,7.74,7.8
Diluted EPS Excluding Extraordinary Items,150.63,133.12,19.52,52.74
DPS - Common Stock Primary Issue,30,25,-,-
Diluted Normalized EPS,84.1,101.31,31.85,42.83
