Period Ending:,202331/03,202231/03,Unnamed: 3,Unnamed: 4
Total Revenue,5279.49,3592,-,-
"Revenue 5279.49 3592 - -  Other Revenue, Total - - - -","Revenue 5279.49 3592 - -  Other Revenue, Total - - - -","Revenue 5279.49 3592 - -  Other Revenue, Total - - - -","Revenue 5279.49 3592 - -  Other Revenue, Total - - - -","Revenue 5279.49 3592 - -  Other Revenue, Total - - - -"
Revenue,5279.49,3592,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3383.82,2196,-,-
Gross Profit,1895.67,1396,-,-
Total Operating Expenses,5142.95,3635,-,-
"Selling/General/Admin. Expenses, Total 1759.13 1439 - -  Research & Development - - - -  Depreciation / Amortization 18.56 - - -  Interest Expense (Income) - Net Operating -3.88 -3 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -14.68 3 - -","Selling/General/Admin. Expenses, Total 1759.13 1439 - -  Research & Development - - - -  Depreciation / Amortization 18.56 - - -  Interest Expense (Income) - Net Operating -3.88 -3 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -14.68 3 - -","Selling/General/Admin. Expenses, Total 1759.13 1439 - -  Research & Development - - - -  Depreciation / Amortization 18.56 - - -  Interest Expense (Income) - Net Operating -3.88 -3 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -14.68 3 - -","Selling/General/Admin. Expenses, Total 1759.13 1439 - -  Research & Development - - - -  Depreciation / Amortization 18.56 - - -  Interest Expense (Income) - Net Operating -3.88 -3 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -14.68 3 - -","Selling/General/Admin. Expenses, Total 1759.13 1439 - -  Research & Development - - - -  Depreciation / Amortization 18.56 - - -  Interest Expense (Income) - Net Operating -3.88 -3 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -14.68 3 - -"
"Selling/General/Admin. Expenses, Total",1759.13,1439,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,18.56,-,-,-
Interest Expense (Income) - Net Operating,-3.88,-3,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-14.68,3,-,-
Operating Income,136.54,-43,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-6.35,-2,-,-
"Other, Net",28,-30,-,-
Net Income Before Taxes,114.88,-11,-,-
Provision for Income Taxes,13.97,1,-,-
Net Income After Taxes,100.92,-12,-,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,100.92,-12,-,-
Total Extraordinary Items,-,-,-,-
Net Income,100.92,-12,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,100.92,-12,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,100.92,-12,-,-
Diluted Weighted Average Shares,4.66,3.68,-,-
Diluted EPS Excluding Extraordinary Items,21.65,-3.26,-,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,18.73,-1.53,-,-
