Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,45285,40878,36589.96,39870.16
"Revenue 45285 40878 36589.96 39870.16  Other Revenue, Total - - - -","Revenue 45285 40878 36589.96 39870.16  Other Revenue, Total - - - -","Revenue 45285 40878 36589.96 39870.16  Other Revenue, Total - - - -","Revenue 45285 40878 36589.96 39870.16  Other Revenue, Total - - - -","Revenue 45285 40878 36589.96 39870.16  Other Revenue, Total - - - -"
Revenue,45285,40878,36589.96,39870.16
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",37866,33586,29861.83,32507.41
Gross Profit,7419,7292,6728.14,7362.75
Total Operating Expenses,44194,39598,35445.38,38863.95
"Selling/General/Admin. Expenses, Total 6328 4929 4475.56 4900.77  Research & Development - 1083 1100.4 1160.22  Depreciation / Amortization 2577 2589 - -  Interest Expense (Income) - Net Operating -12 -16 - -  Unusual Expense (Income) - 21.39 7.59 295.55  Other Operating Expenses, Total -2565 -2573 - -","Selling/General/Admin. Expenses, Total 6328 4929 4475.56 4900.77  Research & Development - 1083 1100.4 1160.22  Depreciation / Amortization 2577 2589 - -  Interest Expense (Income) - Net Operating -12 -16 - -  Unusual Expense (Income) - 21.39 7.59 295.55  Other Operating Expenses, Total -2565 -2573 - -","Selling/General/Admin. Expenses, Total 6328 4929 4475.56 4900.77  Research & Development - 1083 1100.4 1160.22  Depreciation / Amortization 2577 2589 - -  Interest Expense (Income) - Net Operating -12 -16 - -  Unusual Expense (Income) - 21.39 7.59 295.55  Other Operating Expenses, Total -2565 -2573 - -","Selling/General/Admin. Expenses, Total 6328 4929 4475.56 4900.77  Research & Development - 1083 1100.4 1160.22  Depreciation / Amortization 2577 2589 - -  Interest Expense (Income) - Net Operating -12 -16 - -  Unusual Expense (Income) - 21.39 7.59 295.55  Other Operating Expenses, Total -2565 -2573 - -","Selling/General/Admin. Expenses, Total 6328 4929 4475.56 4900.77  Research & Development - 1083 1100.4 1160.22  Depreciation / Amortization 2577 2589 - -  Interest Expense (Income) - Net Operating -12 -16 - -  Unusual Expense (Income) - 21.39 7.59 295.55  Other Operating Expenses, Total -2565 -2573 - -"
"Selling/General/Admin. Expenses, Total",6328,4929,4475.56,4900.77
Research & Development,-,1083,1100.4,1160.22
Depreciation / Amortization,2577,2589,-,-
Interest Expense (Income) - Net Operating,-12,-16,-,-
Unusual Expense (Income),-,21.39,7.59,295.55
"Other Operating Expenses, Total",-2565,-2573,-,-
Operating Income,1091,1280,1144.59,1006.21
"Interest Income (Expense), Net Non-Operating",-,490.21,182.98,123.1
Gain (Loss) on Sale of Assets,16,67,0.03,1.56
"Other, Net",-798,-628,173.62,189.12
Net Income Before Taxes,1873,1841,1501.23,1319.99
Provision for Income Taxes,760,812,572.49,934.9
Net Income After Taxes,1113,1029,928.73,385.08
Minority Interest,2039,1658,-159.26,-162.4
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,816,831,769.47,222.68
Total Extraordinary Items,-,-,-,-
Net Income,816,831,769.47,222.68
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,816,831,769.47,222.68
Dilution Adjustment,-,-,-,-
Diluted Net Income,816,831,769.47,222.68
Diluted Weighted Average Shares,19.91,19.99,20,20
Diluted EPS Excluding Extraordinary Items,40.99,41.56,38.46,11.13
DPS - Common Stock Primary Issue,12,12,10,14
Diluted Normalized EPS,43.76,46.21,38.7,20.68
