Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Revenue,350744,338476,319588,286299
"Revenue 350744 338476 319588 286299  Other Revenue, Total - - - -","Revenue 350744 338476 319588 286299  Other Revenue, Total - - - -","Revenue 350744 338476 319588 286299  Other Revenue, Total - - - -","Revenue 350744 338476 319588 286299  Other Revenue, Total - - - -","Revenue 350744 338476 319588 286299  Other Revenue, Total - - - -"
Revenue,350744,338476,319588,286299
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",255165,245110,230602,207346
Gross Profit,95579,93366,88986,78953
Total Operating Expenses,332567,319856,302541,272749
"Selling/General/Admin. Expenses, Total 73416 67495 67671 61304  Research & Development - - - -  Depreciation / Amortization 3983 3822 3521 3407  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 1156 746 691  Other Operating Expenses, Total 3 3429 1 1","Selling/General/Admin. Expenses, Total 73416 67495 67671 61304  Research & Development - - - -  Depreciation / Amortization 3983 3822 3521 3407  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 1156 746 691  Other Operating Expenses, Total 3 3429 1 1","Selling/General/Admin. Expenses, Total 73416 67495 67671 61304  Research & Development - - - -  Depreciation / Amortization 3983 3822 3521 3407  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 1156 746 691  Other Operating Expenses, Total 3 3429 1 1","Selling/General/Admin. Expenses, Total 73416 67495 67671 61304  Research & Development - - - -  Depreciation / Amortization 3983 3822 3521 3407  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 1156 746 691  Other Operating Expenses, Total 3 3429 1 1","Selling/General/Admin. Expenses, Total 73416 67495 67671 61304  Research & Development - - - -  Depreciation / Amortization 3983 3822 3521 3407  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 1156 746 691  Other Operating Expenses, Total 3 3429 1 1"
"Selling/General/Admin. Expenses, Total",73416,67495,67671,61304
Research & Development,-,-,-,-
Depreciation / Amortization,3983,3822,3521,3407
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,1156,746,691
"Other Operating Expenses, Total",3,3429,1,1
Operating Income,18177,18620,17047,13550
"Interest Income (Expense), Net Non-Operating",-,97,104,113
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",140,717,312,268
Net Income Before Taxes,18037,17903,17463,13931
Provision for Income Taxes,5442,5527,5208,4211
Net Income After Taxes,12595,12376,12255,9720
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,12595,12376,12255,9720
Total Extraordinary Items,-,-,-,-
Net Income,12595,12376,12255,9720
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,12595,12376,12254,9719
Dilution Adjustment,-,-,-,-
Diluted Net Income,12595,12376,12254,9719
Diluted Weighted Average Shares,63.22,63.22,63.22,63.22
Diluted EPS Excluding Extraordinary Items,199.23,195.77,193.84,153.74
DPS - Common Stock Primary Issue,46,44,40,36
Diluted Normalized EPS,184.52,188.42,202.12,161.36
