Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,239774,200646,180218,175654
"Revenue 239774 200646 180218 175654  Other Revenue, Total - - - -","Revenue 239774 200646 180218 175654  Other Revenue, Total - - - -","Revenue 239774 200646 180218 175654  Other Revenue, Total - - - -","Revenue 239774 200646 180218 175654  Other Revenue, Total - - - -","Revenue 239774 200646 180218 175654  Other Revenue, Total - - - -"
Revenue,239774,200646,180218,175654
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",212390,179085,162781,158501
Gross Profit,27384,21561,17437,17153
Total Operating Expenses,227721,192299,174755,170921
"Selling/General/Admin. Expenses, Total 14773 12710 11536 11953  Research & Development - - - -  Depreciation / Amortization 1133 953 438 433  Interest Expense (Income) - Net Operating -73 -24 - -  Unusual Expense (Income) - 207 - 32  Other Operating Expenses, Total -502 -425 - 2","Selling/General/Admin. Expenses, Total 14773 12710 11536 11953  Research & Development - - - -  Depreciation / Amortization 1133 953 438 433  Interest Expense (Income) - Net Operating -73 -24 - -  Unusual Expense (Income) - 207 - 32  Other Operating Expenses, Total -502 -425 - 2","Selling/General/Admin. Expenses, Total 14773 12710 11536 11953  Research & Development - - - -  Depreciation / Amortization 1133 953 438 433  Interest Expense (Income) - Net Operating -73 -24 - -  Unusual Expense (Income) - 207 - 32  Other Operating Expenses, Total -502 -425 - 2","Selling/General/Admin. Expenses, Total 14773 12710 11536 11953  Research & Development - - - -  Depreciation / Amortization 1133 953 438 433  Interest Expense (Income) - Net Operating -73 -24 - -  Unusual Expense (Income) - 207 - 32  Other Operating Expenses, Total -502 -425 - 2","Selling/General/Admin. Expenses, Total 14773 12710 11536 11953  Research & Development - - - -  Depreciation / Amortization 1133 953 438 433  Interest Expense (Income) - Net Operating -73 -24 - -  Unusual Expense (Income) - 207 - 32  Other Operating Expenses, Total -502 -425 - 2"
"Selling/General/Admin. Expenses, Total",14773,12710,11536,11953
Research & Development,-,-,-,-
Depreciation / Amortization,1133,953,438,433
Interest Expense (Income) - Net Operating,-73,-24,-,-
Unusual Expense (Income),-,207,-,32
"Other Operating Expenses, Total",-502,-425,-,2
Operating Income,12053,8347,5463,4733
"Interest Income (Expense), Net Non-Operating",-,-536,-373,-343
Gain (Loss) on Sale of Assets,-,29,-,-
"Other, Net",967,658,89,82
Net Income Before Taxes,11086,7660,5179,4472
Provision for Income Taxes,3390,2286,1512,1209
Net Income After Taxes,7696,5374,3667,3263
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,7696,5374,3667,3263
Total Extraordinary Items,-,-,-,-
Net Income,7696,5374,3667,3263
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,7696,5374,3666,3263
Dilution Adjustment,-,-,-,-
Diluted Net Income,7696,5374,3666,3263
Diluted Weighted Average Shares,40.95,40.95,40.95,40.95
Diluted EPS Excluding Extraordinary Items,187.95,131.25,89.53,79.69
DPS - Common Stock Primary Issue,-,53,36,32
Diluted Normalized EPS,169.87,119.64,89.53,80.26
