Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,17288,15185,14663,13576
"Revenue 17288 15185 14663 13576  Other Revenue, Total - - - -","Revenue 17288 15185 14663 13576  Other Revenue, Total - - - -","Revenue 17288 15185 14663 13576  Other Revenue, Total - - - -","Revenue 17288 15185 14663 13576  Other Revenue, Total - - - -","Revenue 17288 15185 14663 13576  Other Revenue, Total - - - -"
Revenue,17288,15185,14663,13576
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",14242,12415,11797,11003
Gross Profit,3046,2770,2866,2573
Total Operating Expenses,16765,14801,13964,13051
"Selling/General/Admin. Expenses, Total 2523 2317 2124 2004  Research & Development - 11 3 13  Depreciation / Amortization 369 326 252 22  Interest Expense (Income) - Net Operating -16 -15 -15 -  Unusual Expense (Income) - -1 - 8  Other Operating Expenses, Total -326 -253 -197 1","Selling/General/Admin. Expenses, Total 2523 2317 2124 2004  Research & Development - 11 3 13  Depreciation / Amortization 369 326 252 22  Interest Expense (Income) - Net Operating -16 -15 -15 -  Unusual Expense (Income) - -1 - 8  Other Operating Expenses, Total -326 -253 -197 1","Selling/General/Admin. Expenses, Total 2523 2317 2124 2004  Research & Development - 11 3 13  Depreciation / Amortization 369 326 252 22  Interest Expense (Income) - Net Operating -16 -15 -15 -  Unusual Expense (Income) - -1 - 8  Other Operating Expenses, Total -326 -253 -197 1","Selling/General/Admin. Expenses, Total 2523 2317 2124 2004  Research & Development - 11 3 13  Depreciation / Amortization 369 326 252 22  Interest Expense (Income) - Net Operating -16 -15 -15 -  Unusual Expense (Income) - -1 - 8  Other Operating Expenses, Total -326 -253 -197 1","Selling/General/Admin. Expenses, Total 2523 2317 2124 2004  Research & Development - 11 3 13  Depreciation / Amortization 369 326 252 22  Interest Expense (Income) - Net Operating -16 -15 -15 -  Unusual Expense (Income) - -1 - 8  Other Operating Expenses, Total -326 -253 -197 1"
"Selling/General/Admin. Expenses, Total",2523,2317,2124,2004
Research & Development,-,11,3,13
Depreciation / Amortization,369,326,252,22
Interest Expense (Income) - Net Operating,-16,-15,-15,-
Unusual Expense (Income),-,-1,-,8
"Other Operating Expenses, Total",-326,-253,-197,1
Operating Income,523,384,699,525
"Interest Income (Expense), Net Non-Operating",-,-1,-14,-13
Gain (Loss) on Sale of Assets,12,24,7,7
"Other, Net",-49,-69,-37,40
Net Income Before Taxes,560,429,729,559
Provision for Income Taxes,179,173,50,39
Net Income After Taxes,381,256,679,520
Minority Interest,321,306,289,-17
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,362,236,661,503
Total Extraordinary Items,-,-,-,-
Net Income,362,236,661,503
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,362,236,661,502
Dilution Adjustment,-,-,-,-
Diluted Net Income,362,236,661,502
Diluted Weighted Average Shares,3.21,3.21,3.26,3.29
Diluted EPS Excluding Extraordinary Items,112.66,73.45,202.82,152.63
DPS - Common Stock Primary Issue,33,22,40,30
Diluted Normalized EPS,103.79,72.36,132.94,151.39
