Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Revenue,15264,13677,11505,15722.83
"Revenue 15264 13677 11505 15722.83  Other Revenue, Total - - - -","Revenue 15264 13677 11505 15722.83  Other Revenue, Total - - - -","Revenue 15264 13677 11505 15722.83  Other Revenue, Total - - - -","Revenue 15264 13677 11505 15722.83  Other Revenue, Total - - - -","Revenue 15264 13677 11505 15722.83  Other Revenue, Total - - - -"
Revenue,15264,13677,11505,15722.83
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",6631,5993,5150,6913.09
Gross Profit,8633,7684,6355,8809.74
Total Operating Expenses,14756,13556,12588,15681.82
"Selling/General/Admin. Expenses, Total 7877 7359 7101 8181.63  Research & Development 17 20 29 28.89  Depreciation / Amortization 248 204 333 350.18  Interest Expense (Income) - Net Operating -4 -4 -5 -  Unusual Expense (Income) - 34.14 283.14 208.03  Other Operating Expenses, Total -13 -16 -20 -","Selling/General/Admin. Expenses, Total 7877 7359 7101 8181.63  Research & Development 17 20 29 28.89  Depreciation / Amortization 248 204 333 350.18  Interest Expense (Income) - Net Operating -4 -4 -5 -  Unusual Expense (Income) - 34.14 283.14 208.03  Other Operating Expenses, Total -13 -16 -20 -","Selling/General/Admin. Expenses, Total 7877 7359 7101 8181.63  Research & Development 17 20 29 28.89  Depreciation / Amortization 248 204 333 350.18  Interest Expense (Income) - Net Operating -4 -4 -5 -  Unusual Expense (Income) - 34.14 283.14 208.03  Other Operating Expenses, Total -13 -16 -20 -","Selling/General/Admin. Expenses, Total 7877 7359 7101 8181.63  Research & Development 17 20 29 28.89  Depreciation / Amortization 248 204 333 350.18  Interest Expense (Income) - Net Operating -4 -4 -5 -  Unusual Expense (Income) - 34.14 283.14 208.03  Other Operating Expenses, Total -13 -16 -20 -","Selling/General/Admin. Expenses, Total 7877 7359 7101 8181.63  Research & Development 17 20 29 28.89  Depreciation / Amortization 248 204 333 350.18  Interest Expense (Income) - Net Operating -4 -4 -5 -  Unusual Expense (Income) - 34.14 283.14 208.03  Other Operating Expenses, Total -13 -16 -20 -"
"Selling/General/Admin. Expenses, Total",7877,7359,7101,8181.63
Research & Development,17,20,29,28.89
Depreciation / Amortization,248,204,333,350.18
Interest Expense (Income) - Net Operating,-4,-4,-5,-
Unusual Expense (Income),-,34.14,283.14,208.03
"Other Operating Expenses, Total",-13,-16,-20,-
Operating Income,508,121,-1083,41.01
"Interest Income (Expense), Net Non-Operating",-,-2.8,0.56,-6.17
Gain (Loss) on Sale of Assets,-7,-,-,-
"Other, Net",234,24,269,21.93
Net Income Before Taxes,281,97,-1352,56.77
Provision for Income Taxes,49,-86,198,49.2
Net Income After Taxes,232,183,-1550,7.56
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,232,183,-1550,7.56
Total Extraordinary Items,-,-,-,-
Net Income,232,183,-1550,7.56
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,232,183,-1550,7.56
Dilution Adjustment,-,-,-,-
Diluted Net Income,232,183,-1550,7.56
Diluted Weighted Average Shares,6.8,6.8,6.8,6.8
Diluted EPS Excluding Extraordinary Items,34.12,26.9,-228.04,1.11
DPS - Common Stock Primary Issue,30,30,20,30
Diluted Normalized EPS,48.53,18.47,-79.72,21.44
