Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,2955,2416,2458.96,2809.05
"Revenue 2955 2416.54 2458.96 2809.05  Other Revenue, Total - - - -","Revenue 2955 2416.54 2458.96 2809.05  Other Revenue, Total - - - -","Revenue 2955 2416.54 2458.96 2809.05  Other Revenue, Total - - - -","Revenue 2955 2416.54 2458.96 2809.05  Other Revenue, Total - - - -","Revenue 2955 2416.54 2458.96 2809.05  Other Revenue, Total - - - -"
Revenue,2955,2416.54,2458.96,2809.05
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1744,1538.64,1890.01,1692.55
Gross Profit,1211,877.89,568.95,1116.51
Total Operating Expenses,2604,2315,2711.93,2548.72
"Selling/General/Admin. Expenses, Total 849 762.66 770.77 831.33  Research & Development - - - -  Depreciation / Amortization 269 12.99 18.64 20.16  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - 0.7 32.51 4.68  Other Operating Expenses, Total -247 - - -","Selling/General/Admin. Expenses, Total 849 762.66 770.77 831.33  Research & Development - - - -  Depreciation / Amortization 269 12.99 18.64 20.16  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - 0.7 32.51 4.68  Other Operating Expenses, Total -247 - - -","Selling/General/Admin. Expenses, Total 849 762.66 770.77 831.33  Research & Development - - - -  Depreciation / Amortization 269 12.99 18.64 20.16  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - 0.7 32.51 4.68  Other Operating Expenses, Total -247 - - -","Selling/General/Admin. Expenses, Total 849 762.66 770.77 831.33  Research & Development - - - -  Depreciation / Amortization 269 12.99 18.64 20.16  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - 0.7 32.51 4.68  Other Operating Expenses, Total -247 - - -","Selling/General/Admin. Expenses, Total 849 762.66 770.77 831.33  Research & Development - - - -  Depreciation / Amortization 269 12.99 18.64 20.16  Interest Expense (Income) - Net Operating -11 - - -  Unusual Expense (Income) - 0.7 32.51 4.68  Other Operating Expenses, Total -247 - - -"
"Selling/General/Admin. Expenses, Total",849,762.66,770.77,831.33
Research & Development,-,-,-,-
Depreciation / Amortization,269,12.99,18.64,20.16
Interest Expense (Income) - Net Operating,-11,-,-,-
Unusual Expense (Income),-,0.7,32.51,4.68
"Other Operating Expenses, Total",-247,-,-,-
Operating Income,351,101.53,-252.97,260.34
"Interest Income (Expense), Net Non-Operating",-,-13.05,-14.59,-10.31
Gain (Loss) on Sale of Assets,-2,24.91,0.54,-2.44
"Other, Net",-24,64.5,28.27,9.38
Net Income Before Taxes,377,177.89,-238.76,256.97
Provision for Income Taxes,130,63.69,-65.55,92.57
Net Income After Taxes,247,114.2,-173.21,164.4
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,247,114.2,-173.21,164.4
Total Extraordinary Items,-,-,-,-
Net Income,247,114.2,-173.21,164.4
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,247,114.2,-173.2,164.4
Dilution Adjustment,-,-,-,-
Diluted Net Income,247,114.2,-173.2,164.4
Diluted Weighted Average Shares,5.53,5.53,5.29,5.58
Diluted EPS Excluding Extraordinary Items,44.66,20.66,-32.75,29.44
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,42.94,17.85,-28.82,30.25
