Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,41950,41676,41174,36503.86
"Revenue - 41676 41174 36503.86  Other Revenue, Total - - - -","Revenue - 41676 41174 36503.86  Other Revenue, Total - - - -","Revenue - 41676 41174 36503.86  Other Revenue, Total - - - -","Revenue - 41676 41174 36503.86  Other Revenue, Total - - - -","Revenue - 41676 41174 36503.86  Other Revenue, Total - - - -"
Revenue,-,41676,41174,36503.86
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,9799,11268,9603.73
Gross Profit,-,31877,29906,26900.13
Total Operating Expenses,-,24510,26177,23482.73
"Selling/General/Admin. Expenses, Total - 13688 13485 12903.61  Research & Development - 1023 1256 812.65  Depreciation / Amortization - - 96 98.96  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 72 63.77  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total - 13688 13485 12903.61  Research & Development - 1023 1256 812.65  Depreciation / Amortization - - 96 98.96  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 72 63.77  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total - 13688 13485 12903.61  Research & Development - 1023 1256 812.65  Depreciation / Amortization - - 96 98.96  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 72 63.77  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total - 13688 13485 12903.61  Research & Development - 1023 1256 812.65  Depreciation / Amortization - - 96 98.96  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 72 63.77  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total - 13688 13485 12903.61  Research & Development - 1023 1256 812.65  Depreciation / Amortization - - 96 98.96  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 72 63.77  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",-,13688,13485,12903.61
Research & Development,-,1023,1256,812.65
Depreciation / Amortization,-,-,96,98.96
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-,72,63.77
"Other Operating Expenses, Total",-,-,-,-
Operating Income,-,17166,14997,13021.13
"Interest Income (Expense), Net Non-Operating",-,104,84,-13.36
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-,49,49,42.84
Net Income Before Taxes,-,17319,15130,13050.61
Provision for Income Taxes,-,5153,4172,3763.16
Net Income After Taxes,-,12166,10958,9287.45
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-,12166,10958,9287.45
Total Extraordinary Items,-,-,-,-
Net Income,-,12166,10958,9287.45
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,-,12165,10957,9287.45
Dilution Adjustment,-,-,-,-
Diluted Net Income,-,12165,10957,9287.45
Diluted Weighted Average Shares,-,64.22,64.22,64.22
Diluted EPS Excluding Extraordinary Items,-,189.42,170.61,144.61
DPS - Common Stock Primary Issue,18,16,13,10
Diluted Normalized EPS,-,189.42,171.42,145.32
