Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,29265,27250,22999,22647.29
"Revenue 29265 27250 22999 22647.29  Other Revenue, Total - - - -","Revenue 29265 27250 22999 22647.29  Other Revenue, Total - - - -","Revenue 29265 27250 22999 22647.29  Other Revenue, Total - - - -","Revenue 29265 27250 22999 22647.29  Other Revenue, Total - - - -","Revenue 29265 27250 22999 22647.29  Other Revenue, Total - - - -"
Revenue,29265,27250,22999,22647.29
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",25166,22789,19184,19053.74
Gross Profit,4099,4461,3815,3593.55
Total Operating Expenses,27711,25324,21450,21541.81
"Selling/General/Admin. Expenses, Total 2538 2449 2252 2234.81  Research & Development - 106 103 -  Depreciation / Amortization 1717 1664 1546 18.11  Interest Expense (Income) - Net Operating -25 -13 -16 -  Unusual Expense (Income) - 14.34 102.25 235.16  Other Operating Expenses, Total -1685 -1671 -1619 -","Selling/General/Admin. Expenses, Total 2538 2449 2252 2234.81  Research & Development - 106 103 -  Depreciation / Amortization 1717 1664 1546 18.11  Interest Expense (Income) - Net Operating -25 -13 -16 -  Unusual Expense (Income) - 14.34 102.25 235.16  Other Operating Expenses, Total -1685 -1671 -1619 -","Selling/General/Admin. Expenses, Total 2538 2449 2252 2234.81  Research & Development - 106 103 -  Depreciation / Amortization 1717 1664 1546 18.11  Interest Expense (Income) - Net Operating -25 -13 -16 -  Unusual Expense (Income) - 14.34 102.25 235.16  Other Operating Expenses, Total -1685 -1671 -1619 -","Selling/General/Admin. Expenses, Total 2538 2449 2252 2234.81  Research & Development - 106 103 -  Depreciation / Amortization 1717 1664 1546 18.11  Interest Expense (Income) - Net Operating -25 -13 -16 -  Unusual Expense (Income) - 14.34 102.25 235.16  Other Operating Expenses, Total -1685 -1671 -1619 -","Selling/General/Admin. Expenses, Total 2538 2449 2252 2234.81  Research & Development - 106 103 -  Depreciation / Amortization 1717 1664 1546 18.11  Interest Expense (Income) - Net Operating -25 -13 -16 -  Unusual Expense (Income) - 14.34 102.25 235.16  Other Operating Expenses, Total -1685 -1671 -1619 -"
"Selling/General/Admin. Expenses, Total",2538,2449,2252,2234.81
Research & Development,-,106,103,-
Depreciation / Amortization,1717,1664,1546,18.11
Interest Expense (Income) - Net Operating,-25,-13,-16,-
Unusual Expense (Income),-,14.34,102.25,235.16
"Other Operating Expenses, Total",-1685,-1671,-1619,-
Operating Income,1554,1926,1549,1105.48
"Interest Income (Expense), Net Non-Operating",-,36.48,-36.38,-30.2
Gain (Loss) on Sale of Assets,-80,43,-3,1.3
"Other, Net",-30,-199,94,83.96
Net Income Before Taxes,1664,2082,1458,1160.55
Provision for Income Taxes,395,537,-31,247.82
Net Income After Taxes,1269,1545,1489,912.73
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1269,1545,1489,912.73
Total Extraordinary Items,-,-,-,-
Net Income,1269,1545,1489,912.73
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,1269,1545,1489,912.73
Dilution Adjustment,-,-0.401,-0.518,-
Diluted Net Income,1269,1545.4,1489.52,912.73
Diluted Weighted Average Shares,6.7,6.72,6.74,6.74
Diluted EPS Excluding Extraordinary Items,189.46,229.8,221.01,135.46
DPS - Common Stock Primary Issue,-,50,40,35
Diluted Normalized EPS,168.43,190.8,144.85,162.76
