Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,225970,189731,157337,131463
"Revenue 225970 189731 157337 131463  Other Revenue, Total - - - -","Revenue 225970 189731 157337 131463  Other Revenue, Total - - - -","Revenue 225970 189731 157337 131463  Other Revenue, Total - - - -","Revenue 225970 189731 157337 131463  Other Revenue, Total - - - -","Revenue 225970 189731 157337 131463  Other Revenue, Total - - - -"
Revenue,225970,189731,157337,131463
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",160532,135685,112643,94367
Gross Profit,65438,54046,44694,37096
Total Operating Expenses,199756,165642,137929,115944
"Selling/General/Admin. Expenses, Total 39224 29916 25086 21256  Research & Development 50 - - -  Depreciation / Amortization 3565 - - -  Interest Expense (Income) - Net Operating -23 - - -  Unusual Expense (Income) - 40 199 320  Other Operating Expenses, Total -3592 1 1 1","Selling/General/Admin. Expenses, Total 39224 29916 25086 21256  Research & Development 50 - - -  Depreciation / Amortization 3565 - - -  Interest Expense (Income) - Net Operating -23 - - -  Unusual Expense (Income) - 40 199 320  Other Operating Expenses, Total -3592 1 1 1","Selling/General/Admin. Expenses, Total 39224 29916 25086 21256  Research & Development 50 - - -  Depreciation / Amortization 3565 - - -  Interest Expense (Income) - Net Operating -23 - - -  Unusual Expense (Income) - 40 199 320  Other Operating Expenses, Total -3592 1 1 1","Selling/General/Admin. Expenses, Total 39224 29916 25086 21256  Research & Development 50 - - -  Depreciation / Amortization 3565 - - -  Interest Expense (Income) - Net Operating -23 - - -  Unusual Expense (Income) - 40 199 320  Other Operating Expenses, Total -3592 1 1 1","Selling/General/Admin. Expenses, Total 39224 29916 25086 21256  Research & Development 50 - - -  Depreciation / Amortization 3565 - - -  Interest Expense (Income) - Net Operating -23 - - -  Unusual Expense (Income) - 40 199 320  Other Operating Expenses, Total -3592 1 1 1"
"Selling/General/Admin. Expenses, Total",39224,29916,25086,21256
Research & Development,50,-,-,-
Depreciation / Amortization,3565,-,-,-
Interest Expense (Income) - Net Operating,-23,-,-,-
Unusual Expense (Income),-,40,199,320
"Other Operating Expenses, Total",-3592,1,1,1
Operating Income,26214,24089,19408,15519
"Interest Income (Expense), Net Non-Operating",-,161,49,32
Gain (Loss) on Sale of Assets,-51,-32,-21,-17
"Other, Net",711,42,37,34
Net Income Before Taxes,25554,24260,19473,15568
Provision for Income Taxes,7359,6919,5999,4816
Net Income After Taxes,18195,17341,13474,10752
Minority Interest,482,211,297,232
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,18658,17552,13771,10984
Total Extraordinary Items,-,-,-,-
Net Income,18658,17552,13771,10984
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,18658,17552,13771,10984
Dilution Adjustment,-1.76,-,-,-
Diluted Net Income,18659.76,17552,13771,10984
Diluted Weighted Average Shares,496.93,496.93,496.92,496.92
Diluted EPS Excluding Extraordinary Items,37.55,35.32,27.71,22.1
DPS - Common Stock Primary Issue,13.5,11.5,9,7.5
Diluted Normalized EPS,34.2,35.42,28.02,22.57
