Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,28478,26323,24648.23,23744.79
"Revenue 28478 26323 24648.23 23744.79  Other Revenue, Total - - - -","Revenue 28478 26323 24648.23 23744.79  Other Revenue, Total - - - -","Revenue 28478 26323 24648.23 23744.79  Other Revenue, Total - - - -","Revenue 28478 26323 24648.23 23744.79  Other Revenue, Total - - - -","Revenue 28478 26323 24648.23 23744.79  Other Revenue, Total - - - -"
Revenue,28478,26323,24648.23,23744.79
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",20701,18679,17948.04,17400.81
Gross Profit,7777,7644,6700.19,6343.98
Total Operating Expenses,26066,23599,22362.99,21817.21
"Selling/General/Admin. Expenses, Total 5365 4920 4411.18 4266.59  Research & Development - 600 - -  Depreciation / Amortization 836 625 - -  Interest Expense (Income) - Net Operating -4 -4 - -  Unusual Expense (Income) - 2.51 3.77 149.81  Other Operating Expenses, Total -832 -1221 - -","Selling/General/Admin. Expenses, Total 5365 4920 4411.18 4266.59  Research & Development - 600 - -  Depreciation / Amortization 836 625 - -  Interest Expense (Income) - Net Operating -4 -4 - -  Unusual Expense (Income) - 2.51 3.77 149.81  Other Operating Expenses, Total -832 -1221 - -","Selling/General/Admin. Expenses, Total 5365 4920 4411.18 4266.59  Research & Development - 600 - -  Depreciation / Amortization 836 625 - -  Interest Expense (Income) - Net Operating -4 -4 - -  Unusual Expense (Income) - 2.51 3.77 149.81  Other Operating Expenses, Total -832 -1221 - -","Selling/General/Admin. Expenses, Total 5365 4920 4411.18 4266.59  Research & Development - 600 - -  Depreciation / Amortization 836 625 - -  Interest Expense (Income) - Net Operating -4 -4 - -  Unusual Expense (Income) - 2.51 3.77 149.81  Other Operating Expenses, Total -832 -1221 - -","Selling/General/Admin. Expenses, Total 5365 4920 4411.18 4266.59  Research & Development - 600 - -  Depreciation / Amortization 836 625 - -  Interest Expense (Income) - Net Operating -4 -4 - -  Unusual Expense (Income) - 2.51 3.77 149.81  Other Operating Expenses, Total -832 -1221 - -"
"Selling/General/Admin. Expenses, Total",5365,4920,4411.18,4266.59
Research & Development,-,600,-,-
Depreciation / Amortization,836,625,-,-
Interest Expense (Income) - Net Operating,-4,-4,-,-
Unusual Expense (Income),-,2.51,3.77,149.81
"Other Operating Expenses, Total",-832,-1221,-,-
Operating Income,2412,2724,2285.24,1927.58
"Interest Income (Expense), Net Non-Operating",-,71.38,65.43,75.86
Gain (Loss) on Sale of Assets,29,42,8.28,7.37
"Other, Net",-102,-166,30.47,46.3
Net Income Before Taxes,2485,2848,2389.42,2057.11
Provision for Income Taxes,679,906,756.43,675.05
Net Income After Taxes,1806,1942,1632.99,1382.07
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1806,1942,1632.99,1382.07
Total Extraordinary Items,-,-,-,-
Net Income,1806,1942,1632.99,1382.07
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,1806,1942,1632.99,1382.06
Dilution Adjustment,-,-,-,-
Diluted Net Income,1806,1942,1632.99,1382.06
Diluted Weighted Average Shares,15.1,15.1,15.12,15.15
Diluted EPS Excluding Extraordinary Items,119.63,128.64,107.98,91.23
DPS - Common Stock Primary Issue,40,40,33.5,28
Diluted Normalized EPS,103.87,116.26,107.78,97.55
