Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,9965,13061,10892,10294
"Revenue 9965 13061 10892 10294  Other Revenue, Total - - - -","Revenue 9965 13061 10892 10294  Other Revenue, Total - - - -","Revenue 9965 13061 10892 10294  Other Revenue, Total - - - -","Revenue 9965 13061 10892 10294  Other Revenue, Total - - - -","Revenue 9965 13061 10892 10294  Other Revenue, Total - - - -"
Revenue,9965,13061,10892,10294
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",7891,10083,8471,7883
Gross Profit,2074,2978,2421,2411
Total Operating Expenses,9550,11852,10031,9534
"Selling/General/Admin. Expenses, Total 1458 1547 1451 1465  Research & Development 127 175 164 154  Depreciation / Amortization 189 184 41 31  Interest Expense (Income) - Net Operating -8 -11 - -  Unusual Expense (Income) - 1 -96 -  Other Operating Expenses, Total -107 -126 - 1","Selling/General/Admin. Expenses, Total 1458 1547 1451 1465  Research & Development 127 175 164 154  Depreciation / Amortization 189 184 41 31  Interest Expense (Income) - Net Operating -8 -11 - -  Unusual Expense (Income) - 1 -96 -  Other Operating Expenses, Total -107 -126 - 1","Selling/General/Admin. Expenses, Total 1458 1547 1451 1465  Research & Development 127 175 164 154  Depreciation / Amortization 189 184 41 31  Interest Expense (Income) - Net Operating -8 -11 - -  Unusual Expense (Income) - 1 -96 -  Other Operating Expenses, Total -107 -126 - 1","Selling/General/Admin. Expenses, Total 1458 1547 1451 1465  Research & Development 127 175 164 154  Depreciation / Amortization 189 184 41 31  Interest Expense (Income) - Net Operating -8 -11 - -  Unusual Expense (Income) - 1 -96 -  Other Operating Expenses, Total -107 -126 - 1","Selling/General/Admin. Expenses, Total 1458 1547 1451 1465  Research & Development 127 175 164 154  Depreciation / Amortization 189 184 41 31  Interest Expense (Income) - Net Operating -8 -11 - -  Unusual Expense (Income) - 1 -96 -  Other Operating Expenses, Total -107 -126 - 1"
"Selling/General/Admin. Expenses, Total",1458,1547,1451,1465
Research & Development,127,175,164,154
Depreciation / Amortization,189,184,41,31
Interest Expense (Income) - Net Operating,-8,-11,-,-
Unusual Expense (Income),-,1,-96,-
"Other Operating Expenses, Total",-107,-126,-,1
Operating Income,415,1209,861,760
"Interest Income (Expense), Net Non-Operating",-,110,-76,41
Gain (Loss) on Sale of Assets,-,2,-2,4
"Other, Net",-22,-112,17,6
Net Income Before Taxes,437,1319,800,811
Provision for Income Taxes,143,448,271,-22
Net Income After Taxes,294,871,529,833
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,294,871,529,833
Total Extraordinary Items,-,-,-,-
Net Income,294,871,529,833
Total Adjustments to Net Income,-,-,-,1
Income Available to Common Excluding Extraordinary Items,294,871,529,834
Dilution Adjustment,-,-0.639,-,-
Diluted Net Income,294,871.64,529,834
Diluted Weighted Average Shares,4.63,3.88,3.67,3.65
Diluted EPS Excluding Extraordinary Items,63.54,224.36,144.18,228.68
DPS - Common Stock Primary Issue,-,12,10,10
Diluted Normalized EPS,59.03,212.03,127.24,227.97
