Period Ending:,202130/09,202030/09,201930/09,Unnamed: 4
Total Revenue,17061.48,15902.3,16164.07,-
"Revenue 17061.48 15902.3 16164.07 -  Other Revenue, Total - - - -","Revenue 17061.48 15902.3 16164.07 -  Other Revenue, Total - - - -","Revenue 17061.48 15902.3 16164.07 -  Other Revenue, Total - - - -","Revenue 17061.48 15902.3 16164.07 -  Other Revenue, Total - - - -","Revenue 17061.48 15902.3 16164.07 -  Other Revenue, Total - - - -"
Revenue,17061.48,15902.3,16164.07,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",12420.69,11581.82,11789.03,-
Gross Profit,4640.79,4320.48,4375.04,-
Total Operating Expenses,16416.81,15443.38,15814.23,-
"Selling/General/Admin. Expenses, Total 3817.78 3700.54 3840.21 -  Research & Development 81.47 73.02 74.64 -  Depreciation / Amortization 77.45 82.81 87.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 19.43 5.2 22.59 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 3817.78 3700.54 3840.21 -  Research & Development 81.47 73.02 74.64 -  Depreciation / Amortization 77.45 82.81 87.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 19.43 5.2 22.59 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 3817.78 3700.54 3840.21 -  Research & Development 81.47 73.02 74.64 -  Depreciation / Amortization 77.45 82.81 87.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 19.43 5.2 22.59 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 3817.78 3700.54 3840.21 -  Research & Development 81.47 73.02 74.64 -  Depreciation / Amortization 77.45 82.81 87.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 19.43 5.2 22.59 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 3817.78 3700.54 3840.21 -  Research & Development 81.47 73.02 74.64 -  Depreciation / Amortization 77.45 82.81 87.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 19.43 5.2 22.59 -  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",3817.78,3700.54,3840.21,-
Research & Development,81.47,73.02,74.64,-
Depreciation / Amortization,77.45,82.81,87.75,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),19.43,5.2,22.59,-
"Other Operating Expenses, Total",-,-,-,-
Operating Income,644.67,458.91,349.84,-
"Interest Income (Expense), Net Non-Operating",-0.48,-0.92,-3.93,-
Gain (Loss) on Sale of Assets,0.73,0.06,0.23,-
"Other, Net",26.71,28.45,34.81,-
Net Income Before Taxes,671.63,486.51,380.94,-
Provision for Income Taxes,234.78,154.42,113.71,-
Net Income After Taxes,436.86,332.09,267.23,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,436.86,332.09,267.23,-
Total Extraordinary Items,-,-,-,-
Net Income,436.86,332.09,267.23,-
Total Adjustments to Net Income,-0,-0,-0,-
Income Available to Common Excluding Extraordinary Items,436.85,332.09,267.23,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,436.85,332.09,267.23,-
Diluted Weighted Average Shares,0.97,1.12,1.12,-
Diluted EPS Excluding Extraordinary Items,448.73,296.89,238.91,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,461.22,300.03,252.94,-
