Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Revenue,147049,106115,76275,51683
"Revenue 147049 106115 76275 51683  Other Revenue, Total - - - -","Revenue 147049 106115 76275 51683  Other Revenue, Total - - - -","Revenue 147049 106115 76275 51683  Other Revenue, Total - - - -","Revenue 147049 106115 76275 51683  Other Revenue, Total - - - -","Revenue 147049 106115 76275 51683  Other Revenue, Total - - - -"
Revenue,147049,106115,76275,51683
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",51905,24312,20661,12864
Gross Profit,95144,81803,55614,38819
Total Operating Expenses,150764,100929,96710,64228
"Selling/General/Admin. Expenses, Total 98500 75815 74921 50968  Research & Development 398 418 - -  Depreciation / Amortization 818 845 - -  Interest Expense (Income) - Net Operating -140 -343 - -  Unusual Expense (Income) - 43 1127 396  Other Operating Expenses, Total -717 -118 1 -","Selling/General/Admin. Expenses, Total 98500 75815 74921 50968  Research & Development 398 418 - -  Depreciation / Amortization 818 845 - -  Interest Expense (Income) - Net Operating -140 -343 - -  Unusual Expense (Income) - 43 1127 396  Other Operating Expenses, Total -717 -118 1 -","Selling/General/Admin. Expenses, Total 98500 75815 74921 50968  Research & Development 398 418 - -  Depreciation / Amortization 818 845 - -  Interest Expense (Income) - Net Operating -140 -343 - -  Unusual Expense (Income) - 43 1127 396  Other Operating Expenses, Total -717 -118 1 -","Selling/General/Admin. Expenses, Total 98500 75815 74921 50968  Research & Development 398 418 - -  Depreciation / Amortization 818 845 - -  Interest Expense (Income) - Net Operating -140 -343 - -  Unusual Expense (Income) - 43 1127 396  Other Operating Expenses, Total -717 -118 1 -","Selling/General/Admin. Expenses, Total 98500 75815 74921 50968  Research & Development 398 418 - -  Depreciation / Amortization 818 845 - -  Interest Expense (Income) - Net Operating -140 -343 - -  Unusual Expense (Income) - 43 1127 396  Other Operating Expenses, Total -717 -118 1 -"
"Selling/General/Admin. Expenses, Total",98500,75815,74921,50968
Research & Development,398,418,-,-
Depreciation / Amortization,818,845,-,-
Interest Expense (Income) - Net Operating,-140,-343,-,-
Unusual Expense (Income),-,43,1127,396
"Other Operating Expenses, Total",-717,-118,1,-
Operating Income,-3715,5186,-20435,-12545
"Interest Income (Expense), Net Non-Operating",-,6709,-163,-46
Gain (Loss) on Sale of Assets,-51,6833,-,-
"Other, Net",333,-13521,79,24
Net Income Before Taxes,-3997,11874,-20519,-12567
Provision for Income Taxes,3642,6349,2440,1197
Net Income After Taxes,-7639,5525,-22959,-13764
Minority Interest,314,386,186,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-7569,5720,-22773,-13764
Total Extraordinary Items,-,-,-,-
Net Income,-7569,5720,-22773,-13764
Total Adjustments to Net Income,-,-,1,-
Income Available to Common Excluding Extraordinary Items,-7569,5720,-22772,-13764
Dilution Adjustment,-,-0.116,-,-
Diluted Net Income,-7569,5720.12,-22772,-13764
Diluted Weighted Average Shares,159.91,162.73,154.02,144.91
Diluted EPS Excluding Extraordinary Items,-47.33,35.15,-147.85,-94.98
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-14.79,20.31,-141.95,-91.3
