Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Revenue,11986,10875.99,10904.26,8472.51
"Revenue 11986 10875.99 10904.26 8472.51  Other Revenue, Total - - - -","Revenue 11986 10875.99 10904.26 8472.51  Other Revenue, Total - - - -","Revenue 11986 10875.99 10904.26 8472.51  Other Revenue, Total - - - -","Revenue 11986 10875.99 10904.26 8472.51  Other Revenue, Total - - - -","Revenue 11986 10875.99 10904.26 8472.51  Other Revenue, Total - - - -"
Revenue,11986,10875.99,10904.26,8472.51
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",7718,6996.51,6662.29,5039.71
Gross Profit,4268,3879.48,4241.97,3432.8
Total Operating Expenses,12306,10821.85,10289.22,8039.07
"Selling/General/Admin. Expenses, Total 4464 3700.89 3550.81 2980.65  Research & Development - - - -  Depreciation / Amortization 61 124.32 35.34 -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 0.13 40.77 18.72  Other Operating Expenses, Total 69 - - -","Selling/General/Admin. Expenses, Total 4464 3700.89 3550.81 2980.65  Research & Development - - - -  Depreciation / Amortization 61 124.32 35.34 -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 0.13 40.77 18.72  Other Operating Expenses, Total 69 - - -","Selling/General/Admin. Expenses, Total 4464 3700.89 3550.81 2980.65  Research & Development - - - -  Depreciation / Amortization 61 124.32 35.34 -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 0.13 40.77 18.72  Other Operating Expenses, Total 69 - - -","Selling/General/Admin. Expenses, Total 4464 3700.89 3550.81 2980.65  Research & Development - - - -  Depreciation / Amortization 61 124.32 35.34 -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 0.13 40.77 18.72  Other Operating Expenses, Total 69 - - -","Selling/General/Admin. Expenses, Total 4464 3700.89 3550.81 2980.65  Research & Development - - - -  Depreciation / Amortization 61 124.32 35.34 -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 0.13 40.77 18.72  Other Operating Expenses, Total 69 - - -"
"Selling/General/Admin. Expenses, Total",4464,3700.89,3550.81,2980.65
Research & Development,-,-,-,-
Depreciation / Amortization,61,124.32,35.34,-
Interest Expense (Income) - Net Operating,-6,-,-,-
Unusual Expense (Income),-,0.13,40.77,18.72
"Other Operating Expenses, Total",69,-,-,-
Operating Income,-320,54.14,615.04,433.44
"Interest Income (Expense), Net Non-Operating",-,-8.73,-3.92,-3.69
Gain (Loss) on Sale of Assets,-3,-0.44,-,-
"Other, Net",26,-12.85,12.28,6.91
Net Income Before Taxes,-343,32.12,623.4,436.66
Provision for Income Taxes,31,41.7,242.53,170.76
Net Income After Taxes,-374,-9.58,380.87,265.91
Minority Interest,245,-30.54,-89.18,-62.1
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-404,-40.12,291.69,203.81
Total Extraordinary Items,-,-,-,-
Net Income,-404,-40.12,291.69,203.81
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,-404,-40.12,291.69,203.81
Dilution Adjustment,-,-,-,-
Diluted Net Income,-404,-40.12,291.69,203.81
Diluted Weighted Average Shares,5.3,5.26,5.5,5.41
Diluted EPS Excluding Extraordinary Items,-76.26,-7.63,53.03,37.66
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-44.83,5.6,67.4,41.63
