Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,142824,124783,109052,116372
"Revenue 142824 124783 109052 116372  Other Revenue, Total - - - -","Revenue 142824 124783 109052 116372  Other Revenue, Total - - - -","Revenue 142824 124783 109052 116372  Other Revenue, Total - - - -","Revenue 142824 124783 109052 116372  Other Revenue, Total - - - -","Revenue 142824 124783 109052 116372  Other Revenue, Total - - - -"
Revenue,142824,124783,109052,116372
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",86139,74385,63316,66193
Gross Profit,56685,50398,45736,50179
Total Operating Expenses,133982,118379,103115,115512
"Selling/General/Admin. Expenses, Total 47843 43994 39799 42718  Research & Development - 3944 3046 -  Depreciation / Amortization 4855 4220 4092 -  Interest Expense (Income) - Net Operating -252 -217 -220 -  Unusual Expense (Income) - 125 723 6601  Other Operating Expenses, Total -9272 -7947 -6918 -","Selling/General/Admin. Expenses, Total 47843 43994 39799 42718  Research & Development - 3944 3046 -  Depreciation / Amortization 4855 4220 4092 -  Interest Expense (Income) - Net Operating -252 -217 -220 -  Unusual Expense (Income) - 125 723 6601  Other Operating Expenses, Total -9272 -7947 -6918 -","Selling/General/Admin. Expenses, Total 47843 43994 39799 42718  Research & Development - 3944 3046 -  Depreciation / Amortization 4855 4220 4092 -  Interest Expense (Income) - Net Operating -252 -217 -220 -  Unusual Expense (Income) - 125 723 6601  Other Operating Expenses, Total -9272 -7947 -6918 -","Selling/General/Admin. Expenses, Total 47843 43994 39799 42718  Research & Development - 3944 3046 -  Depreciation / Amortization 4855 4220 4092 -  Interest Expense (Income) - Net Operating -252 -217 -220 -  Unusual Expense (Income) - 125 723 6601  Other Operating Expenses, Total -9272 -7947 -6918 -","Selling/General/Admin. Expenses, Total 47843 43994 39799 42718  Research & Development - 3944 3046 -  Depreciation / Amortization 4855 4220 4092 -  Interest Expense (Income) - Net Operating -252 -217 -220 -  Unusual Expense (Income) - 125 723 6601  Other Operating Expenses, Total -9272 -7947 -6918 -"
"Selling/General/Admin. Expenses, Total",47843,43994,39799,42718
Research & Development,-,3944,3046,-
Depreciation / Amortization,4855,4220,4092,-
Interest Expense (Income) - Net Operating,-252,-217,-220,-
Unusual Expense (Income),-,125,723,6601
"Other Operating Expenses, Total",-9272,-7947,-6918,-
Operating Income,8842,6404,5937,860
"Interest Income (Expense), Net Non-Operating",-,-419,-355,-834
Gain (Loss) on Sale of Assets,25,31,10414,711
"Other, Net",1671,411,-18932,-101
Net Income Before Taxes,7146,5962,14455,636
Provision for Income Taxes,2189,2006,1392,2612
Net Income After Taxes,4957,3956,13063,-1976
Minority Interest,2213,1343,1159,94
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4184,3794,12959,-1882
Total Extraordinary Items,-,-,-,-
Net Income,4184,3794,12959,-1882
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,4184,3794,12959,-1882
Dilution Adjustment,0.046,-0.158,12946.05,-
Diluted Net Income,4183.95,3794.16,12.95,-1882
Diluted Weighted Average Shares,33.05,33.67,33.59,33.57
Diluted EPS Excluding Extraordinary Items,126.61,112.7,0.385,-56.06
DPS - Common Stock Primary Issue,72,70,70,70
Diluted Normalized EPS,148.09,107.62,99.62,83.93
