Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,105691,99203,99851.6,102252.62
"Revenue 105691 99203 99851.6 102252.62  Other Revenue, Total - - - -","Revenue 105691 99203 99851.6 102252.62  Other Revenue, Total - - - -","Revenue 105691 99203 99851.6 102252.62  Other Revenue, Total - - - -","Revenue 105691 99203 99851.6 102252.62  Other Revenue, Total - - - -","Revenue 105691 99203 99851.6 102252.62  Other Revenue, Total - - - -"
Revenue,105691,99203,99851.6,102252.62
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",83603,76165,75430.62,78459.41
Gross Profit,22088,23038,24420.99,23793.21
Total Operating Expenses,103669,95393,96292.62,99743.44
"Selling/General/Admin. Expenses, Total 20066 19228 20679.08 20910.23  Research & Development - 85 107.02 128.82  Depreciation / Amortization 1929 1910 - -  Interest Expense (Income) - Net Operating -560 -536 - -  Unusual Expense (Income) - 56.44 75.9 244.98  Other Operating Expenses, Total -1369 -1459 - -","Selling/General/Admin. Expenses, Total 20066 19228 20679.08 20910.23  Research & Development - 85 107.02 128.82  Depreciation / Amortization 1929 1910 - -  Interest Expense (Income) - Net Operating -560 -536 - -  Unusual Expense (Income) - 56.44 75.9 244.98  Other Operating Expenses, Total -1369 -1459 - -","Selling/General/Admin. Expenses, Total 20066 19228 20679.08 20910.23  Research & Development - 85 107.02 128.82  Depreciation / Amortization 1929 1910 - -  Interest Expense (Income) - Net Operating -560 -536 - -  Unusual Expense (Income) - 56.44 75.9 244.98  Other Operating Expenses, Total -1369 -1459 - -","Selling/General/Admin. Expenses, Total 20066 19228 20679.08 20910.23  Research & Development - 85 107.02 128.82  Depreciation / Amortization 1929 1910 - -  Interest Expense (Income) - Net Operating -560 -536 - -  Unusual Expense (Income) - 56.44 75.9 244.98  Other Operating Expenses, Total -1369 -1459 - -","Selling/General/Admin. Expenses, Total 20066 19228 20679.08 20910.23  Research & Development - 85 107.02 128.82  Depreciation / Amortization 1929 1910 - -  Interest Expense (Income) - Net Operating -560 -536 - -  Unusual Expense (Income) - 56.44 75.9 244.98  Other Operating Expenses, Total -1369 -1459 - -"
"Selling/General/Admin. Expenses, Total",20066,19228,20679.08,20910.23
Research & Development,-,85,107.02,128.82
Depreciation / Amortization,1929,1910,-,-
Interest Expense (Income) - Net Operating,-560,-536,-,-
Unusual Expense (Income),-,56.44,75.9,244.98
"Other Operating Expenses, Total",-1369,-1459,-,-
Operating Income,2022,3810,3558.98,2509.18
"Interest Income (Expense), Net Non-Operating",-,-343.33,-328.37,-383.33
Gain (Loss) on Sale of Assets,-35,12,-19.96,9.59
"Other, Net",405,447,-16.15,-56.02
Net Income Before Taxes,1652,3351,3194.5,2079.41
Provision for Income Taxes,1133,1373,577.4,1073.36
Net Income After Taxes,519,1978,2617.1,1006.05
Minority Interest,338,315,-37.78,-22.78
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,442,1898,2579.32,983.27
Total Extraordinary Items,-,-,-,-
Net Income,442,1898,2579.32,983.27
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,442,1898,2579.31,983.27
Dilution Adjustment,-,-,-,-
Diluted Net Income,442,1898,2579.31,983.27
Diluted Weighted Average Shares,22.83,22.66,19.21,19.21
Diluted EPS Excluding Extraordinary Items,19.36,83.76,134.28,51.19
DPS - Common Stock Primary Issue,16,15,-,-
Diluted Normalized EPS,44.81,90.1,138.37,57.12
