Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,4875,4502,4030.04,4172.26
"Revenue 4875 4502 4030.04 4172.26  Other Revenue, Total - - - -","Revenue 4875 4502 4030.04 4172.26  Other Revenue, Total - - - -","Revenue 4875 4502 4030.04 4172.26  Other Revenue, Total - - - -","Revenue 4875 4502 4030.04 4172.26  Other Revenue, Total - - - -","Revenue 4875 4502 4030.04 4172.26  Other Revenue, Total - - - -"
Revenue,4875,4502,4030.04,4172.26
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1399,1383,1408.05,1620.36
Gross Profit,3476,3119,2622,2551.89
Total Operating Expenses,3109,2982,2975.02,3083.07
"Selling/General/Admin. Expenses, Total 1710 1599 1563.5 1460.7  Research & Development 5 2 - -  Depreciation / Amortization 97 112 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 2.47 3.47 2.01  Other Operating Expenses, Total -102 -114 - -","Selling/General/Admin. Expenses, Total 1710 1599 1563.5 1460.7  Research & Development 5 2 - -  Depreciation / Amortization 97 112 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 2.47 3.47 2.01  Other Operating Expenses, Total -102 -114 - -","Selling/General/Admin. Expenses, Total 1710 1599 1563.5 1460.7  Research & Development 5 2 - -  Depreciation / Amortization 97 112 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 2.47 3.47 2.01  Other Operating Expenses, Total -102 -114 - -","Selling/General/Admin. Expenses, Total 1710 1599 1563.5 1460.7  Research & Development 5 2 - -  Depreciation / Amortization 97 112 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 2.47 3.47 2.01  Other Operating Expenses, Total -102 -114 - -","Selling/General/Admin. Expenses, Total 1710 1599 1563.5 1460.7  Research & Development 5 2 - -  Depreciation / Amortization 97 112 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 2.47 3.47 2.01  Other Operating Expenses, Total -102 -114 - -"
"Selling/General/Admin. Expenses, Total",1710,1599,1563.5,1460.7
Research & Development,5,2,-,-
Depreciation / Amortization,97,112,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,2.47,3.47,2.01
"Other Operating Expenses, Total",-102,-114,-,-
Operating Income,1766,1520,1055.03,1089.18
"Interest Income (Expense), Net Non-Operating",-,34.7,256.14,83.51
Gain (Loss) on Sale of Assets,-,34,1.5,-
"Other, Net",68,-52,-15.23,-13.44
Net Income Before Taxes,1698,1538,1297.43,1159.25
Provision for Income Taxes,592,527,437.34,393.92
Net Income After Taxes,1106,1011,860.09,765.33
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1106,1011,860.09,765.33
Total Extraordinary Items,-,-,-,-
Net Income,1106,1011,860.09,765.33
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,1106,1011,860.09,765.33
Dilution Adjustment,-,-,-,-
Diluted Net Income,1106,1011,860.09,765.33
Diluted Weighted Average Shares,13.42,13.63,13.82,13.78
Diluted EPS Excluding Extraordinary Items,82.41,74.17,62.23,55.55
DPS - Common Stock Primary Issue,27,23,17,17
Diluted Normalized EPS,79.08,69.05,62.49,55.65
