Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,18127,10793,12806.88,11994.28
"Revenue 18127 10793.51 12806.88 11994.28  Other Revenue, Total - - - -","Revenue 18127 10793.51 12806.88 11994.28  Other Revenue, Total - - - -","Revenue 18127 10793.51 12806.88 11994.28  Other Revenue, Total - - - -","Revenue 18127 10793.51 12806.88 11994.28  Other Revenue, Total - - - -","Revenue 18127 10793.51 12806.88 11994.28  Other Revenue, Total - - - -"
Revenue,18127,10793.51,12806.88,11994.28
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",12630,7930.44,8925.43,8488.08
Gross Profit,5497,2863.07,3881.45,3506.2
Total Operating Expenses,17065,10187.47,11200.6,10427.23
"Selling/General/Admin. Expenses, Total 4429 2257.03 2345.84 1939.46  Research & Development - - - -  Depreciation / Amortization 898 - - -  Interest Expense (Income) - Net Operating -90 - - -  Unusual Expense (Income) - - -70.96 -  Other Operating Expenses, Total -802 - 0.29 -0.32","Selling/General/Admin. Expenses, Total 4429 2257.03 2345.84 1939.46  Research & Development - - - -  Depreciation / Amortization 898 - - -  Interest Expense (Income) - Net Operating -90 - - -  Unusual Expense (Income) - - -70.96 -  Other Operating Expenses, Total -802 - 0.29 -0.32","Selling/General/Admin. Expenses, Total 4429 2257.03 2345.84 1939.46  Research & Development - - - -  Depreciation / Amortization 898 - - -  Interest Expense (Income) - Net Operating -90 - - -  Unusual Expense (Income) - - -70.96 -  Other Operating Expenses, Total -802 - 0.29 -0.32","Selling/General/Admin. Expenses, Total 4429 2257.03 2345.84 1939.46  Research & Development - - - -  Depreciation / Amortization 898 - - -  Interest Expense (Income) - Net Operating -90 - - -  Unusual Expense (Income) - - -70.96 -  Other Operating Expenses, Total -802 - 0.29 -0.32","Selling/General/Admin. Expenses, Total 4429 2257.03 2345.84 1939.46  Research & Development - - - -  Depreciation / Amortization 898 - - -  Interest Expense (Income) - Net Operating -90 - - -  Unusual Expense (Income) - - -70.96 -  Other Operating Expenses, Total -802 - 0.29 -0.32"
"Selling/General/Admin. Expenses, Total",4429,2257.03,2345.84,1939.46
Research & Development,-,-,-,-
Depreciation / Amortization,898,-,-,-
Interest Expense (Income) - Net Operating,-90,-,-,-
Unusual Expense (Income),-,-,-70.96,-
"Other Operating Expenses, Total",-802,-,0.29,-0.32
Operating Income,1062,606.04,1606.28,1567.06
"Interest Income (Expense), Net Non-Operating",-,-58.27,-65.33,-62.29
Gain (Loss) on Sale of Assets,817,33.94,2.03,-2.53
"Other, Net",-1609,15.71,277.77,22.82
Net Income Before Taxes,1854,597.42,1820.76,1525.06
Provision for Income Taxes,293,208.31,637.97,611.11
Net Income After Taxes,1561,389.11,1182.79,913.95
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1561,389.11,1182.79,913.95
Total Extraordinary Items,-,-,-,-
Net Income,1561,389.11,1182.79,913.95
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,1561,389.11,1182.79,913.95
Dilution Adjustment,-,-,-,-
Diluted Net Income,1561,389.11,1182.79,913.95
Diluted Weighted Average Shares,22.5,22.5,22.5,22.5
Diluted EPS Excluding Extraordinary Items,69.39,17.3,52.58,40.63
DPS - Common Stock Primary Issue,-,9,9,9
Diluted Normalized EPS,29.26,17.31,51.47,40.7
