Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,23935,21070,17142.5,20437.68
"Revenue 23935 21070.27 17142.5 20437.68  Other Revenue, Total - - - -","Revenue 23935 21070.27 17142.5 20437.68  Other Revenue, Total - - - -","Revenue 23935 21070.27 17142.5 20437.68  Other Revenue, Total - - - -","Revenue 23935 21070.27 17142.5 20437.68  Other Revenue, Total - - - -","Revenue 23935 21070.27 17142.5 20437.68  Other Revenue, Total - - - -"
Revenue,23935,21070.27,17142.5,20437.68
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,17720.87,14888.28,17702.86
Gross Profit,-,3349.4,2254.22,2734.82
Total Operating Expenses,22969,20010.33,17068.83,20118.26
"Selling/General/Admin. Expenses, Total 2447 2152.03 1969.2 2247.96  Research & Development - - - -  Depreciation / Amortization 485 124.72 137.55 141.47  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 12.71 73.79 25.97  Other Operating Expenses, Total -350 - - -","Selling/General/Admin. Expenses, Total 2447 2152.03 1969.2 2247.96  Research & Development - - - -  Depreciation / Amortization 485 124.72 137.55 141.47  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 12.71 73.79 25.97  Other Operating Expenses, Total -350 - - -","Selling/General/Admin. Expenses, Total 2447 2152.03 1969.2 2247.96  Research & Development - - - -  Depreciation / Amortization 485 124.72 137.55 141.47  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 12.71 73.79 25.97  Other Operating Expenses, Total -350 - - -","Selling/General/Admin. Expenses, Total 2447 2152.03 1969.2 2247.96  Research & Development - - - -  Depreciation / Amortization 485 124.72 137.55 141.47  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 12.71 73.79 25.97  Other Operating Expenses, Total -350 - - -","Selling/General/Admin. Expenses, Total 2447 2152.03 1969.2 2247.96  Research & Development - - - -  Depreciation / Amortization 485 124.72 137.55 141.47  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 12.71 73.79 25.97  Other Operating Expenses, Total -350 - - -"
"Selling/General/Admin. Expenses, Total",2447,2152.03,1969.2,2247.96
Research & Development,-,-,-,-
Depreciation / Amortization,485,124.72,137.55,141.47
Interest Expense (Income) - Net Operating,-5,-,-,-
Unusual Expense (Income),-,12.71,73.79,25.97
"Other Operating Expenses, Total",-350,-,-,-
Operating Income,966,1059.94,73.67,319.42
"Interest Income (Expense), Net Non-Operating",-,0.32,0.99,4.33
Gain (Loss) on Sale of Assets,10,3.02,0.09,-0.54
"Other, Net",-73,92.31,204.85,26.74
Net Income Before Taxes,1029,1155.6,279.61,349.95
Provision for Income Taxes,293,380.3,125.72,147.15
Net Income After Taxes,-,775.29,153.89,202.8
Minority Interest,762,-105.59,-41.13,-44.33
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,645,669.7,112.76,158.47
Total Extraordinary Items,-,-,-,-
Net Income,645,669.7,112.76,158.47
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,645,669.7,112.75,158.47
Dilution Adjustment,-,-,-,-
Diluted Net Income,645,669.7,112.75,158.47
Diluted Weighted Average Shares,6.04,6.04,6.04,6.04
Diluted EPS Excluding Extraordinary Items,106.71,110.79,18.65,26.22
DPS - Common Stock Primary Issue,-,33,6,8
Diluted Normalized EPS,92.38,115.07,28.57,31.96
