Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,7961,8433,5453.02,6250.7
"Revenue 7961 8433.17 5453.02 6250.7  Other Revenue, Total - - - -","Revenue 7961 8433.17 5453.02 6250.7  Other Revenue, Total - - - -","Revenue 7961 8433.17 5453.02 6250.7  Other Revenue, Total - - - -","Revenue 7961 8433.17 5453.02 6250.7  Other Revenue, Total - - - -","Revenue 7961 8433.17 5453.02 6250.7  Other Revenue, Total - - - -"
Revenue,7961,8433.17,5453.02,6250.7
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",6611,6835.03,4335.32,5113.25
Gross Profit,1350,1598.14,1117.7,1137.46
Total Operating Expenses,7475,7658.95,5094.88,5950.33
"Selling/General/Admin. Expenses, Total 864 811.28 790.22 832.65  Research & Development - - - -  Depreciation / Amortization 203 - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 12.64 -30.66 4.43  Other Operating Expenses, Total -199 - - -","Selling/General/Admin. Expenses, Total 864 811.28 790.22 832.65  Research & Development - - - -  Depreciation / Amortization 203 - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 12.64 -30.66 4.43  Other Operating Expenses, Total -199 - - -","Selling/General/Admin. Expenses, Total 864 811.28 790.22 832.65  Research & Development - - - -  Depreciation / Amortization 203 - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 12.64 -30.66 4.43  Other Operating Expenses, Total -199 - - -","Selling/General/Admin. Expenses, Total 864 811.28 790.22 832.65  Research & Development - - - -  Depreciation / Amortization 203 - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 12.64 -30.66 4.43  Other Operating Expenses, Total -199 - - -","Selling/General/Admin. Expenses, Total 864 811.28 790.22 832.65  Research & Development - - - -  Depreciation / Amortization 203 - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 12.64 -30.66 4.43  Other Operating Expenses, Total -199 - - -"
"Selling/General/Admin. Expenses, Total",864,811.28,790.22,832.65
Research & Development,-,-,-,-
Depreciation / Amortization,203,-,-,-
Interest Expense (Income) - Net Operating,-4,-,-,-
Unusual Expense (Income),-,12.64,-30.66,4.43
"Other Operating Expenses, Total",-199,-,-,-
Operating Income,486,774.22,358.14,300.37
"Interest Income (Expense), Net Non-Operating",-,3.07,4.99,-2.36
Gain (Loss) on Sale of Assets,10,2.36,3.26,4.34
"Other, Net",-58,20.07,76.21,48.43
Net Income Before Taxes,534,799.71,442.6,350.78
Provision for Income Taxes,188,290.18,156.13,69.24
Net Income After Taxes,346,509.53,286.46,281.55
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,346,509.53,286.46,281.55
Total Extraordinary Items,-,-,-,-
Net Income,346,509.53,286.46,281.55
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,346,509.53,286.46,281.55
Dilution Adjustment,-,-,-,-
Diluted Net Income,346,509.53,286.46,281.55
Diluted Weighted Average Shares,3.37,3.39,3.39,1.71
Diluted EPS Excluding Extraordinary Items,102.73,150.27,84.46,164.34
DPS - Common Stock Primary Issue,22.5,22.5,15,30
Diluted Normalized EPS,97.24,152.92,78.71,165.8
