Period Ending:,202231/08,202131/08,202031/08,Unnamed: 4
Total Revenue,18441,13425,9985,-
"Revenue 18441 13425 9985 -  Other Revenue, Total - - - -","Revenue 18441 13425 9985 -  Other Revenue, Total - - - -","Revenue 18441 13425 9985 -  Other Revenue, Total - - - -","Revenue 18441 13425 9985 -  Other Revenue, Total - - - -","Revenue 18441 13425 9985 -  Other Revenue, Total - - - -"
Revenue,18441,13425,9985,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",15876,11215,8874,-
Gross Profit,2565,2210,1111,-
Total Operating Expenses,17556,12698,10121,-
"Selling/General/Admin. Expenses, Total 1655 1483 1247 -  Research & Development - - - -  Depreciation / Amortization 32 - - -  Interest Expense (Income) - Net Operating -123 -90 -77 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 116 90 77 -","Selling/General/Admin. Expenses, Total 1655 1483 1247 -  Research & Development - - - -  Depreciation / Amortization 32 - - -  Interest Expense (Income) - Net Operating -123 -90 -77 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 116 90 77 -","Selling/General/Admin. Expenses, Total 1655 1483 1247 -  Research & Development - - - -  Depreciation / Amortization 32 - - -  Interest Expense (Income) - Net Operating -123 -90 -77 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 116 90 77 -","Selling/General/Admin. Expenses, Total 1655 1483 1247 -  Research & Development - - - -  Depreciation / Amortization 32 - - -  Interest Expense (Income) - Net Operating -123 -90 -77 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 116 90 77 -","Selling/General/Admin. Expenses, Total 1655 1483 1247 -  Research & Development - - - -  Depreciation / Amortization 32 - - -  Interest Expense (Income) - Net Operating -123 -90 -77 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 116 90 77 -"
"Selling/General/Admin. Expenses, Total",1655,1483,1247,-
Research & Development,-,-,-,-
Depreciation / Amortization,32,-,-,-
Interest Expense (Income) - Net Operating,-123,-90,-77,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",116,90,77,-
Operating Income,885,727,-136,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-,-10,-30,-
"Other, Net",175,89,117,-
Net Income Before Taxes,710,648,-223,-
Provision for Income Taxes,234,229,-56,-
Net Income After Taxes,476,419,-167,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,476,419,-167,-
Total Extraordinary Items,-,-,-,-
Net Income,476,419,-167,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,476,419,-167,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,476,419,-167,-
Diluted Weighted Average Shares,4.9,4.59,4.59,-
Diluted EPS Excluding Extraordinary Items,97.06,91.29,-36.38,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,90.48,89.6,-26.55,-
