Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,59,8,115.09,169.86
"Revenue 9 8.35 115.09 169.86  Other Revenue, Total 50 - - -","Revenue 9 8.35 115.09 169.86  Other Revenue, Total 50 - - -","Revenue 9 8.35 115.09 169.86  Other Revenue, Total 50 - - -","Revenue 9 8.35 115.09 169.86  Other Revenue, Total 50 - - -","Revenue 9 8.35 115.09 169.86  Other Revenue, Total 50 - - -"
Revenue,9,8.35,115.09,169.86
"Other Revenue, Total",50,-,-,-
"Cost of Revenue, Total",3,2.26,3.91,5.25
Gross Profit,56,6.09,111.18,164.61
Total Operating Expenses,1160,1053.78,1199.55,1776
"Selling/General/Admin. Expenses, Total 1157 269.84 271.05 277.44  Research & Development 921 794.06 967.07 1512.2  Depreciation / Amortization 46 3.41 3.48 2.94  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -15.79 -45.96 -21.83  Other Operating Expenses, Total -44 - - -","Selling/General/Admin. Expenses, Total 1157 269.84 271.05 277.44  Research & Development 921 794.06 967.07 1512.2  Depreciation / Amortization 46 3.41 3.48 2.94  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -15.79 -45.96 -21.83  Other Operating Expenses, Total -44 - - -","Selling/General/Admin. Expenses, Total 1157 269.84 271.05 277.44  Research & Development 921 794.06 967.07 1512.2  Depreciation / Amortization 46 3.41 3.48 2.94  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -15.79 -45.96 -21.83  Other Operating Expenses, Total -44 - - -","Selling/General/Admin. Expenses, Total 1157 269.84 271.05 277.44  Research & Development 921 794.06 967.07 1512.2  Depreciation / Amortization 46 3.41 3.48 2.94  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -15.79 -45.96 -21.83  Other Operating Expenses, Total -44 - - -","Selling/General/Admin. Expenses, Total 1157 269.84 271.05 277.44  Research & Development 921 794.06 967.07 1512.2  Depreciation / Amortization 46 3.41 3.48 2.94  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -15.79 -45.96 -21.83  Other Operating Expenses, Total -44 - - -"
"Selling/General/Admin. Expenses, Total",1157,269.84,271.05,277.44
Research & Development,921,794.06,967.07,1512.2
Depreciation / Amortization,46,3.41,3.48,2.94
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-15.79,-45.96,-21.83
"Other Operating Expenses, Total",-44,-,-,-
Operating Income,-1101,-1045.43,-1084.46,-1606.14
"Interest Income (Expense), Net Non-Operating",-,0.26,-3.56,7.91
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",9,-13.3,-18.55,-13.2
Net Income Before Taxes,-1110,-1058.47,-1106.57,-1611.43
Provision for Income Taxes,1,1.36,8.08,4.88
Net Income After Taxes,-1111,-1059.83,-1114.64,-1616.31
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-1111,-1059.83,-1114.64,-1616.31
Total Extraordinary Items,-,-,-,-
Net Income,-1111,-1059.83,-1114.64,-1616.31
Total Adjustments to Net Income,-,-0,-,-0
Income Available to Common Excluding Extraordinary Items,-1111,-1059.83,-1114.64,-1616.31
Dilution Adjustment,-,-,-,-
Diluted Net Income,-1111,-1059.83,-1114.64,-1616.31
Diluted Weighted Average Shares,25.36,21.36,16.25,12.03
Diluted EPS Excluding Extraordinary Items,-43.8,-49.62,-68.61,-134.32
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-27.4,-50.1,-70.45,-135.5
