Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,103595,103992,114909,126810
"Revenue 103595 103992 114909 126810  Other Revenue, Total - - - -","Revenue 103595 103992 114909 126810  Other Revenue, Total - - - -","Revenue 103595 103992 114909 126810  Other Revenue, Total - - - -","Revenue 103595 103992 114909 126810  Other Revenue, Total - - - -","Revenue 103595 103992 114909 126810  Other Revenue, Total - - - -"
Revenue,103595,103992,114909,126810
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",34382,34876,33798,36266
Gross Profit,69213,69116,81111,90544
Total Operating Expenses,95802,95079,103884,112810
"Selling/General/Admin. Expenses, Total 57583 55477 66371 73126  Research & Development 1225 1257 1003 1229  Depreciation / Amortization 4377 2611 2160 2062  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 858 551 125  Other Operating Expenses, Total -1765 - 1 2","Selling/General/Admin. Expenses, Total 57583 55477 66371 73126  Research & Development 1225 1257 1003 1229  Depreciation / Amortization 4377 2611 2160 2062  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 858 551 125  Other Operating Expenses, Total -1765 - 1 2","Selling/General/Admin. Expenses, Total 57583 55477 66371 73126  Research & Development 1225 1257 1003 1229  Depreciation / Amortization 4377 2611 2160 2062  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 858 551 125  Other Operating Expenses, Total -1765 - 1 2","Selling/General/Admin. Expenses, Total 57583 55477 66371 73126  Research & Development 1225 1257 1003 1229  Depreciation / Amortization 4377 2611 2160 2062  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 858 551 125  Other Operating Expenses, Total -1765 - 1 2","Selling/General/Admin. Expenses, Total 57583 55477 66371 73126  Research & Development 1225 1257 1003 1229  Depreciation / Amortization 4377 2611 2160 2062  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 858 551 125  Other Operating Expenses, Total -1765 - 1 2"
"Selling/General/Admin. Expenses, Total",57583,55477,66371,73126
Research & Development,1225,1257,1003,1229
Depreciation / Amortization,4377,2611,2160,2062
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,858,551,125
"Other Operating Expenses, Total",-1765,-,1,2
Operating Income,7793,8913,11025,14000
"Interest Income (Expense), Net Non-Operating",-,365,-67,52
Gain (Loss) on Sale of Assets,-63,-,1,-1
"Other, Net",-357,297,276,136
Net Income Before Taxes,8213,9575,11235,14187
Provision for Income Taxes,3243,2153,3218,4202
Net Income After Taxes,4970,7422,8017,9985
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4970,7422,8017,9985
Total Extraordinary Items,-,-,-,-
Net Income,4970,7422,8017,9985
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,4970,7421,8016,9985
Dilution Adjustment,-0.803,-,-,-
Diluted Net Income,4970.8,7421,8016,9985
Diluted Weighted Average Shares,121.39,121.16,121.14,121.08
Diluted EPS Excluding Extraordinary Items,40.95,61.25,66.17,82.46
DPS - Common Stock Primary Issue,34,34,34,34
Diluted Normalized EPS,44.04,66.74,69.41,83.2
