Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,2918,2776,1107.3,1702.97
"Revenue 2918 2776.23 1107.3 1702.97  Other Revenue, Total - - - -","Revenue 2918 2776.23 1107.3 1702.97  Other Revenue, Total - - - -","Revenue 2918 2776.23 1107.3 1702.97  Other Revenue, Total - - - -","Revenue 2918 2776.23 1107.3 1702.97  Other Revenue, Total - - - -","Revenue 2918 2776.23 1107.3 1702.97  Other Revenue, Total - - - -"
Revenue,2918,2776.23,1107.3,1702.97
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",231.59,320.67,138.01,262.8
Gross Profit,2918,2455.56,969.29,1440.17
Total Operating Expenses,2051,2088,1595.11,1714.75
"Selling/General/Admin. Expenses, Total 797 614.91 517.82 587.12  Research & Development 1248 991.23 813.29 732.84  Depreciation / Amortization 147 141.56 124.25 136.15  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 19.63 1.73 -4.17  Other Operating Expenses, Total -135 - - -","Selling/General/Admin. Expenses, Total 797 614.91 517.82 587.12  Research & Development 1248 991.23 813.29 732.84  Depreciation / Amortization 147 141.56 124.25 136.15  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 19.63 1.73 -4.17  Other Operating Expenses, Total -135 - - -","Selling/General/Admin. Expenses, Total 797 614.91 517.82 587.12  Research & Development 1248 991.23 813.29 732.84  Depreciation / Amortization 147 141.56 124.25 136.15  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 19.63 1.73 -4.17  Other Operating Expenses, Total -135 - - -","Selling/General/Admin. Expenses, Total 797 614.91 517.82 587.12  Research & Development 1248 991.23 813.29 732.84  Depreciation / Amortization 147 141.56 124.25 136.15  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 19.63 1.73 -4.17  Other Operating Expenses, Total -135 - - -","Selling/General/Admin. Expenses, Total 797 614.91 517.82 587.12  Research & Development 1248 991.23 813.29 732.84  Depreciation / Amortization 147 141.56 124.25 136.15  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 19.63 1.73 -4.17  Other Operating Expenses, Total -135 - - -"
"Selling/General/Admin. Expenses, Total",797,614.91,517.82,587.12
Research & Development,1248,991.23,813.29,732.84
Depreciation / Amortization,147,141.56,124.25,136.15
Interest Expense (Income) - Net Operating,-6,-,-,-
Unusual Expense (Income),-,19.63,1.73,-4.17
"Other Operating Expenses, Total",-135,-,-,-
Operating Income,867,688.23,-487.81,-11.78
"Interest Income (Expense), Net Non-Operating",-,183.71,-42.84,49.8
Gain (Loss) on Sale of Assets,-35,-,0.75,-
"Other, Net",52,8.63,1.96,-10.72
Net Income Before Taxes,850,880.58,-527.94,27.31
Provision for Income Taxes,127,124.79,79.04,21.97
Net Income After Taxes,723,755.79,-606.99,5.34
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,723,755.79,-606.99,5.34
Total Extraordinary Items,-,-,-,-
Net Income,723,755.79,-606.99,5.34
Total Adjustments to Net Income,-,-0,-,-
Income Available to Common Excluding Extraordinary Items,723,755.79,-606.99,5.34
Dilution Adjustment,-0.289,-,-,-
Diluted Net Income,723.29,755.79,-606.99,5.34
Diluted Weighted Average Shares,20.98,20.97,20.95,20.59
Diluted EPS Excluding Extraordinary Items,34.47,36.04,-28.97,0.26
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,26.81,36.84,-28.94,0.13
