Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,4464,4168,3468.65,3575.83
"Revenue 4464 4168 3468.65 3575.83  Other Revenue, Total - - - -","Revenue 4464 4168 3468.65 3575.83  Other Revenue, Total - - - -","Revenue 4464 4168 3468.65 3575.83  Other Revenue, Total - - - -","Revenue 4464 4168 3468.65 3575.83  Other Revenue, Total - - - -","Revenue 4464 4168 3468.65 3575.83  Other Revenue, Total - - - -"
Revenue,4464,4168,3468.65,3575.83
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2815,2701,2347.63,2361.47
Gross Profit,1649,1467,1121.02,1214.36
Total Operating Expenses,4365,4012,3327.61,3384.83
"Selling/General/Admin. Expenses, Total 1550 1311 949.75 991.26  Research & Development - - - -  Depreciation / Amortization 126 131 5.9 6.52  Interest Expense (Income) - Net Operating -15 -14 - -  Unusual Expense (Income) - -106.26 24.32 25.58  Other Operating Expenses, Total -111 -117 - -","Selling/General/Admin. Expenses, Total 1550 1311 949.75 991.26  Research & Development - - - -  Depreciation / Amortization 126 131 5.9 6.52  Interest Expense (Income) - Net Operating -15 -14 - -  Unusual Expense (Income) - -106.26 24.32 25.58  Other Operating Expenses, Total -111 -117 - -","Selling/General/Admin. Expenses, Total 1550 1311 949.75 991.26  Research & Development - - - -  Depreciation / Amortization 126 131 5.9 6.52  Interest Expense (Income) - Net Operating -15 -14 - -  Unusual Expense (Income) - -106.26 24.32 25.58  Other Operating Expenses, Total -111 -117 - -","Selling/General/Admin. Expenses, Total 1550 1311 949.75 991.26  Research & Development - - - -  Depreciation / Amortization 126 131 5.9 6.52  Interest Expense (Income) - Net Operating -15 -14 - -  Unusual Expense (Income) - -106.26 24.32 25.58  Other Operating Expenses, Total -111 -117 - -","Selling/General/Admin. Expenses, Total 1550 1311 949.75 991.26  Research & Development - - - -  Depreciation / Amortization 126 131 5.9 6.52  Interest Expense (Income) - Net Operating -15 -14 - -  Unusual Expense (Income) - -106.26 24.32 25.58  Other Operating Expenses, Total -111 -117 - -"
"Selling/General/Admin. Expenses, Total",1550,1311,949.75,991.26
Research & Development,-,-,-,-
Depreciation / Amortization,126,131,5.9,6.52
Interest Expense (Income) - Net Operating,-15,-14,-,-
Unusual Expense (Income),-,-106.26,24.32,25.58
"Other Operating Expenses, Total",-111,-117,-,-
Operating Income,99,156,141.04,191
"Interest Income (Expense), Net Non-Operating",-,-14.19,-11.89,-10.75
Gain (Loss) on Sale of Assets,21,32,6.92,7.06
"Other, Net",-29,-162,89.6,3.52
Net Income Before Taxes,107,286,225.67,190.84
Provision for Income Taxes,72,100,75.56,68.48
Net Income After Taxes,35,186,150.11,122.35
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,35,186,150.11,122.35
Total Extraordinary Items,-,-,-,-
Net Income,35,186,150.11,122.35
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,35,186,150.11,122.35
Dilution Adjustment,-0.087,-0.238,-,-
Diluted Net Income,35.09,186.24,150.11,122.35
Diluted Weighted Average Shares,5.52,5.52,5.5,5.51
Diluted EPS Excluding Extraordinary Items,6.36,33.74,27.29,22.21
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,14.5,28.99,29.95,25.9
