Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,38981,36778,36504,37232
"Revenue 38981 36778 36504 37232  Other Revenue, Total - - - -","Revenue 38981 36778 36504 37232  Other Revenue, Total - - - -","Revenue 38981 36778 36504 37232  Other Revenue, Total - - - -","Revenue 38981 36778 36504 37232  Other Revenue, Total - - - -","Revenue 38981 36778 36504 37232  Other Revenue, Total - - - -"
Revenue,38981,36778,36504,37232
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",23241,21361,21177,21798
Gross Profit,15740,15417,15327,15434
Total Operating Expenses,32346,30644,30899,31934
"Selling/General/Admin. Expenses, Total 9105 8476 8788 8449  Research & Development - - - 607  Depreciation / Amortization 3617 805 906 1070  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - 1 27 9  Other Operating Expenses, Total -3298 1 1 1","Selling/General/Admin. Expenses, Total 9105 8476 8788 8449  Research & Development - - - 607  Depreciation / Amortization 3617 805 906 1070  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - 1 27 9  Other Operating Expenses, Total -3298 1 1 1","Selling/General/Admin. Expenses, Total 9105 8476 8788 8449  Research & Development - - - 607  Depreciation / Amortization 3617 805 906 1070  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - 1 27 9  Other Operating Expenses, Total -3298 1 1 1","Selling/General/Admin. Expenses, Total 9105 8476 8788 8449  Research & Development - - - 607  Depreciation / Amortization 3617 805 906 1070  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - 1 27 9  Other Operating Expenses, Total -3298 1 1 1","Selling/General/Admin. Expenses, Total 9105 8476 8788 8449  Research & Development - - - 607  Depreciation / Amortization 3617 805 906 1070  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - 1 27 9  Other Operating Expenses, Total -3298 1 1 1"
"Selling/General/Admin. Expenses, Total",9105,8476,8788,8449
Research & Development,-,-,-,607
Depreciation / Amortization,3617,805,906,1070
Interest Expense (Income) - Net Operating,-29,-,-,-
Unusual Expense (Income),-,1,27,9
"Other Operating Expenses, Total",-3298,1,1,1
Operating Income,6635,6134,5605,5298
"Interest Income (Expense), Net Non-Operating",-,-55,1098,2099
Gain (Loss) on Sale of Assets,-,1,1,1
"Other, Net",446,206,285,327
Net Income Before Taxes,6189,6286,6989,7725
Provision for Income Taxes,1904,1951,2060,2235
Net Income After Taxes,4285,4335,4929,5490
Minority Interest,72,35,30,40
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4316,4370,4959,5530
Total Extraordinary Items,-,-,-,-
Net Income,4316,4370,4959,5530
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,4316,4370,4959,5529
Dilution Adjustment,-,-,-,-
Diluted Net Income,4316,4370,4959,5529
Diluted Weighted Average Shares,24.26,28.56,30.23,30.2
Diluted EPS Excluding Extraordinary Items,177.93,152.99,164.03,183.05
DPS - Common Stock Primary Issue,71,68,68,66
Diluted Normalized EPS,172.7,152.99,164.64,183.24
