Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,30166,32374,32057.44,25671.6
"Revenue 30166 32374.02 32057.44 25671.6  Other Revenue, Total - - - -","Revenue 30166 32374.02 32057.44 25671.6  Other Revenue, Total - - - -","Revenue 30166 32374.02 32057.44 25671.6  Other Revenue, Total - - - -","Revenue 30166 32374.02 32057.44 25671.6  Other Revenue, Total - - - -","Revenue 30166 32374.02 32057.44 25671.6  Other Revenue, Total - - - -"
Revenue,30166,32374.02,32057.44,25671.6
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",26166,26052.52,24840.13,20002.38
Gross Profit,4000,6321.49,7217.31,5669.22
Total Operating Expenses,29715,29695.7,28443.52,22998.13
"Selling/General/Admin. Expenses, Total 3549 3613.16 2417.85 2266.24  Research & Development - - 783.94 714.01  Depreciation / Amortization 1462 - - -  Interest Expense (Income) - Net Operating -8 - - -  Unusual Expense (Income) - 30.01 401.6 15.51  Other Operating Expenses, Total -1454 - - -","Selling/General/Admin. Expenses, Total 3549 3613.16 2417.85 2266.24  Research & Development - - 783.94 714.01  Depreciation / Amortization 1462 - - -  Interest Expense (Income) - Net Operating -8 - - -  Unusual Expense (Income) - 30.01 401.6 15.51  Other Operating Expenses, Total -1454 - - -","Selling/General/Admin. Expenses, Total 3549 3613.16 2417.85 2266.24  Research & Development - - 783.94 714.01  Depreciation / Amortization 1462 - - -  Interest Expense (Income) - Net Operating -8 - - -  Unusual Expense (Income) - 30.01 401.6 15.51  Other Operating Expenses, Total -1454 - - -","Selling/General/Admin. Expenses, Total 3549 3613.16 2417.85 2266.24  Research & Development - - 783.94 714.01  Depreciation / Amortization 1462 - - -  Interest Expense (Income) - Net Operating -8 - - -  Unusual Expense (Income) - 30.01 401.6 15.51  Other Operating Expenses, Total -1454 - - -","Selling/General/Admin. Expenses, Total 3549 3613.16 2417.85 2266.24  Research & Development - - 783.94 714.01  Depreciation / Amortization 1462 - - -  Interest Expense (Income) - Net Operating -8 - - -  Unusual Expense (Income) - 30.01 401.6 15.51  Other Operating Expenses, Total -1454 - - -"
"Selling/General/Admin. Expenses, Total",3549,3613.16,2417.85,2266.24
Research & Development,-,-,783.94,714.01
Depreciation / Amortization,1462,-,-,-
Interest Expense (Income) - Net Operating,-8,-,-,-
Unusual Expense (Income),-,30.01,401.6,15.51
"Other Operating Expenses, Total",-1454,-,-,-
Operating Income,451,2678.32,3613.92,2673.47
"Interest Income (Expense), Net Non-Operating",-,23.09,18.56,-5.04
Gain (Loss) on Sale of Assets,45,-,-1.18,-
"Other, Net",-71,67.36,31.25,26.09
Net Income Before Taxes,477,2768.76,3662.55,2694.51
Provision for Income Taxes,167,705.02,1047.14,797.02
Net Income After Taxes,310,2063.74,2615.41,1897.49
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,310,2063.74,2615.41,1897.49
Total Extraordinary Items,-,-,-,-
Net Income,310,2063.74,2615.41,1897.49
Total Adjustments to Net Income,-,-0,-0,-
Income Available to Common Excluding Extraordinary Items,310,2063.74,2615.41,1897.49
Dilution Adjustment,-,-,-,-
Diluted Net Income,310,2063.74,2615.41,1897.49
Diluted Weighted Average Shares,14.33,14.33,14.32,14.33
Diluted EPS Excluding Extraordinary Items,21.63,144.03,182.58,132.41
DPS - Common Stock Primary Issue,-,36,32,24
Diluted Normalized EPS,19.1,145.59,202.65,133.18
