Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,45238,41582,35725.07,36266.44
"Revenue 45238 41582.27 35725.07 36266.44  Other Revenue, Total - - - -","Revenue 45238 41582.27 35725.07 36266.44  Other Revenue, Total - - - -","Revenue 45238 41582.27 35725.07 36266.44  Other Revenue, Total - - - -","Revenue 45238 41582.27 35725.07 36266.44  Other Revenue, Total - - - -","Revenue 45238 41582.27 35725.07 36266.44  Other Revenue, Total - - - -"
Revenue,45238,41582.27,35725.07,36266.44
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",15729,14083.34,12339.75,12554.65
Gross Profit,29509,27498.93,23385.31,23711.8
Total Operating Expenses,37686,33765.09,29346.16,29525.88
"Selling/General/Admin. Expenses, Total 21957 17939.49 15409.47 15425.52  Research & Development 2074 1741.74 1581.06 1534.33  Depreciation / Amortization 2080 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.52 15.88 11.37  Other Operating Expenses, Total -4154 - - -","Selling/General/Admin. Expenses, Total 21957 17939.49 15409.47 15425.52  Research & Development 2074 1741.74 1581.06 1534.33  Depreciation / Amortization 2080 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.52 15.88 11.37  Other Operating Expenses, Total -4154 - - -","Selling/General/Admin. Expenses, Total 21957 17939.49 15409.47 15425.52  Research & Development 2074 1741.74 1581.06 1534.33  Depreciation / Amortization 2080 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.52 15.88 11.37  Other Operating Expenses, Total -4154 - - -","Selling/General/Admin. Expenses, Total 21957 17939.49 15409.47 15425.52  Research & Development 2074 1741.74 1581.06 1534.33  Depreciation / Amortization 2080 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.52 15.88 11.37  Other Operating Expenses, Total -4154 - - -","Selling/General/Admin. Expenses, Total 21957 17939.49 15409.47 15425.52  Research & Development 2074 1741.74 1581.06 1534.33  Depreciation / Amortization 2080 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.52 15.88 11.37  Other Operating Expenses, Total -4154 - - -"
"Selling/General/Admin. Expenses, Total",21957,17939.49,15409.47,15425.52
Research & Development,2074,1741.74,1581.06,1534.33
Depreciation / Amortization,2080,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,0.52,15.88,11.37
"Other Operating Expenses, Total",-4154,-,-,-
Operating Income,7552,7817.18,6378.91,6740.57
"Interest Income (Expense), Net Non-Operating",-,-63.36,-37.98,-15.28
Gain (Loss) on Sale of Assets,1.4,0.35,-,-2.6
"Other, Net",-271,-620.77,-450.92,-505.12
Net Income Before Taxes,7823,7133.4,5890.01,6217.56
Provision for Income Taxes,2246,2024.11,1685.87,1699.95
Net Income After Taxes,5577,5109.29,4204.14,4517.62
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5577,5109.29,4204.14,4517.62
Total Extraordinary Items,-,-,-,-
Net Income,5577,5109.29,4204.14,4517.62
Total Adjustments to Net Income,-,-0,-,-0
Income Available to Common Excluding Extraordinary Items,5577,5109.29,4204.14,4517.61
Dilution Adjustment,-,-,-,-
Diluted Net Income,5577,5109.29,4204.14,4517.61
Diluted Weighted Average Shares,32.52,32.51,32.53,32.74
Diluted EPS Excluding Extraordinary Items,171.49,157.17,129.24,137.99
DPS - Common Stock Primary Issue,86,68,56,56
Diluted Normalized EPS,150.46,157.17,129.59,138.3
