Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,26564,22999,22182,21346.08
"Revenue 26564 22999 22182 21346.08  Other Revenue, Total - - - -","Revenue 26564 22999 22182 21346.08  Other Revenue, Total - - - -","Revenue 26564 22999 22182 21346.08  Other Revenue, Total - - - -","Revenue 26564 22999 22182 21346.08  Other Revenue, Total - - - -","Revenue 26564 22999 22182 21346.08  Other Revenue, Total - - - -"
Revenue,26564,22999,22182,21346.08
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",19025,15961,15035,14948.53
Gross Profit,7539,7038,7147,6397.55
Total Operating Expenses,25658,21522,20570,20278.58
"Selling/General/Admin. Expenses, Total 6633 5561 5535 5167.86  Research & Development - 105 150 141.32  Depreciation / Amortization 571 421 433 -  Interest Expense (Income) - Net Operating -10 -4 -5 -  Unusual Expense (Income) - 16.24 9.72 20.88  Other Operating Expenses, Total -561 -522 -578 -","Selling/General/Admin. Expenses, Total 6633 5561 5535 5167.86  Research & Development - 105 150 141.32  Depreciation / Amortization 571 421 433 -  Interest Expense (Income) - Net Operating -10 -4 -5 -  Unusual Expense (Income) - 16.24 9.72 20.88  Other Operating Expenses, Total -561 -522 -578 -","Selling/General/Admin. Expenses, Total 6633 5561 5535 5167.86  Research & Development - 105 150 141.32  Depreciation / Amortization 571 421 433 -  Interest Expense (Income) - Net Operating -10 -4 -5 -  Unusual Expense (Income) - 16.24 9.72 20.88  Other Operating Expenses, Total -561 -522 -578 -","Selling/General/Admin. Expenses, Total 6633 5561 5535 5167.86  Research & Development - 105 150 141.32  Depreciation / Amortization 571 421 433 -  Interest Expense (Income) - Net Operating -10 -4 -5 -  Unusual Expense (Income) - 16.24 9.72 20.88  Other Operating Expenses, Total -561 -522 -578 -","Selling/General/Admin. Expenses, Total 6633 5561 5535 5167.86  Research & Development - 105 150 141.32  Depreciation / Amortization 571 421 433 -  Interest Expense (Income) - Net Operating -10 -4 -5 -  Unusual Expense (Income) - 16.24 9.72 20.88  Other Operating Expenses, Total -561 -522 -578 -"
"Selling/General/Admin. Expenses, Total",6633,5561,5535,5167.86
Research & Development,-,105,150,141.32
Depreciation / Amortization,571,421,433,-
Interest Expense (Income) - Net Operating,-10,-4,-5,-
Unusual Expense (Income),-,16.24,9.72,20.88
"Other Operating Expenses, Total",-561,-522,-578,-
Operating Income,906,1477,1612,1067.5
"Interest Income (Expense), Net Non-Operating",-,11.04,25.61,0.38
Gain (Loss) on Sale of Assets,-3,-1,38,1.42
"Other, Net",127,1,-47,12.01
Net Income Before Taxes,782,1477,1621,1081.31
Provision for Income Taxes,172,478,621,354.76
Net Income After Taxes,610,999,1000,726.55
Minority Interest,622,644,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,630,999,1000,726.55
Total Extraordinary Items,-,-,-,-
Net Income,630,999,1000,726.55
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,630,999,1000,726.55
Dilution Adjustment,-,-,-,-
Diluted Net Income,630,999,1000,726.55
Diluted Weighted Average Shares,2.29,2.29,2.04,1.96
Diluted EPS Excluding Extraordinary Items,275.23,436.44,489.74,370.69
DPS - Common Stock Primary Issue,-,90,60,-
Diluted Normalized EPS,256.12,407.38,487.29,377.36
