Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,369096,352064,392868,457223
"Revenue 369096 352064 392868 457223  Other Revenue, Total - - - -","Revenue 369096 352064 392868 457223  Other Revenue, Total - - - -","Revenue 369096 352064 392868 457223  Other Revenue, Total - - - -","Revenue 369096 352064 392868 457223  Other Revenue, Total - - - -","Revenue 369096 352064 392868 457223  Other Revenue, Total - - - -"
Revenue,369096,352064,392868,457223
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",282903,261948,293444,339415
Gross Profit,86193,90116,99424,117808
Total Operating Expenses,366692,350141,389429,443484
"Selling/General/Admin. Expenses, Total 83789 84252 90528 90420  Research & Development - - 11215 10558  Depreciation / Amortization 12322 - - -  Interest Expense (Income) - Net Operating -1853 - - -  Unusual Expense (Income) - 3941 5456 3090  Other Operating Expenses, Total -10469 - 1 1","Selling/General/Admin. Expenses, Total 83789 84252 90528 90420  Research & Development - - 11215 10558  Depreciation / Amortization 12322 - - -  Interest Expense (Income) - Net Operating -1853 - - -  Unusual Expense (Income) - 3941 5456 3090  Other Operating Expenses, Total -10469 - 1 1","Selling/General/Admin. Expenses, Total 83789 84252 90528 90420  Research & Development - - 11215 10558  Depreciation / Amortization 12322 - - -  Interest Expense (Income) - Net Operating -1853 - - -  Unusual Expense (Income) - 3941 5456 3090  Other Operating Expenses, Total -10469 - 1 1","Selling/General/Admin. Expenses, Total 83789 84252 90528 90420  Research & Development - - 11215 10558  Depreciation / Amortization 12322 - - -  Interest Expense (Income) - Net Operating -1853 - - -  Unusual Expense (Income) - 3941 5456 3090  Other Operating Expenses, Total -10469 - 1 1","Selling/General/Admin. Expenses, Total 83789 84252 90528 90420  Research & Development - - 11215 10558  Depreciation / Amortization 12322 - - -  Interest Expense (Income) - Net Operating -1853 - - -  Unusual Expense (Income) - 3941 5456 3090  Other Operating Expenses, Total -10469 - 1 1"
"Selling/General/Admin. Expenses, Total",83789,84252,90528,90420
Research & Development,-,-,11215,10558
Depreciation / Amortization,12322,-,-,-
Interest Expense (Income) - Net Operating,-1853,-,-,-
Unusual Expense (Income),-,3941,5456,3090
"Other Operating Expenses, Total",-10469,-,1,1
Operating Income,2404,1923,3439,13739
"Interest Income (Expense), Net Non-Operating",-,2354,217,1204
Gain (Loss) on Sale of Assets,343,-79,-408,4255
"Other, Net",2389,-25,78,453
Net Income Before Taxes,-328,4173,3326,19651
Provision for Income Taxes,2456,2094,4113,5529
Net Income After Taxes,-2784,2079,-787,14122
Minority Interest,69,-12,-33,-35
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-2800,2067,-820,14087
Total Extraordinary Items,-,-,-,-
Net Income,-2800,2067,-820,14087
Total Adjustments to Net Income,-,-2,1,-1
Income Available to Common Excluding Extraordinary Items,-2800,2065,-819,14086
Dilution Adjustment,-,-,-,-
Diluted Net Income,-2800,2065,-819,14086
Diluted Weighted Average Shares,86.62,86.73,86.56,86.68
Diluted EPS Excluding Extraordinary Items,-32.33,23.81,-9.46,162.5
DPS - Common Stock Primary Issue,20,30,20,50
Diluted Normalized EPS,-5.03,46.9,34.57,152.84
