Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,31824,24390,23228.77,32922.38
"Revenue 31824 24390.05 23228.77 32922.38  Other Revenue, Total - - - -","Revenue 31824 24390.05 23228.77 32922.38  Other Revenue, Total - - - -","Revenue 31824 24390.05 23228.77 32922.38  Other Revenue, Total - - - -","Revenue 31824 24390.05 23228.77 32922.38  Other Revenue, Total - - - -","Revenue 31824 24390.05 23228.77 32922.38  Other Revenue, Total - - - -"
Revenue,31824,24390.05,23228.77,32922.38
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",17317,14246.74,13840.35,20881.63
Gross Profit,14507,10143.31,9388.43,12040.75
Total Operating Expenses,27804,23267.42,22748.51,31596.45
"Selling/General/Admin. Expenses, Total 9545 7976.62 6956.97 8274.12  Research & Development - - 819.16 1170.56  Depreciation / Amortization 1589 975.49 1121.4 1164.14  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 68.57 10.64 105.99  Other Operating Expenses, Total -641 - - -","Selling/General/Admin. Expenses, Total 9545 7976.62 6956.97 8274.12  Research & Development - - 819.16 1170.56  Depreciation / Amortization 1589 975.49 1121.4 1164.14  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 68.57 10.64 105.99  Other Operating Expenses, Total -641 - - -","Selling/General/Admin. Expenses, Total 9545 7976.62 6956.97 8274.12  Research & Development - - 819.16 1170.56  Depreciation / Amortization 1589 975.49 1121.4 1164.14  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 68.57 10.64 105.99  Other Operating Expenses, Total -641 - - -","Selling/General/Admin. Expenses, Total 9545 7976.62 6956.97 8274.12  Research & Development - - 819.16 1170.56  Depreciation / Amortization 1589 975.49 1121.4 1164.14  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 68.57 10.64 105.99  Other Operating Expenses, Total -641 - - -","Selling/General/Admin. Expenses, Total 9545 7976.62 6956.97 8274.12  Research & Development - - 819.16 1170.56  Depreciation / Amortization 1589 975.49 1121.4 1164.14  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 68.57 10.64 105.99  Other Operating Expenses, Total -641 - - -"
"Selling/General/Admin. Expenses, Total",9545,7976.62,6956.97,8274.12
Research & Development,-,-,819.16,1170.56
Depreciation / Amortization,1589,975.49,1121.4,1164.14
Interest Expense (Income) - Net Operating,-6,-,-,-
Unusual Expense (Income),-,68.57,10.64,105.99
"Other Operating Expenses, Total",-641,-,-,-
Operating Income,4020,1122.63,480.26,1325.93
"Interest Income (Expense), Net Non-Operating",-,28.43,113.66,144.24
Gain (Loss) on Sale of Assets,5,0.01,1.18,0.79
"Other, Net",-122,145.72,382.27,99.07
Net Income Before Taxes,4137,1296.79,977.38,1570.02
Provision for Income Taxes,1210,67.83,364.74,508.75
Net Income After Taxes,2927,1228.96,612.64,1061.27
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2927,1228.96,612.64,1061.27
Total Extraordinary Items,-,-,-,-
Net Income,2927,1228.96,612.64,1061.27
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,2927,1228.96,612.64,1061.27
Dilution Adjustment,-,-,-,-
Diluted Net Income,2927,1228.96,612.64,1061.27
Diluted Weighted Average Shares,14.78,14.78,14.78,14.78
Diluted EPS Excluding Extraordinary Items,198,83.13,41.44,71.79
DPS - Common Stock Primary Issue,60,60,40,40
Diluted Normalized EPS,180.06,87.53,41.84,76.6
