Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Revenue,1453,1964.69,6371.87,6828.89
"Revenue 1453 1964.69 6371.87 6828.89  Other Revenue, Total - - - -","Revenue 1453 1964.69 6371.87 6828.89  Other Revenue, Total - - - -","Revenue 1453 1964.69 6371.87 6828.89  Other Revenue, Total - - - -","Revenue 1453 1964.69 6371.87 6828.89  Other Revenue, Total - - - -","Revenue 1453 1964.69 6371.87 6828.89  Other Revenue, Total - - - -"
Revenue,1453,1964.69,6371.87,6828.89
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",524,382.51,4518.31,5035.95
Gross Profit,929,1582.18,1853.56,1792.93
Total Operating Expenses,2670,2716.88,7145.84,6426.9
"Selling/General/Admin. Expenses, Total 2146 2063.57 2266.64 1480.66  Research & Development - 36.51 65.55 98.29  Depreciation / Amortization 99 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) 1335.38 234.28 295.33 -188.01  Other Operating Expenses, Total -90 -0 - -","Selling/General/Admin. Expenses, Total 2146 2063.57 2266.64 1480.66  Research & Development - 36.51 65.55 98.29  Depreciation / Amortization 99 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) 1335.38 234.28 295.33 -188.01  Other Operating Expenses, Total -90 -0 - -","Selling/General/Admin. Expenses, Total 2146 2063.57 2266.64 1480.66  Research & Development - 36.51 65.55 98.29  Depreciation / Amortization 99 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) 1335.38 234.28 295.33 -188.01  Other Operating Expenses, Total -90 -0 - -","Selling/General/Admin. Expenses, Total 2146 2063.57 2266.64 1480.66  Research & Development - 36.51 65.55 98.29  Depreciation / Amortization 99 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) 1335.38 234.28 295.33 -188.01  Other Operating Expenses, Total -90 -0 - -","Selling/General/Admin. Expenses, Total 2146 2063.57 2266.64 1480.66  Research & Development - 36.51 65.55 98.29  Depreciation / Amortization 99 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) 1335.38 234.28 295.33 -188.01  Other Operating Expenses, Total -90 -0 - -"
"Selling/General/Admin. Expenses, Total",2146,2063.57,2266.64,1480.66
Research & Development,-,36.51,65.55,98.29
Depreciation / Amortization,99,-,-,-
Interest Expense (Income) - Net Operating,-9,-,-,-
Unusual Expense (Income),1335.38,234.28,295.33,-188.01
"Other Operating Expenses, Total",-90,-0,-,-
Operating Income,-1217,-752.19,-773.97,401.99
"Interest Income (Expense), Net Non-Operating",-9.61,-11.47,-6.75,-31.28
Gain (Loss) on Sale of Assets,-,0.52,0.46,0.21
"Other, Net",1315,1.12,6.62,-1.31
Net Income Before Taxes,-2532,-762.02,-773.64,369.61
Provision for Income Taxes,-22,90,126.75,109.83
Net Income After Taxes,-2510,-852.02,-900.39,259.78
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-2510,-852.02,-900.39,259.78
Total Extraordinary Items,-,-,-,-
Net Income,-2510,-852.02,-900.39,259.78
Total Adjustments to Net Income,-,-0,-0,-
Income Available to Common Excluding Extraordinary Items,-2510,-852.02,-900.39,259.78
Dilution Adjustment,-,-,-,-
Diluted Net Income,-2510,-852.02,-900.39,259.78
Diluted Weighted Average Shares,12.82,10.44,9.84,10.47
Diluted EPS Excluding Extraordinary Items,-195.77,-81.62,-91.48,24.81
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-58.35,-67.07,-72,12.18
