Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,59452,55402,53328,51494
"Revenue 59452 55402 53328 51494  Other Revenue, Total - - - -","Revenue 59452 55402 53328 51494  Other Revenue, Total - - - -","Revenue 59452 55402 53328 51494  Other Revenue, Total - - - -","Revenue 59452 55402 53328 51494  Other Revenue, Total - - - -","Revenue 59452 55402 53328 51494  Other Revenue, Total - - - -"
Revenue,59452,55402,53328,51494
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",41109,38543,36828,34393
Gross Profit,18343,16859,16500,17101
Total Operating Expenses,49981,47777,44461,42825
"Selling/General/Admin. Expenses, Total 9944 7893 6665 6827  Research & Development - - - -  Depreciation / Amortization 9500 8707 1448 1349  Interest Expense (Income) - Net Operating -629 -469 - -  Unusual Expense (Income) - - 9 342  Other Operating Expenses, Total -9943 -6897 -489 -86","Selling/General/Admin. Expenses, Total 9944 7893 6665 6827  Research & Development - - - -  Depreciation / Amortization 9500 8707 1448 1349  Interest Expense (Income) - Net Operating -629 -469 - -  Unusual Expense (Income) - - 9 342  Other Operating Expenses, Total -9943 -6897 -489 -86","Selling/General/Admin. Expenses, Total 9944 7893 6665 6827  Research & Development - - - -  Depreciation / Amortization 9500 8707 1448 1349  Interest Expense (Income) - Net Operating -629 -469 - -  Unusual Expense (Income) - - 9 342  Other Operating Expenses, Total -9943 -6897 -489 -86","Selling/General/Admin. Expenses, Total 9944 7893 6665 6827  Research & Development - - - -  Depreciation / Amortization 9500 8707 1448 1349  Interest Expense (Income) - Net Operating -629 -469 - -  Unusual Expense (Income) - - 9 342  Other Operating Expenses, Total -9943 -6897 -489 -86","Selling/General/Admin. Expenses, Total 9944 7893 6665 6827  Research & Development - - - -  Depreciation / Amortization 9500 8707 1448 1349  Interest Expense (Income) - Net Operating -629 -469 - -  Unusual Expense (Income) - - 9 342  Other Operating Expenses, Total -9943 -6897 -489 -86"
"Selling/General/Admin. Expenses, Total",9944,7893,6665,6827
Research & Development,-,-,-,-
Depreciation / Amortization,9500,8707,1448,1349
Interest Expense (Income) - Net Operating,-629,-469,-,-
Unusual Expense (Income),-,-,9,342
"Other Operating Expenses, Total",-9943,-6897,-489,-86
Operating Income,9471,7625,8867,8669
"Interest Income (Expense), Net Non-Operating",-,-297,-367,-420
Gain (Loss) on Sale of Assets,-,1916,-,-
"Other, Net",510,-3533,-40,-40
Net Income Before Taxes,8961,9242,8460,8209
Provision for Income Taxes,2691,2835,2562,2541
Net Income After Taxes,6270,6407,5898,5668
Minority Interest,1894,1913,-361,-371
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5878,6033,5537,5297
Total Extraordinary Items,-,-,-,-
Net Income,5878,6033,5537,5297
Total Adjustments to Net Income,-,-,-2,-1
Income Available to Common Excluding Extraordinary Items,5878,6033,5535,5296
Dilution Adjustment,-,-,-,-
Diluted Net Income,5878,6033,5535,5296
Diluted Weighted Average Shares,49.92,49.91,49.99,50
Diluted EPS Excluding Extraordinary Items,117.75,120.87,110.73,105.92
DPS - Common Stock Primary Issue,-,60.45,55.37,52.97
Diluted Normalized EPS,104.34,84.24,110.86,110.64
