Period Ending:,202331/03,202231/03,202131/03,Unnamed: 4
Total Revenue,90439,77420,-,-
"Revenue 50567 41124 - -  Other Revenue, Total 39872 36296 - -","Revenue 50567 41124 - -  Other Revenue, Total 39872 36296 - -","Revenue 50567 41124 - -  Other Revenue, Total 39872 36296 - -","Revenue 50567 41124 - -  Other Revenue, Total 39872 36296 - -","Revenue 50567 41124 - -  Other Revenue, Total 39872 36296 - -"
Revenue,50567,41124,-,-
"Other Revenue, Total",39872,36296,-,-
"Cost of Revenue, Total",-,-,-,-
Gross Profit,90439,77420,-,-
Total Operating Expenses,61167,54158,-,-
"Selling/General/Admin. Expenses, Total 32533 33351 - -  Research & Development - - - -  Depreciation / Amortization 5921 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 22713 20807 - -","Selling/General/Admin. Expenses, Total 32533 33351 - -  Research & Development - - - -  Depreciation / Amortization 5921 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 22713 20807 - -","Selling/General/Admin. Expenses, Total 32533 33351 - -  Research & Development - - - -  Depreciation / Amortization 5921 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 22713 20807 - -","Selling/General/Admin. Expenses, Total 32533 33351 - -  Research & Development - - - -  Depreciation / Amortization 5921 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 22713 20807 - -","Selling/General/Admin. Expenses, Total 32533 33351 - -  Research & Development - - - -  Depreciation / Amortization 5921 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 22713 20807 - -"
"Selling/General/Admin. Expenses, Total",32533,33351,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,5921,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",22713,20807,-,-
Operating Income,29272,23262,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-2,-2,-,-
"Other, Net",244,388,-,-
Net Income Before Taxes,29030,22876,-,-
Provision for Income Taxes,9086,5761,-,-
Net Income After Taxes,19944,17115,-,-
Minority Interest,87,30,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,19932,17113,-,-
Total Extraordinary Items,-,-,-,-
Net Income,19932,17113,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,19932,17113,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,19932,17113,-,-
Diluted Weighted Average Shares,150.79,150.79,-,-
Diluted EPS Excluding Extraordinary Items,132.18,113.49,-,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,121.25,96.4,-,-
